 	l'	arbre	parasite	ibhébhe	a	détruit	cet	oranger	</S>
a26	0.16805	0.121066	0.0861675	0.162813	0.12212	0.127025	0.110665	0.0663621	0.0357311
a18	0.168681	0.135843	0.100118	0.160041	0.0984605	0.135178	0.0983362	0.0730015	0.0303401
a71	0.314208	0.236688	0.10405	0.120812	0.0695744	0.0672812	0.0398008	0.0295596	0.0180265
a9	0.357127	0.291421	0.145572	0.0971336	0.0451397	0.0248691	0.0186841	0.012383	0.00767039
a10	0.406304	0.347756	0.138912	0.0519938	0.022169	0.0110252	0.0106876	0.00657296	0.00457954
a87	0.388511	0.333947	0.1571	0.0492708	0.025163	0.0125704	0.0156378	0.00972871	0.00807169
a23	0.415486	0.298994	0.127241	0.0464455	0.0329411	0.0211285	0.0246693	0.0187222	0.0143719
a50	0.299408	0.306705	0.187655	0.0623815	0.0407591	0.0234036	0.0308247	0.0212174	0.0276452
a62	0.221999	0.224544	0.269026	0.0843777	0.0546171	0.0266362	0.0421222	0.031427	0.04525
a47	0.11582	0.172942	0.285154	0.160588	0.134414	0.0389748	0.0345245	0.0299662	0.0276163
a61	0.104218	0.140627	0.293436	0.152402	0.143213	0.0554856	0.0363293	0.0416198	0.0326692
a47	0.0726971	0.110739	0.226927	0.181733	0.181321	0.0781206	0.0494841	0.0518996	0.0470774
a61	0.0640084	0.0819926	0.145373	0.176897	0.224605	0.154161	0.0624432	0.0479941	0.0425248
a47	0.0472746	0.05056	0.0823188	0.164164	0.239833	0.183799	0.0853292	0.0802798	0.0664411
a96	0.0459548	0.045103	0.0600307	0.148509	0.215542	0.247282	0.112816	0.0716937	0.0530691
a93	0.0206429	0.0202091	0.0305353	0.120789	0.183025	0.266869	0.142226	0.124304	0.0914004
a56	0.0250033	0.0218817	0.0272228	0.114351	0.16951	0.246069	0.147361	0.145768	0.102832
a75	0.0173006	0.0135955	0.014044	0.0745873	0.135278	0.245183	0.189714	0.186241	0.124056
a56	0.0110643	0.00826729	0.00785131	0.0386084	0.0777462	0.178715	0.201865	0.234063	0.24182
a21	0.00600362	0.00417839	0.00367608	0.0327466	0.0755395	0.171181	0.182174	0.246682	0.27782
a92	0.00533555	0.0033056	0.00226577	0.0138702	0.0411644	0.132795	0.167856	0.239109	0.394299
a56	0.00398156	0.00215031	0.00134419	0.0077786	0.023478	0.0902709	0.129411	0.228215	0.513371
a43	0.00261891	0.00154905	0.00122396	0.00645829	0.0176236	0.0684776	0.0938205	0.203263	0.604966
a47	0.00452825	0.004308	0.00426332	0.0106588	0.0164997	0.0636785	0.0585049	0.212709	0.624849
a96	0.0188334	0.01517	0.00986197	0.0179934	0.0218878	0.0764077	0.0868077	0.237115	0.515923
a88	0.00300046	0.00246648	0.00191153	0.00480363	0.0074613	0.0366584	0.0505935	0.220275	0.672829
a71	0.0013949	0.00117439	0.00117997	0.0029297	0.00405006	0.0218018	0.0325511	0.164931	0.769987
a9	0.0218072	0.01409	0.00881509	0.0149438	0.0180535	0.0567414	0.0818902	0.215668	0.567991
a10	0.11551	0.0623631	0.030608	0.0439407	0.0396863	0.0996099	0.128875	0.204397	0.27501
a87	0.203659	0.126735	0.0562604	0.0601498	0.0458606	0.0961428	0.118221	0.143876	0.149094
a23	0.156724	0.125035	0.0766266	0.0934845	0.071629	0.111068	0.120938	0.122815	0.121679
a87	0.0451453	0.0369805	0.0268204	0.0338332	0.030281	0.0552228	0.0994283	0.254549	0.417739
a85	0.0177759	0.014364	0.0113473	0.0177662	0.0199741	0.0364493	0.0704	0.245016	0.566907
</S>	0.0173613	0.0165647	0.0145806	0.0193021	0.018107	0.0359038	0.0758381	0.267088	0.535254
