 	j'	aime	bien	cet	enfant	car	il	est	toujours	prêt	à	faire	des	commissions	</S>
a66	0.120758	0.097903	0.0872805	0.109055	0.105885	0.108464	0.0898959	0.0806297	0.0945477	0.0574165	0.0188732	0.0109335	0.00665202	0.00562577	0.00608054
a87	0.21986	0.173644	0.144255	0.112992	0.0716251	0.0620287	0.0425493	0.0430832	0.044824	0.0253774	0.0116909	0.0104826	0.00994501	0.0125608	0.0150826
a23	0.21294	0.147452	0.16118	0.110873	0.0723428	0.0631994	0.0426579	0.043293	0.0605274	0.0327824	0.0126354	0.0130791	0.00855485	0.00934274	0.00914086
a54	0.285198	0.169836	0.146584	0.0901554	0.0537191	0.0507321	0.0311541	0.0279432	0.0268646	0.0160158	0.0136948	0.0160137	0.0181829	0.0253618	0.0285444
a5	0.182372	0.143341	0.123652	0.094761	0.0610086	0.0473254	0.0366755	0.0363288	0.0405155	0.0445732	0.0414013	0.0366845	0.0397177	0.0356137	0.0360299
a12	0.210633	0.174357	0.131432	0.0970603	0.0639514	0.0493906	0.034229	0.0282918	0.0247511	0.0250152	0.0308731	0.0335374	0.0371345	0.0291843	0.0301587
a18	0.197734	0.157117	0.116904	0.105323	0.0782892	0.0674296	0.0458058	0.0353625	0.0310283	0.0259992	0.0331508	0.0289015	0.0283032	0.0244667	0.0241861
a88	0.0976292	0.100001	0.0934528	0.103006	0.0884278	0.0718109	0.0449583	0.0349725	0.0282394	0.0248642	0.0464193	0.0499923	0.0624199	0.0768955	0.0769107
a75	0.0720726	0.0805359	0.080738	0.0990151	0.0954603	0.0845164	0.0543984	0.0401028	0.0321551	0.0261769	0.0432435	0.0444917	0.0584501	0.0888492	0.0997941
a92	0.0485743	0.0585433	0.0647253	0.0857054	0.0891586	0.0932957	0.0761954	0.058679	0.0458362	0.0361533	0.0447431	0.0413796	0.0584571	0.0886721	0.109882
a7	0.0497306	0.0551127	0.059712	0.088828	0.100182	0.106678	0.0870212	0.0670062	0.0522696	0.038322	0.0363596	0.0333563	0.0459651	0.0761821	0.103274
a79	0.0380115	0.0479807	0.056383	0.0929897	0.11556	0.125185	0.0986408	0.069429	0.0610889	0.0416627	0.0330296	0.0301494	0.036511	0.0664557	0.0869233
a54	0.0238567	0.0297186	0.0382045	0.0749245	0.101764	0.110898	0.093059	0.0725172	0.0612778	0.047123	0.0374995	0.0347561	0.0482196	0.0930045	0.133177
a79	0.0185483	0.0218409	0.0315567	0.0719949	0.103114	0.112242	0.0995928	0.0838503	0.0669079	0.0524454	0.0454214	0.0361619	0.045375	0.0837394	0.127209
a44	0.0135303	0.0166237	0.0259956	0.0652024	0.102424	0.115006	0.100832	0.0832771	0.0619425	0.047689	0.0466362	0.0352771	0.0454423	0.0913641	0.148758
a93	0.0107865	0.0118814	0.0174681	0.0495413	0.101208	0.130451	0.123515	0.0981504	0.082934	0.0561149	0.0441319	0.0345739	0.0442488	0.0789744	0.11602
a4	0.0125895	0.0125276	0.0170715	0.0449643	0.0995813	0.138737	0.137446	0.107803	0.0921372	0.0592962	0.042745	0.0312543	0.0383169	0.067039	0.0984907
a57	0.0093121	0.00847576	0.0112466	0.0267151	0.0666845	0.115388	0.133566	0.115551	0.0966834	0.0635424	0.0593461	0.0420606	0.0486504	0.0806279	0.122151
a82	0.00652942	0.00619787	0.00873272	0.019268	0.0479557	0.0981391	0.124458	0.123238	0.102939	0.0679443	0.0704529	0.0419327	0.0456333	0.0888371	0.147742
a10	0.00835459	0.00819471	0.0117915	0.0204864	0.0439113	0.100203	0.134616	0.139677	0.128043	0.0836362	0.0621	0.0373916	0.0390208	0.0703161	0.112259
a24	0.020242	0.0158745	0.0198573	0.0256048	0.0394759	0.0725079	0.0928391	0.111559	0.114994	0.0911862	0.0783849	0.045609	0.0455716	0.0887419	0.137551
a83	0.003977	0.00280975	0.00305662	0.00418618	0.00649532	0.0109296	0.0142542	0.0166939	0.0161406	0.0170143	0.0344061	0.0408237	0.0778128	0.245479	0.505921
a54	0.00509671	0.00391075	0.00445202	0.00705188	0.0116326	0.0214949	0.0263329	0.0303792	0.0266284	0.0263241	0.0641612	0.0674223	0.0966904	0.222049	0.386374
a79	0.00152862	0.00137091	0.00192576	0.00412292	0.00830439	0.0140004	0.0178466	0.020889	0.0181911	0.019582	0.0528101	0.0574691	0.100009	0.225987	0.455963
a15	0.00144318	0.00131174	0.00191249	0.00440901	0.00952459	0.0169919	0.0231811	0.0283519	0.0262049	0.0278557	0.0618008	0.0689401	0.096526	0.214803	0.416743
