 	abrège	ton	discour	</S>
a10	0.289706	0.158651	0.21761	0.334034
a87	0.24204	0.225336	0.234124	0.2985
a23	0.352142	0.241397	0.187513	0.218948
a11	0.368215	0.228604	0.1926	0.210581
a26	0.547213	0.198366	0.156833	0.0975873
a41	0.663588	0.189519	0.100373	0.0465204
a35	0.626164	0.213204	0.0998354	0.060797
a26	0.58266	0.241704	0.1152	0.0604367
a38	0.4733	0.277739	0.154779	0.0941814
a35	0.425712	0.295561	0.177158	0.101569
a41	0.304805	0.326885	0.229178	0.139132
a35	0.189383	0.285432	0.27559	0.249595
a30	0.145851	0.272769	0.279938	0.301442
a35	0.124199	0.246307	0.283207	0.346287
a76	0.0652132	0.164589	0.261401	0.508797
a94	0.0251879	0.121324	0.287843	0.565645
a84	0.0166328	0.0727535	0.220325	0.690288
a57	0.00417772	0.0365367	0.210444	0.748841
a87	0.00903965	0.059383	0.226827	0.70475
</S>	0.0137763	0.0878896	0.252875	0.645459
