 	il	est	couché	dans	la	maison	sous	l'	effet	du	vin	</S>
a23	0.222277	0.18481	0.11751	0.103086	0.0766812	0.075947	0.087731	0.0664201	0.0325866	0.0144071	0.00994951	0.00859392
a87	0.154848	0.0943281	0.0604678	0.0730666	0.0982318	0.187322	0.177852	0.0806437	0.0316708	0.0159382	0.013056	0.0125748
a30	0.121563	0.0861387	0.0744578	0.0736767	0.097563	0.129134	0.11256	0.0780832	0.0587741	0.0461335	0.053167	0.0687495
a53	0.133189	0.119805	0.106578	0.105529	0.112352	0.132186	0.103495	0.059238	0.035136	0.0276027	0.0289933	0.0358952
a56	0.290497	0.241912	0.121319	0.0895477	0.0642774	0.0531562	0.0324524	0.0237347	0.0163188	0.0207753	0.0242635	0.0217458
a18	0.19095	0.240911	0.189778	0.131877	0.0917792	0.0575746	0.0264259	0.0137999	0.00978741	0.0125948	0.0164406	0.0180821
a62	0.138753	0.180283	0.1619	0.112787	0.091017	0.0808705	0.0499003	0.0322713	0.0285073	0.0409905	0.0420971	0.0406235
a83	0.0946167	0.137446	0.157381	0.135893	0.124411	0.110428	0.0637779	0.0333727	0.0279239	0.0343613	0.0390549	0.0413335
a18	0.0648145	0.0926715	0.124382	0.119877	0.120751	0.115873	0.087277	0.0556558	0.0476065	0.053435	0.0558124	0.0618446
a50	0.0395605	0.0501392	0.0655985	0.07616	0.0977131	0.11412	0.105971	0.0815053	0.074021	0.0852716	0.0944056	0.115534
a31	0.0547995	0.0574242	0.0678789	0.0703881	0.0881947	0.12367	0.119048	0.0817367	0.0704974	0.0740814	0.0867044	0.105577
a0	0.0612014	0.0631558	0.0736361	0.0781091	0.105	0.141027	0.13352	0.0892765	0.0711707	0.0526174	0.0588494	0.0724372
a75	0.037863	0.0309088	0.0316565	0.031945	0.0448081	0.0813638	0.129943	0.1209	0.121269	0.107609	0.118315	0.143418
a5	0.0539733	0.051825	0.0519663	0.0529649	0.0695816	0.0952115	0.116368	0.0812701	0.0643232	0.0642899	0.108832	0.189395
a61	0.0605667	0.0540882	0.0530622	0.0562144	0.0697312	0.0965731	0.129865	0.107788	0.0864501	0.0680877	0.0891749	0.128398
a88	0.037649	0.0296773	0.0291835	0.0312899	0.0391795	0.057639	0.10128	0.121707	0.132627	0.114424	0.127549	0.177795
a47	0.0211733	0.0159445	0.0157954	0.015798	0.0194619	0.0279046	0.0518916	0.0803259	0.131867	0.17727	0.195707	0.24686
a88	0.0439174	0.0340474	0.0321496	0.0272038	0.0278095	0.0312473	0.0519152	0.0939624	0.15685	0.176569	0.153116	0.171213
a0	0.0104309	0.00752067	0.00712969	0.00662612	0.00790312	0.0109788	0.0205972	0.0437072	0.106511	0.215868	0.268014	0.294713
a24	0.00302764	0.00221786	0.00199069	0.00197758	0.00282371	0.00475855	0.00987204	0.0260887	0.0705065	0.212913	0.318213	0.345611
a61	0.00272188	0.00166969	0.00120503	0.00105892	0.0015302	0.00275723	0.00604996	0.0162768	0.0413854	0.163363	0.315229	0.446752
a75	0.00115334	0.000783185	0.000649532	0.000681175	0.00109075	0.0020594	0.00417098	0.0109225	0.0325039	0.161437	0.312366	0.472183
a37	0.00124769	0.000935395	0.000754858	0.00073313	0.00120368	0.0019132	0.00315335	0.00678692	0.01815	0.129049	0.326496	0.509577
a98	0.00122571	0.000746648	0.000591304	0.000556121	0.000845213	0.00161541	0.00356047	0.00896021	0.0241284	0.124753	0.287752	0.545265
a47	0.000433556	0.00028325	0.000220332	0.00020643	0.000401283	0.000868503	0.00204159	0.00645164	0.0188389	0.120199	0.298586	0.55147
a92	0.00119508	0.000696266	0.000561915	0.0005562	0.00120155	0.00281347	0.00704211	0.0210016	0.0415793	0.13141	0.274864	0.517079
a34	0.000340937	0.000223123	0.000174992	0.000155469	0.000267934	0.000557682	0.00138085	0.0047121	0.0169975	0.10842	0.293918	0.572852
a56	0.000880518	0.000551389	0.000483594	0.000468076	0.000753534	0.00115966	0.00228084	0.00616075	0.0191159	0.0933657	0.264836	0.609944
a62	0.00143537	0.000897904	0.000762481	0.000735681	0.00104796	0.00138301	0.00224522	0.00520661	0.0182732	0.102412	0.275395	0.590205
a83	0.00426648	0.00288231	0.00261361	0.00262466	0.00339261	0.00414853	0.00576217	0.0107627	0.0310843	0.132782	0.289266	0.510415
a9	0.00489906	0.00313841	0.0027823	0.00261313	0.00333989	0.00439035	0.00674129	0.0137505	0.0416929	0.153556	0.290282	0.472815
a10	0.0363255	0.0169218	0.00977659	0.00710221	0.00872278	0.0111419	0.0176822	0.0322546	0.05326	0.148544	0.270316	0.387953
a87	0.0564753	0.0324707	0.024237	0.0197958	0.0242209	0.0264584	0.0331507	0.0469063	0.0638698	0.130347	0.210336	0.331732
a10	0.161242	0.113406	0.0904825	0.0668136	0.0628306	0.0537623	0.0501825	0.0561889	0.0682723	0.0870123	0.0903921	0.099415
a87	0.0852899	0.0622447	0.0493308	0.0432321	0.0450173	0.0479681	0.0547182	0.0643054	0.0728873	0.130111	0.161438	0.183457
a23	0.0504326	0.0377374	0.0316499	0.0300496	0.0365487	0.0448282	0.0567008	0.0633353	0.0671381	0.131599	0.197139	0.252841
a87	0.0369295	0.020729	0.0163016	0.0138896	0.0180834	0.0267993	0.0476713	0.0537389	0.058444	0.132261	0.237108	0.338044
</S>	0.0242547	0.0162049	0.0140705	0.0119183	0.0148794	0.0250898	0.0429875	0.0446772	0.0481621	0.116616	0.240772	0.400368
