 	le	chef	m	'	a	bien	accueilli	</S>
a23	0.415241	0.230844	0.177386	0.0648229	0.0409795	0.0186662	0.0197823	0.0322774
a79	0.374949	0.242793	0.153132	0.067249	0.0432137	0.0261211	0.0407468	0.0517951
a4	0.245501	0.217179	0.163281	0.107109	0.0793143	0.0512944	0.0711228	0.0651976
a57	0.285582	0.307127	0.243494	0.097374	0.0413283	0.0132382	0.00749221	0.00436406
a53	0.131983	0.246364	0.331752	0.200655	0.0539591	0.0166769	0.0111478	0.00746273
a90	0.114733	0.183243	0.283032	0.280019	0.081117	0.0275387	0.0183157	0.0120013
a98	0.15539	0.179726	0.256106	0.23419	0.0915916	0.0369906	0.0286303	0.0173761
a75	0.179851	0.186764	0.281905	0.209016	0.0828169	0.0272967	0.0194606	0.0128892
a41	0.112805	0.0851053	0.128256	0.191617	0.16814	0.116962	0.118758	0.0783569
a14	0.211609	0.13189	0.143044	0.163992	0.143589	0.0848255	0.0722192	0.0488312
a35	0.191997	0.124366	0.144827	0.138369	0.14069	0.103352	0.0922003	0.0641996
a66	0.152044	0.111768	0.127678	0.130754	0.15637	0.128381	0.11798	0.0750262
a24	0.0660791	0.0502645	0.067751	0.0916155	0.151965	0.19321	0.223255	0.15586
a35	0.0311575	0.0213574	0.0259389	0.05788	0.14113	0.19994	0.290361	0.232235
a76	0.0106889	0.00913427	0.017387	0.0342625	0.075842	0.151902	0.358424	0.342359
a90	0.0119908	0.0106947	0.0178869	0.0332388	0.056857	0.116967	0.309672	0.442692
a38	0.0182185	0.0131968	0.0127819	0.0223818	0.0451921	0.0937495	0.268708	0.525771
a75	0.00262863	0.00183076	0.00220963	0.00666439	0.0227013	0.0747661	0.284684	0.604515
a41	0.0052753	0.00309681	0.00252388	0.00890266	0.0306966	0.0859848	0.255202	0.608318
a25	0.00223785	0.00111298	0.00109816	0.0049593	0.025924	0.0763451	0.272446	0.615876
a87	0.00219347	0.000964348	0.00107119	0.00335878	0.0192799	0.0778403	0.329411	0.565881
</S>	0.00352204	0.00192606	0.00254359	0.0104903	0.0291896	0.073904	0.248648	0.629776
