 	il	est	bouillant	d'	impatience	</S>
a75	0.293165	0.157366	0.15515	0.13534	0.125894	0.133084
a37	0.319401	0.199507	0.160789	0.114042	0.092634	0.113627
a26	0.588591	0.208474	0.103432	0.0428676	0.0296317	0.027004
a21	0.582733	0.221272	0.107987	0.0359465	0.0271291	0.0249315
a61	0.572088	0.228732	0.11408	0.0316839	0.0285015	0.0249149
a47	0.345422	0.283485	0.211517	0.0720979	0.0491424	0.0383357
a24	0.238996	0.290526	0.28587	0.0986188	0.0500982	0.0358908
a9	0.173496	0.254422	0.311222	0.134005	0.0740521	0.0528033
a38	0.104403	0.127851	0.169073	0.165999	0.199126	0.233547
a75	0.0854733	0.127022	0.203029	0.191249	0.182964	0.210262
a61	0.0792257	0.143472	0.252305	0.225429	0.16405	0.135518
a18	0.0534337	0.103128	0.188696	0.239503	0.21294	0.2023
a27	0.0185978	0.0270368	0.0550455	0.133922	0.275909	0.489489
a11	0.00588184	0.00793273	0.0200732	0.0795023	0.24701	0.639599
a93	0.00384789	0.00407325	0.0106032	0.0666631	0.244914	0.669899
a13	0.00125033	0.00173917	0.00528788	0.0437483	0.234805	0.713169
a9	0.0059565	0.00662227	0.0165713	0.0923247	0.234632	0.643893
a87	0.0420354	0.0329298	0.0420997	0.127028	0.244164	0.511743
a23	0.171037	0.102632	0.0924225	0.16422	0.202387	0.267301
a87	0.0857793	0.0647074	0.0698905	0.166446	0.233142	0.380035
</S>	0.0496762	0.044326	0.0568972	0.155145	0.228426	0.465529
