 	écoute	le	bruit	de	pas	de	cet	homme	qui	arrive	</S>
a87	0.527271	0.100812	0.0717362	0.0780432	0.062682	0.0492061	0.0363197	0.0258699	0.0185496	0.0143071	0.0152025
a23	0.30507	0.120823	0.0719939	0.075278	0.0761831	0.0881966	0.0769653	0.0607744	0.0514604	0.0355182	0.0377371
a57	0.215311	0.136736	0.119768	0.099803	0.0820525	0.0719765	0.0549422	0.0563785	0.0660936	0.0483692	0.0485699
a87	0.241319	0.17731	0.150722	0.117025	0.0805995	0.0604077	0.0422852	0.0384412	0.040147	0.0264153	0.0253275
a23	0.314345	0.161005	0.13224	0.0972454	0.0657009	0.0545773	0.041372	0.0414245	0.0423839	0.0262154	0.0234913
a57	0.267996	0.175713	0.115799	0.0801644	0.0643509	0.0626471	0.0479805	0.0562619	0.0619746	0.0355136	0.0315985
a87	0.324999	0.20532	0.117388	0.0803004	0.0564808	0.0511323	0.0350249	0.0406051	0.0438682	0.0247345	0.0201467
a97	0.339495	0.172775	0.103502	0.0723059	0.0567438	0.0541119	0.0407642	0.0463314	0.0539995	0.0326929	0.0272774
a99	0.381818	0.187627	0.107643	0.0696977	0.0491114	0.0455938	0.0320458	0.0351744	0.040986	0.0266787	0.0236234
a53	0.3168	0.187078	0.104903	0.077344	0.0603647	0.0592023	0.0397661	0.0466534	0.0533029	0.0300892	0.0244962
a90	0.287143	0.296771	0.160732	0.0818324	0.0482353	0.034395	0.0212953	0.0224446	0.0217108	0.014366	0.0110752
a56	0.20697	0.264872	0.17545	0.108417	0.0698891	0.045586	0.032826	0.0296679	0.0275347	0.0211246	0.0176634
a47	0.14763	0.209087	0.152099	0.105327	0.0767717	0.0555486	0.0459668	0.0470135	0.0544869	0.0532028	0.0528667
a96	0.149632	0.207497	0.161479	0.11217	0.078232	0.0522472	0.041401	0.0418777	0.0471972	0.0515832	0.056684
a75	0.125038	0.195026	0.167786	0.126947	0.0907718	0.0563972	0.0419882	0.0394498	0.0458264	0.0515799	0.0591891
a21	0.0777698	0.14813	0.147155	0.121779	0.106256	0.0826859	0.0657396	0.0562897	0.0599452	0.0643686	0.0698804
a12	0.0685478	0.113043	0.13663	0.127315	0.108043	0.0831398	0.0703732	0.0614915	0.0661642	0.075761	0.0894921
a47	0.042604	0.0826651	0.112569	0.112151	0.104172	0.0840804	0.0790454	0.0748675	0.0818606	0.1017	0.124285
a75	0.036529	0.066095	0.128107	0.157288	0.150975	0.10741	0.0852357	0.0694332	0.0610192	0.0651157	0.072792
a98	0.0184821	0.0394369	0.0784451	0.0990404	0.102569	0.0963503	0.100517	0.100914	0.100859	0.118642	0.144745
a92	0.0203686	0.0443167	0.093641	0.123958	0.127623	0.113609	0.108902	0.0954793	0.0814425	0.0858523	0.104808
a56	0.00914483	0.0239862	0.0639597	0.126559	0.162751	0.147717	0.126111	0.0929253	0.0748775	0.0745987	0.0973694
a21	0.00611339	0.0133239	0.030756	0.0725152	0.129052	0.148597	0.161861	0.133386	0.103413	0.0906632	0.110319
a85	0.00457933	0.00819744	0.0158451	0.0358048	0.0719701	0.0971227	0.139075	0.150733	0.141356	0.152426	0.182891
a47	0.00333602	0.00733069	0.0156518	0.0341805	0.0717076	0.0993033	0.143613	0.156877	0.137991	0.145779	0.184231
a79	0.00188496	0.00449083	0.00958338	0.0210103	0.0532529	0.0884552	0.142928	0.164476	0.151943	0.155142	0.206834
a44	0.00147291	0.00350913	0.00792391	0.0195506	0.0530369	0.0898335	0.150277	0.179162	0.162691	0.148831	0.183712
a13	0.00175319	0.00354012	0.00660604	0.0141668	0.0354502	0.0658256	0.124835	0.165285	0.174768	0.183208	0.224562
a57	0.00246132	0.00417171	0.0067013	0.0121392	0.0255358	0.043592	0.080899	0.115718	0.144098	0.224615	0.340069
a82	0.0165668	0.0168539	0.0171476	0.0207304	0.0297185	0.0415645	0.0611096	0.0809096	0.108556	0.217384	0.389459
a10	0.0554484	0.0357985	0.028151	0.0298295	0.0383369	0.0533296	0.0761265	0.10273	0.119507	0.192536	0.268207
a87	0.160695	0.0593734	0.0394658	0.0441454	0.0598862	0.0854276	0.116337	0.121573	0.105301	0.103121	0.104675
a23	0.206464	0.0925163	0.0583572	0.0734889	0.0882287	0.109223	0.104373	0.0974609	0.0760008	0.0501553	0.0437321
a99	0.0489362	0.02933	0.028402	0.0447913	0.0651919	0.0972619	0.116208	0.155167	0.158968	0.126732	0.129013
a87	0.0640042	0.0367919	0.0385156	0.0548557	0.0676467	0.085389	0.0966717	0.135877	0.148519	0.134863	0.136866
a97	0.0499607	0.0340773	0.0331647	0.0443464	0.0555356	0.0761178	0.0883415	0.137025	0.161677	0.156002	0.163752
</S>	0.0743577	0.0533114	0.0472382	0.0458112	0.0473914	0.05951	0.0673246	0.107051	0.139745	0.163121	0.195138
