 	il	assemble	les	branches	pour	faire	un	brancard	</S>
a23	0.253251	0.182913	0.127774	0.101442	0.111337	0.0832119	0.0586335	0.0424947	0.038942
a79	0.31	0.183908	0.123699	0.0951896	0.0934402	0.0665526	0.0481205	0.038086	0.0410035
a20	0.337088	0.255404	0.11938	0.044701	0.0305043	0.0319894	0.0430235	0.0558037	0.0821057
a94	0.472782	0.282642	0.0933418	0.0242035	0.0205598	0.0226649	0.027518	0.0268845	0.0294039
a20	0.401494	0.303417	0.14271	0.046726	0.0317312	0.0179041	0.0164653	0.018045	0.0215069
a41	0.273647	0.224923	0.166616	0.0961643	0.0794046	0.0456327	0.0374301	0.0358127	0.0403688
a2	0.206148	0.216272	0.1954	0.141172	0.0969246	0.050636	0.0333098	0.0289547	0.0311823
a38	0.158336	0.185755	0.209379	0.186407	0.109696	0.0453297	0.0327007	0.0333269	0.0390701
a75	0.136617	0.153633	0.199338	0.199532	0.130196	0.0551762	0.0390668	0.0392317	0.0472092
a85	0.134674	0.158064	0.193517	0.188868	0.130033	0.0676259	0.0432781	0.0395076	0.0444315
a43	0.0996	0.112351	0.152637	0.175639	0.140759	0.0994482	0.0751606	0.0688046	0.0756009
a11	0.0769788	0.0713862	0.102101	0.152295	0.153024	0.112934	0.0902027	0.10272	0.138359
a75	0.0943624	0.0798026	0.103983	0.154447	0.177696	0.117451	0.0783889	0.0797474	0.114122
a85	0.0637392	0.0616441	0.0811741	0.124309	0.153456	0.132596	0.11753	0.118864	0.146689
a41	0.0506816	0.0460215	0.0656275	0.110997	0.152023	0.155932	0.133553	0.129341	0.155822
a27	0.0661691	0.0585616	0.0685529	0.100681	0.14279	0.154056	0.132157	0.121915	0.155119
a82	0.0525511	0.0438756	0.0475749	0.0622256	0.0925666	0.116994	0.135267	0.16505	0.283895
a87	0.0744229	0.0620566	0.0695269	0.100669	0.13202	0.130271	0.114999	0.117953	0.198081
a23	0.0400699	0.0312121	0.0430458	0.0691268	0.100575	0.147421	0.186397	0.176923	0.20523
a24	0.0527847	0.032663	0.0342485	0.0403102	0.0834306	0.128224	0.160088	0.187875	0.280376
a9	0.0407245	0.0289207	0.0340715	0.0366528	0.0554759	0.0790996	0.151661	0.235839	0.337554
a10	0.031079	0.0250393	0.0325507	0.040219	0.063194	0.0951422	0.170445	0.235922	0.306409
a11	0.0153431	0.0123443	0.0175214	0.0309767	0.0520437	0.089788	0.169271	0.255976	0.356736
a21	0.0196177	0.0142954	0.0169202	0.0257415	0.0497605	0.0812446	0.159096	0.24545	0.387874
a61	0.034998	0.027542	0.0241608	0.0286816	0.0470572	0.0723988	0.141867	0.254938	0.368356
a62	0.0252564	0.0232772	0.0236472	0.0259884	0.0403543	0.0703777	0.148961	0.263912	0.378226
a88	0.0181598	0.0167156	0.0199598	0.0265098	0.0417073	0.0698658	0.145106	0.268781	0.393194
a66	0.0231434	0.0206333	0.0226253	0.026692	0.0374184	0.06304	0.139641	0.267895	0.398912
a98	0.0128876	0.0108209	0.0127855	0.0181989	0.0293012	0.0587309	0.138887	0.277973	0.440415
a73	0.00759111	0.00605512	0.00684382	0.00768216	0.0128556	0.0281922	0.0945654	0.283595	0.55262
a94	0.0037905	0.00310239	0.00384972	0.00488989	0.00844187	0.0215399	0.0856704	0.289494	0.579221
a58	0.00419407	0.00331225	0.00393143	0.00485454	0.00735068	0.0174656	0.0702444	0.266546	0.622101
a53	0.00504123	0.00373539	0.00403571	0.00543114	0.00800049	0.0194033	0.0682833	0.248349	0.63772
a76	0.0102967	0.00717155	0.00751647	0.00892279	0.0125849	0.0225207	0.0773573	0.260482	0.593148
a73	0.0080953	0.0055661	0.00483496	0.00469035	0.00619941	0.0135152	0.0580467	0.241542	0.65751
a84	0.00468237	0.00328692	0.00306215	0.00375399	0.00674098	0.0177191	0.0682227	0.250348	0.642184
a57	0.00827778	0.00600707	0.00548571	0.00581898	0.00694962	0.0175139	0.0654872	0.246172	0.638288
a87	0.0123331	0.0081126	0.00650021	0.00628308	0.00874113	0.0256364	0.0831171	0.26636	0.582917
a23	0.0209315	0.0131334	0.0102887	0.0108123	0.0171164	0.0366685	0.089085	0.251513	0.550451
a83	0.0443611	0.0301866	0.0253878	0.0245908	0.0426186	0.0811402	0.151491	0.261723	0.338502
a24	0.0179934	0.00741252	0.0058197	0.00831109	0.0238691	0.051945	0.124034	0.265273	0.495342
a98	0.00771738	0.00444149	0.00500418	0.00959646	0.0317168	0.0751919	0.15454	0.268215	0.443577
a71	0.00369526	0.00265451	0.00358642	0.00587681	0.0164901	0.049181	0.132464	0.276354	0.509698
a9	0.00138547	0.00107053	0.00141489	0.00270601	0.00968105	0.0353302	0.112686	0.279375	0.556351
a53	0.00234787	0.00187198	0.00210671	0.00366021	0.00915892	0.029169	0.0896074	0.258775	0.603303
a76	0.00216669	0.00150957	0.0017484	0.00258658	0.00582217	0.0194289	0.0814487	0.263745	0.621544
a94	0.00342015	0.00245405	0.00297676	0.00442924	0.00880483	0.0238288	0.082394	0.250995	0.620697
a53	0.00134932	0.00104921	0.00123007	0.0020455	0.00503203	0.0172487	0.0714367	0.251621	0.648988
a76	0.00324431	0.00230695	0.002645	0.00375976	0.0070482	0.0189277	0.0767691	0.25875	0.626549
a69	0.0051	0.00384269	0.00448475	0.00563985	0.00876147	0.0195523	0.0738598	0.251673	0.627087
a58	0.00348287	0.00276078	0.00352128	0.00522938	0.00873259	0.020714	0.0739029	0.247888	0.633769
a82	0.00299362	0.00206903	0.00226575	0.00344453	0.00662218	0.0177116	0.0679602	0.242536	0.654397
a87	0.00583741	0.00368116	0.00327899	0.00385557	0.00687009	0.0197911	0.0722038	0.24828	0.636201
a23	0.00838921	0.00532599	0.00447029	0.00477991	0.010486	0.0331748	0.098774	0.271422	0.563178
a38	0.0207972	0.0135469	0.0107915	0.010657	0.0169139	0.0409048	0.111413	0.278782	0.496193
a53	0.0184924	0.0092794	0.0074409	0.0103909	0.0269124	0.0555194	0.122843	0.256772	0.49235
a69	0.00948616	0.00626952	0.00712903	0.00986291	0.0268805	0.068269	0.155512	0.273078	0.443512
a4	0.00545434	0.00398645	0.00502334	0.00694501	0.0161672	0.0436786	0.124765	0.272053	0.521927
a57	0.00428365	0.00304265	0.00377301	0.00531159	0.0117291	0.030787	0.101135	0.263244	0.576694
a38	0.00173018	0.00130406	0.00186761	0.00345295	0.0095788	0.0308023	0.104271	0.268018	0.578975
a41	0.00209737	0.00144584	0.00168272	0.00277976	0.00673866	0.0218248	0.0848287	0.264057	0.614545
a27	0.00427583	0.00279756	0.00296348	0.00415609	0.0102865	0.0317154	0.10547	0.272826	0.565509
a82	0.00674833	0.00520183	0.00494533	0.0055183	0.00863446	0.0226173	0.075376	0.249388	0.621571
a87	0.017836	0.0105375	0.00782109	0.00662754	0.00935681	0.022414	0.0684898	0.232916	0.624001
a23	0.0288637	0.018556	0.0135479	0.0121862	0.0166755	0.0346213	0.083695	0.231727	0.560127
a13	0.071687	0.0474903	0.0327646	0.0259616	0.0317302	0.0582135	0.121521	0.243463	0.367169
