 	ici	on	se	lève	avec	le	jour	</S>
a23	0.233486	0.172463	0.162115	0.179946	0.134534	0.0720224	0.0284647	0.0169692
a87	0.322231	0.158209	0.0957636	0.122682	0.116822	0.0890373	0.0531832	0.0420727
a10	0.171431	0.126895	0.103248	0.115755	0.0999753	0.0966718	0.118267	0.167757
a87	0.209501	0.149353	0.104658	0.10322	0.077725	0.0866256	0.1093	0.159617
a79	0.180311	0.13161	0.0989681	0.109264	0.0995175	0.108541	0.121495	0.150294
a20	0.399214	0.197095	0.102705	0.062665	0.0393704	0.0435525	0.0602692	0.0951293
a30	0.370579	0.201159	0.11157	0.0840641	0.0643084	0.0558655	0.0564539	0.0559994
a41	0.264308	0.240186	0.213221	0.158706	0.0588239	0.0297013	0.0191855	0.015868
a44	0.232975	0.223521	0.210316	0.167133	0.0804596	0.0400972	0.0248484	0.0206493
a54	0.194342	0.21201	0.216037	0.176432	0.0878732	0.0493377	0.0337271	0.0302408
a73	0.151275	0.183488	0.214043	0.193488	0.104666	0.0620325	0.0456017	0.0454058
a79	0.14065	0.17526	0.230893	0.223968	0.112373	0.0528442	0.0329894	0.0310213
a73	0.139714	0.162141	0.207799	0.20391	0.117	0.0677731	0.0502079	0.051456
a7	0.137341	0.168507	0.229387	0.218214	0.106661	0.0569343	0.0412848	0.0416715
a75	0.0818999	0.0974894	0.158191	0.211099	0.162863	0.0954033	0.0821125	0.110942
a41	0.0807834	0.0894148	0.129322	0.152868	0.137612	0.126002	0.132284	0.151714
a24	0.0945278	0.107363	0.137156	0.137608	0.138749	0.129949	0.12229	0.132358
a25	0.0702308	0.0687419	0.0665862	0.0639855	0.100562	0.174383	0.212303	0.243208
a87	0.0432259	0.0433031	0.0568685	0.0675104	0.0948088	0.143685	0.200005	0.350594
a79	0.0195103	0.0175764	0.0223691	0.0348653	0.0760124	0.146415	0.25359	0.429662
a75	0.0295931	0.0201432	0.020945	0.0246264	0.052722	0.130888	0.258812	0.462271
a73	0.0661781	0.0506927	0.0493606	0.0461214	0.0788347	0.156553	0.244608	0.307652
a94	0.0257363	0.0261661	0.0317951	0.0326506	0.053703	0.127722	0.281724	0.420503
a54	0.0178599	0.0152052	0.0156927	0.0158561	0.0252622	0.0841147	0.279471	0.546538
a73	0.0255351	0.0203975	0.0197372	0.0184114	0.0348779	0.109885	0.287049	0.484108
a2	0.0104935	0.00878919	0.00948179	0.00959088	0.0189973	0.0736313	0.273027	0.595989
a57	0.00224997	0.00187311	0.00198345	0.00267174	0.0083433	0.0450079	0.227568	0.710303
a87	0.0115199	0.0093416	0.00719898	0.00601397	0.0145374	0.0650914	0.250336	0.635961
</S>	0.0141384	0.0131256	0.0147721	0.0165053	0.0464453	0.129875	0.267704	0.497434
