 	la	manière	dont	sa	gorge	a	seché	il	n'	a	pas	bu	depuis	un	moment	</S>
a66	0.280321	0.189117	0.0683659	0.0518877	0.0548945	0.0561409	0.0406849	0.0302439	0.0289431	0.0279305	0.0289663	0.030511	0.0281433	0.0257975	0.0267823	0.0312706
a87	0.407077	0.287324	0.129941	0.0498993	0.051339	0.0200649	0.0102197	0.00393756	0.00360749	0.00385887	0.00455745	0.00591431	0.0057498	0.0056417	0.00470088	0.00616682
a23	0.35091	0.27195	0.112734	0.0520609	0.0537968	0.0363955	0.0182584	0.00906539	0.00939414	0.0114865	0.0119914	0.0166345	0.0146761	0.0111906	0.0101755	0.00928023
a50	0.193625	0.252894	0.18072	0.0750465	0.0830982	0.0418194	0.0266711	0.0142066	0.0162208	0.0181947	0.0185836	0.020392	0.0174644	0.0137762	0.012884	0.0144035
a88	0.333205	0.268673	0.1304	0.0646101	0.06499	0.0311613	0.0142057	0.00799754	0.00811085	0.00896449	0.0101178	0.0118225	0.0111241	0.0108809	0.0101841	0.0135529
a71	0.256258	0.325806	0.169436	0.0786306	0.0606664	0.0309189	0.0213207	0.00732129	0.00635483	0.00650087	0.00662261	0.00710333	0.00705468	0.00582057	0.00439741	0.00578774
a9	0.111069	0.204545	0.173109	0.108772	0.109343	0.0837462	0.0662768	0.0235122	0.0176185	0.0170523	0.0150936	0.0156228	0.0159594	0.0139564	0.0111948	0.0131291
a38	0.0959076	0.119854	0.0972711	0.0989651	0.119787	0.102796	0.0713811	0.033161	0.0245713	0.0257132	0.0262738	0.0306145	0.0367026	0.0441007	0.0368847	0.0360169
a62	0.0628759	0.110649	0.137107	0.126358	0.122667	0.0913983	0.0690796	0.0367403	0.0282819	0.0268472	0.0254799	0.0262338	0.0287501	0.0349783	0.032827	0.0397264
a96	0.0907142	0.170614	0.203235	0.138921	0.115046	0.0943805	0.0728457	0.0220541	0.0141798	0.0128512	0.0111531	0.0109677	0.0122042	0.0119562	0.00922419	0.00965301
a62	0.0780142	0.141819	0.194197	0.153345	0.132221	0.114942	0.0865524	0.021163	0.0124427	0.0107546	0.0090227	0.00861381	0.00935611	0.00973233	0.00830576	0.00951725
a21	0.0705059	0.111229	0.161822	0.150987	0.140147	0.141577	0.116687	0.0270784	0.0147043	0.0115351	0.00935112	0.00855546	0.00829896	0.00884509	0.00891114	0.00976469
a47	0.0423817	0.0652676	0.11916	0.148742	0.141794	0.151375	0.132724	0.0457873	0.0309111	0.0244938	0.0194245	0.0166669	0.0142842	0.0142644	0.0162899	0.0164341
a88	0.0205265	0.0288237	0.0666139	0.120728	0.129261	0.148762	0.13739	0.0743721	0.0627364	0.0501605	0.03914	0.0302853	0.0235103	0.020653	0.0217438	0.0252932
a31	0.0115323	0.0149513	0.0363629	0.0766881	0.100087	0.138992	0.144468	0.113566	0.0917098	0.0677673	0.050698	0.0401415	0.0290193	0.0245415	0.027407	0.0320679
