 	ces	enfants	viennent	de	l'	école	</S>
a66	0.465153	0.21056	0.133544	0.0746343	0.0490872	0.0374264	0.029595
a87	0.252863	0.16912	0.155136	0.135723	0.10727	0.0938611	0.0860267
a23	0.384303	0.236827	0.170178	0.0850756	0.0484816	0.0375388	0.0375956
a54	0.36167	0.198059	0.149108	0.0929099	0.0687198	0.0612601	0.0682726
a47	0.404439	0.226531	0.1407	0.0812556	0.0551706	0.0445534	0.0473497
a6	0.218492	0.241959	0.229592	0.153479	0.0862395	0.0400664	0.0301723
a47	0.132523	0.193296	0.224118	0.191363	0.144801	0.073214	0.0406841
a37	0.125324	0.19935	0.216793	0.170865	0.148913	0.0891913	0.049565
a94	0.113596	0.170027	0.194808	0.169047	0.163409	0.117038	0.0720755
a96	0.119561	0.124816	0.124853	0.13724	0.166843	0.175447	0.151239
a0	0.0842993	0.0716046	0.0757419	0.125359	0.192336	0.227056	0.223603
a62	0.0211369	0.0192459	0.0233712	0.0459122	0.134376	0.319559	0.436398
a96	0.00950756	0.00992299	0.0127807	0.028537	0.103505	0.322462	0.513284
a54	0.00475752	0.0052653	0.00748674	0.0180665	0.0712365	0.273741	0.619446
a36	0.00051399	0.000686652	0.00121647	0.00495356	0.0393675	0.255538	0.697724
a2	0.0124442	0.0170618	0.0249599	0.0385621	0.0908425	0.25996	0.556169
a10	0.0669188	0.0600276	0.0571138	0.0612775	0.105261	0.220809	0.428593
a87	0.32806	0.214215	0.148747	0.0844212	0.0696091	0.0718718	0.0830759
a23	0.296941	0.236473	0.189483	0.106894	0.0673545	0.0521406	0.0507139
a99	0.110173	0.0702397	0.0561766	0.0599694	0.1009	0.22727	0.375272
a97	0.0294415	0.0229199	0.0236224	0.0350971	0.0964216	0.295259	0.497238
</S>	0.0136939	0.0128261	0.0129035	0.0234156	0.0776528	0.282344	0.577164
