 	où	est	celui	qui	te	lance	des	pierres	</S>
a66	0.38201	0.292701	0.190159	0.0789069	0.031764	0.0123638	0.00636009	0.00306067	0.0026747
a87	0.369435	0.246293	0.163165	0.103202	0.0546688	0.0266156	0.0187273	0.0103548	0.00753974
a23	0.381359	0.261885	0.168821	0.0895495	0.034652	0.0180506	0.020409	0.0146052	0.0106683
a79	0.303413	0.229999	0.164802	0.118104	0.043781	0.0296269	0.0297877	0.0364233	0.0440633
a69	0.157006	0.124211	0.152324	0.174603	0.102885	0.0867426	0.0673303	0.0662744	0.0686243
a94	0.197875	0.225809	0.246437	0.152154	0.0862027	0.0333819	0.0232213	0.0182143	0.016705
a75	0.103861	0.139973	0.220207	0.206396	0.157814	0.0677264	0.0450582	0.0353261	0.0236374
a5	0.0693423	0.104045	0.174219	0.204115	0.207899	0.0882175	0.0604485	0.0552976	0.0364162
a85	0.0754589	0.0827422	0.108718	0.177593	0.20206	0.117163	0.0802846	0.0865142	0.0694654
a47	0.0322666	0.0373783	0.0546127	0.157172	0.23251	0.150406	0.110386	0.122038	0.103231
a6	0.0488185	0.0465005	0.0534274	0.124239	0.19188	0.117008	0.0989875	0.164847	0.154292
a36	0.0468526	0.0409003	0.0447262	0.115596	0.200977	0.136438	0.113733	0.161286	0.139491
a12	0.0467886	0.0414455	0.0413221	0.0597674	0.086633	0.118732	0.134698	0.235763	0.234851
a47	0.0352799	0.0295723	0.0265555	0.0374607	0.0498031	0.107583	0.1634	0.253984	0.296361
a88	0.0220823	0.0201353	0.0181435	0.03728	0.0508928	0.113517	0.1669	0.271278	0.29977
a71	0.011946	0.00992678	0.00827778	0.0143157	0.0172005	0.0544121	0.108588	0.319234	0.456099
a9	0.0598342	0.062186	0.0648626	0.0623751	0.0521469	0.0456625	0.0747951	0.24176	0.336378
a99	0.0685202	0.0602042	0.0578698	0.0588964	0.065983	0.0560678	0.0943635	0.224403	0.313693
a87	0.135861	0.0993038	0.0725329	0.0695275	0.0799296	0.0634973	0.0927668	0.182012	0.204569
a23	0.188696	0.158965	0.102539	0.0749312	0.0826594	0.0656631	0.0822904	0.133526	0.11073
a87	0.0466843	0.0357303	0.0245232	0.0344149	0.0557486	0.10354	0.153081	0.251102	0.295176
</S>	0.0683859	0.0439364	0.0246227	0.0310607	0.0546779	0.0886439	0.141991	0.264521	0.28216
