 	le	tsamu-tsamu	se	boit	quand	il	est	tiède	</S>
a66	0.353969	0.265909	0.131794	0.0857974	0.0480773	0.0584754	0.0278118	0.0130046	0.0151616
a87	0.553179	0.233905	0.0887639	0.0497035	0.0195773	0.0120467	0.00909825	0.00882336	0.0249031
a23	0.667071	0.255414	0.0366971	0.0198285	0.00499049	0.00238966	0.00253508	0.00355847	0.00751536
a87	0.672614	0.218646	0.0264391	0.0224554	0.00926155	0.00498708	0.0066746	0.0116257	0.0272965
a23	0.612138	0.243011	0.0414615	0.0346627	0.00935797	0.00696457	0.0105275	0.0185614	0.0233152
a54	0.546494	0.186001	0.0399141	0.0411312	0.0194798	0.0179338	0.0283695	0.0456491	0.0750269
a37	0.201422	0.191023	0.119018	0.127212	0.0630805	0.0322677	0.0336415	0.068992	0.163343
a66	0.126458	0.196072	0.234081	0.239229	0.083762	0.0409493	0.0314805	0.0201803	0.0277875
a75	0.106057	0.123575	0.188782	0.254818	0.113248	0.0694552	0.0512881	0.0405594	0.0522171
a79	0.0320232	0.0435638	0.254863	0.298063	0.177658	0.102673	0.041615	0.020182	0.029359
a37	0.0415451	0.0520248	0.292824	0.331221	0.143704	0.0721127	0.0287607	0.015874	0.0219341
a44	0.0408337	0.0425999	0.176511	0.262009	0.240406	0.130404	0.0460482	0.0280339	0.0331548
a15	0.0245233	0.0268647	0.147646	0.221296	0.2361	0.146956	0.0610837	0.0563312	0.079199
a47	0.0187298	0.0161679	0.112646	0.206762	0.237195	0.161115	0.0873231	0.0640188	0.0960426
a85	0.0208777	0.0155821	0.0991681	0.180838	0.2557	0.166708	0.0820841	0.0650711	0.11397
a37	0.0221713	0.0181004	0.0782031	0.137366	0.193656	0.153125	0.121346	0.0997946	0.176237
a75	0.0217306	0.0196654	0.0689864	0.095109	0.217385	0.203945	0.117024	0.0921916	0.163963
a98	0.00763735	0.00759332	0.0442218	0.0631079	0.129673	0.179045	0.163592	0.171714	0.233416
a47	0.00269793	0.00218923	0.0185124	0.0367504	0.148803	0.205148	0.178335	0.18006	0.227504
a85	0.00150413	0.000750067	0.00398768	0.00872306	0.0657364	0.146911	0.170937	0.197528	0.403922
a92	0.000868444	0.000582934	0.00371384	0.006461	0.037009	0.0773325	0.136387	0.226592	0.511053
a56	0.000978697	0.000850712	0.00481376	0.0078053	0.0308395	0.0944561	0.169273	0.273587	0.417396
a93	0.00220113	0.00173848	0.00637135	0.00705625	0.0139179	0.0526895	0.146027	0.297043	0.472955
a70	0.00152965	0.0011271	0.0045016	0.00523996	0.0094272	0.0296395	0.0963278	0.262933	0.589274
a93	0.000309147	0.000223856	0.000888706	0.00119568	0.0028266	0.00905279	0.0458114	0.273553	0.666139
a70	0.000514526	0.000341545	0.00115979	0.00136348	0.00305494	0.009627	0.0441819	0.260855	0.678902
a13	0.000151846	8.84358e-05	0.000370069	0.000446093	0.00140671	0.00440075	0.0247181	0.239427	0.728991
a9	0.000287841	0.000217729	0.000653402	0.000747048	0.00217189	0.00691322	0.0345763	0.287023	0.667409
a3	0.0120766	0.00400335	0.00793834	0.0149609	0.025611	0.0551816	0.110754	0.323983	0.445491
a87	0.111091	0.0474573	0.040338	0.0519847	0.0623144	0.0748079	0.0998191	0.264652	0.247535
a23	0.183489	0.0995194	0.0691784	0.0675023	0.0772138	0.0898784	0.0972147	0.160156	0.155847
a87	0.126235	0.0364342	0.0421216	0.03947	0.0384417	0.036355	0.0574672	0.17747	0.446005
</S>	0.0276602	0.00521553	0.00781409	0.00828451	0.0134598	0.0274497	0.0519733	0.180778	0.677365
