 	ses	cheveux	sont	brillants	</S>
a10	0.319665	0.16477	0.141476	0.142921	0.231168
a53	0.233519	0.158263	0.169176	0.192737	0.246305
a15	0.200514	0.120284	0.161528	0.199782	0.317892
a56	0.267132	0.180014	0.20557	0.211525	0.135758
a32	0.483047	0.234757	0.143205	0.094946	0.0440451
a21	0.375817	0.247892	0.167656	0.129843	0.078792
a85	0.258879	0.217163	0.211957	0.183436	0.128564
a36	0.0604811	0.098047	0.192949	0.334405	0.314118
a27	0.0557159	0.0725046	0.128272	0.273135	0.470372
a98	0.0228823	0.0325671	0.0874524	0.236289	0.620809
a41	0.021195	0.0366839	0.0910675	0.26025	0.590803
a47	0.0135716	0.0264424	0.0772806	0.24898	0.633726
a2	0.03578	0.051307	0.105194	0.280203	0.527516
a30	0.0234713	0.0349956	0.0825476	0.20997	0.649015
a10	0.0685584	0.0779231	0.157382	0.233777	0.46236
</S>	0.0973587	0.106862	0.183528	0.224501	0.38775
