 	il	a	mal	aux	côtes	</S>
a66	0.458231	0.257959	0.138249	0.0746778	0.0438548	0.0270292
a87	0.372481	0.277112	0.205694	0.0970898	0.0274461	0.0201768
a23	0.512342	0.284637	0.139673	0.0376571	0.0123263	0.013365
a79	0.421107	0.27207	0.170313	0.0675613	0.0257043	0.0432445
a54	0.442842	0.300472	0.159737	0.0584254	0.0194696	0.0190548
a36	0.25377	0.308758	0.252279	0.122048	0.0378222	0.0253232
a12	0.218688	0.308393	0.274347	0.147842	0.0343803	0.0163498
a21	0.250531	0.306705	0.263136	0.129146	0.033301	0.0171807
a85	0.266407	0.295864	0.232119	0.128057	0.0494951	0.0280576
a6	0.0964794	0.154456	0.21361	0.237807	0.190173	0.107474
a37	0.166377	0.175252	0.168356	0.159611	0.171149	0.159255
a90	0.159122	0.145976	0.152574	0.162116	0.182455	0.197758
a25	0.0760836	0.074242	0.123099	0.226331	0.28441	0.215834
a79	0.0177879	0.0199778	0.0512068	0.17974	0.378747	0.352541
a25	0.0113274	0.0102173	0.0213863	0.0869411	0.335036	0.535092
a56	0.00632579	0.00466802	0.00799665	0.041775	0.281788	0.657447
a96	0.00548671	0.00423702	0.00709716	0.0315901	0.257311	0.694278
a98	0.00327186	0.00259759	0.00431884	0.0206837	0.183324	0.785805
a6	0.000845895	0.000821957	0.00181023	0.0126027	0.153588	0.830331
a36	0.000946379	0.00089316	0.00177971	0.0116469	0.142651	0.842083
a43	0.00366232	0.00377658	0.00777501	0.0349405	0.176154	0.773691
a0	0.00466567	0.00571171	0.0110867	0.040488	0.175146	0.762902
a38	0.0153926	0.017599	0.0282572	0.0785955	0.24236	0.617796
a9	0.0386434	0.0329077	0.0420823	0.0960884	0.279632	0.510646
a10	0.250625	0.119095	0.0932987	0.109263	0.18121	0.246509
a87	0.415902	0.220055	0.13793	0.0872341	0.0682096	0.0706697
a23	0.392929	0.258426	0.167282	0.0868158	0.0492509	0.0452961
a87	0.230103	0.119056	0.0856703	0.0984073	0.145853	0.32091
</S>	0.0315102	0.0197855	0.0200526	0.0458277	0.189824	0.693
