 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a23	0.216161	0.189568	0.113241	0.0954131	0.0858619	0.0652111	0.0658228	0.0561628	0.038505	0.0196446	0.0125456	0.0118124	0.0131779	0.0168717
a85	0.232644	0.182067	0.0917737	0.0681394	0.0685044	0.0626792	0.0579884	0.0457586	0.0340588	0.0211416	0.018823	0.0242271	0.0351733	0.0570215
a87	0.111214	0.108306	0.107689	0.105464	0.109856	0.0756292	0.0698378	0.0562969	0.0461696	0.0282883	0.0219763	0.0297353	0.0464285	0.0831092
a23	0.102243	0.0993193	0.108877	0.0996991	0.117211	0.101938	0.0886106	0.0598891	0.0436602	0.0245208	0.0205964	0.0248982	0.0393731	0.069165
a13	0.0859609	0.0820306	0.0791042	0.0577777	0.0546751	0.0364399	0.0345297	0.0309379	0.0371373	0.0331846	0.0334656	0.0555727	0.113359	0.265825
a20	0.199864	0.205076	0.148379	0.106323	0.096491	0.0525697	0.0417544	0.0260364	0.021105	0.0161345	0.0124972	0.0153044	0.0209791	0.0374863
a30	0.18088	0.178543	0.149898	0.110893	0.120494	0.0646457	0.0683256	0.0441952	0.0303505	0.0157647	0.00704836	0.00800972	0.00891806	0.0120348
a37	0.118632	0.115711	0.114345	0.108889	0.132116	0.095549	0.100107	0.0758121	0.0546714	0.0277798	0.0144407	0.0143795	0.0131699	0.0143973
a94	0.108453	0.10835	0.114085	0.112088	0.128233	0.106261	0.111316	0.078206	0.0510364	0.0256211	0.0141313	0.014089	0.0133694	0.0147605
a24	0.0760585	0.0813067	0.0993524	0.120928	0.126415	0.124602	0.122061	0.0956757	0.0628256	0.0312561	0.0173793	0.0146863	0.0133097	0.0141433
a32	0.0629304	0.0657463	0.0776716	0.101926	0.10862	0.135238	0.142696	0.122844	0.0796371	0.0373037	0.0193	0.0154591	0.0142952	0.0163323
a71	0.0386353	0.0369222	0.049313	0.0814857	0.115073	0.159616	0.185509	0.14874	0.0870658	0.0384019	0.0183875	0.0136888	0.0126076	0.0145537
a0	0.033687	0.0301971	0.038102	0.0625958	0.0982665	0.148601	0.193416	0.163502	0.104092	0.0486501	0.0220972	0.0163406	0.0171121	0.0233412
