 	okola	attrape	beaucoup	d'	oiseaux	avec	le	gluau	</S>
a66	0.171824	0.303529	0.209269	0.194806	0.0892739	0.0177902	0.00705899	0.00368105	0.00276746
a87	0.310114	0.299456	0.158055	0.100301	0.0524316	0.0288403	0.0193627	0.015412	0.0160266
a23	0.507808	0.197295	0.0872735	0.0655517	0.0510645	0.0343862	0.0202572	0.0179541	0.0184101
a87	0.727391	0.100562	0.0372922	0.028821	0.0204606	0.0165807	0.0195005	0.0201966	0.0291956
a23	0.694198	0.109412	0.0441753	0.0379657	0.0276055	0.0236177	0.0231946	0.019322	0.0205096
a30	0.539484	0.0892348	0.0519041	0.0629837	0.0695477	0.0672437	0.0502773	0.031416	0.0379087
a4	0.358425	0.119292	0.0942385	0.118892	0.116795	0.0844805	0.047976	0.0298306	0.030071
a57	0.338654	0.209442	0.148329	0.134306	0.0932872	0.0400375	0.0204844	0.0085993	0.00686161
a53	0.285166	0.164823	0.128176	0.117605	0.0914903	0.065663	0.0639135	0.0493862	0.0337758
a93	0.189028	0.193877	0.182703	0.163101	0.104293	0.0602853	0.0495137	0.0305323	0.0266665
a98	0.131368	0.161727	0.167855	0.176999	0.132473	0.0835647	0.0639966	0.0424513	0.0395658
a85	0.0787173	0.141423	0.17414	0.198071	0.166826	0.0946878	0.0643632	0.035871	0.0459009
a47	0.106624	0.170415	0.175673	0.191048	0.160787	0.074948	0.0456304	0.03093	0.0439445
a36	0.134289	0.177721	0.163633	0.153731	0.107548	0.0501916	0.0516883	0.0595291	0.10167
a37	0.138146	0.193395	0.180032	0.173589	0.115126	0.0513173	0.0369218	0.0420874	0.0693859
a21	0.137433	0.184085	0.169586	0.186861	0.14609	0.0545666	0.0355913	0.0355612	0.0502259
a85	0.091622	0.201808	0.163583	0.174046	0.139963	0.0663962	0.0504923	0.0453883	0.0667022
a5	0.0404525	0.103433	0.091557	0.113061	0.118472	0.0919351	0.125778	0.141297	0.174014
a43	0.0427738	0.104767	0.101167	0.121885	0.139688	0.11732	0.122272	0.117517	0.132611
a75	0.0290622	0.082297	0.0749724	0.0812519	0.0978114	0.117752	0.147041	0.169487	0.200325
a85	0.0094022	0.0298224	0.0281219	0.0357206	0.0528634	0.104852	0.201571	0.232588	0.305058
a5	0.00609224	0.0225064	0.0230298	0.030407	0.042941	0.0833101	0.174013	0.258788	0.358912
a61	0.00929152	0.0349124	0.0348088	0.0365869	0.0456134	0.0823896	0.166432	0.25195	0.338015
a62	0.00626884	0.0202247	0.0161834	0.0154672	0.0196986	0.0506317	0.132242	0.268481	0.470803
a12	0.00268055	0.00884384	0.00784342	0.00737702	0.0110368	0.0394662	0.143115	0.32334	0.456297
a5	0.00196348	0.00470543	0.00442725	0.00429894	0.00719503	0.0306022	0.129876	0.350311	0.466621
a18	0.000531385	0.00115134	0.0013758	0.00150566	0.00289951	0.0141439	0.0837862	0.322206	0.5724
a75	0.00184259	0.00270177	0.00462796	0.00513371	0.00879427	0.0332505	0.112452	0.273457	0.55774
a5	0.000215371	0.000292182	0.000328906	0.000451135	0.00112074	0.00639639	0.0492722	0.191667	0.750256
a18	0.000338711	0.000685456	0.000734059	0.000862073	0.00202665	0.0101392	0.0632049	0.241501	0.680508
a25	0.00340767	0.00430366	0.0069402	0.00812106	0.014129	0.0472889	0.105336	0.205444	0.60503
a87	0.014576	0.0155174	0.0148975	0.0139142	0.0171574	0.0415418	0.0848967	0.21395	0.583549
a23	0.178768	0.0923449	0.0584142	0.0418003	0.0361408	0.0590361	0.0874469	0.181596	0.264452
a99	0.0529229	0.0292449	0.0131665	0.00851815	0.00776396	0.0179346	0.0610052	0.162954	0.64649
a97	0.0245928	0.0210125	0.0104105	0.008497	0.00953616	0.0203089	0.0614703	0.174379	0.669793
</S>	0.0297349	0.0227681	0.0117268	0.00950163	0.00993091	0.0172401	0.0505491	0.163617	0.684931
