 	il	s'	est	arrêté	en	ammont	du	fleuve	</S>
a23	0.287017	0.187951	0.0847568	0.0854442	0.0967835	0.115918	0.059391	0.0472675	0.0354706
a79	0.249728	0.200781	0.135912	0.144699	0.105933	0.0747676	0.0292275	0.0280597	0.0308927
a20	0.162974	0.132776	0.0905752	0.10422	0.100094	0.104916	0.0830686	0.114064	0.107312
a35	0.237493	0.195214	0.14745	0.139996	0.109123	0.0706418	0.0411375	0.0334788	0.0254653
a32	0.257432	0.267082	0.206122	0.117845	0.0749962	0.043492	0.0149104	0.0102735	0.00784587
a11	0.236995	0.258615	0.209169	0.118507	0.0801288	0.0519639	0.0200086	0.0135836	0.0110293
a56	0.165555	0.183002	0.208335	0.140776	0.10592	0.10161	0.043096	0.0286924	0.0230137
a94	0.21176	0.185468	0.173166	0.119602	0.106856	0.103695	0.0488762	0.0285082	0.0220682
a35	0.163387	0.145986	0.156974	0.130525	0.126472	0.140904	0.0666221	0.0399775	0.0291525
a76	0.176225	0.153593	0.14658	0.113285	0.119146	0.143059	0.0699626	0.0467714	0.0313783
a94	0.147754	0.104562	0.0956648	0.101658	0.115572	0.144905	0.113786	0.0959221	0.0801757
a57	0.0658966	0.054825	0.0549452	0.0754738	0.10768	0.211481	0.165902	0.150321	0.113476
a38	0.0323726	0.0276896	0.0310519	0.042471	0.0716593	0.223385	0.20746	0.203851	0.16006
a14	0.0492577	0.0426938	0.0459659	0.0549149	0.0797163	0.206516	0.185399	0.199164	0.136373
a35	0.0340014	0.0289021	0.0323879	0.0566748	0.0944632	0.168032	0.18604	0.23208	0.167418
a41	0.0121543	0.0118677	0.0124738	0.0236256	0.0552359	0.157163	0.197379	0.28951	0.240591
a94	0.0164198	0.015339	0.0154442	0.0277741	0.0593503	0.149756	0.183424	0.286453	0.24604
a57	0.00752985	0.00667347	0.0069927	0.0120132	0.0297778	0.101253	0.151291	0.324101	0.360368
a98	0.00650227	0.00517053	0.00475689	0.00792211	0.0196953	0.0670276	0.127224	0.350024	0.411677
a14	0.00417148	0.00291865	0.00314036	0.00890514	0.0296532	0.0845211	0.127725	0.312635	0.42633
a73	0.00333955	0.00267535	0.00294156	0.00779313	0.0228508	0.0713573	0.11662	0.327155	0.445268
a57	0.00722234	0.00549635	0.0050755	0.0111081	0.0302504	0.091122	0.138734	0.352252	0.35874
a87	0.0132796	0.00995141	0.00717704	0.0149044	0.0407435	0.0976866	0.132526	0.336781	0.34695
a23	0.0466691	0.0331644	0.0251811	0.0445825	0.11315	0.214212	0.159201	0.205385	0.158455
a87	0.0629563	0.0484578	0.0360372	0.0498031	0.0978108	0.183497	0.155094	0.200856	0.165487
</S>	0.0309841	0.0241684	0.0236447	0.0549488	0.147013	0.252249	0.179377	0.165639	0.121976
