 	je	l'	ai	fait	réussir	à	l'	examen	</S>
a70	0.249474	0.0993682	0.087784	0.0638383	0.0543877	0.0571358	0.101951	0.135477	0.150584
a31	0.378584	0.174691	0.148657	0.098289	0.0727537	0.0340495	0.0303932	0.0432119	0.0193706
a24	0.369971	0.211213	0.189413	0.0996076	0.0522994	0.0225435	0.0204051	0.0245063	0.0100415
a61	0.290079	0.239684	0.202599	0.102491	0.0561786	0.0356273	0.0295771	0.0304083	0.0133558
a21	0.214814	0.176142	0.155943	0.105774	0.0945133	0.0789075	0.067585	0.0637523	0.0425684
a47	0.156306	0.135159	0.142941	0.108891	0.11158	0.0977268	0.0942643	0.1003	0.0528314
a31	0.0345307	0.0291088	0.036518	0.0531743	0.0981396	0.134926	0.197022	0.210715	0.205865
a0	0.0207389	0.0224166	0.0301215	0.0406027	0.070985	0.104768	0.180706	0.224168	0.305494
a34	0.00365172	0.00354294	0.00454996	0.00751077	0.0187075	0.0452147	0.161397	0.256286	0.499139
a47	0.00209869	0.00189233	0.00241305	0.0043941	0.0131766	0.0316549	0.153866	0.279784	0.510721
a0	0.00356452	0.00340706	0.00385143	0.00533541	0.0120558	0.0336171	0.169735	0.293904	0.47453
a31	0.000759019	0.000750421	0.00112509	0.0014508	0.0033081	0.0103465	0.101345	0.258921	0.621994
a34	0.000498292	0.000572053	0.000743809	0.000925649	0.00223571	0.00892676	0.0859819	0.229665	0.67045
a75	0.000353168	0.000421223	0.00063425	0.0007941	0.00195309	0.0067139	0.0642368	0.215554	0.709339
a47	0.00137051	0.00154815	0.00193768	0.00261371	0.005855	0.0117309	0.0912604	0.197068	0.686616
a26	0.00148212	0.00173363	0.00259315	0.00348249	0.00600651	0.0122692	0.0909571	0.211117	0.670358
a3	0.00382163	0.00342383	0.00505519	0.00503854	0.0106623	0.022168	0.0845758	0.193044	0.672211
a99	0.0202622	0.0195057	0.0226866	0.0262835	0.0527529	0.0631996	0.135195	0.223106	0.437009
a97	0.0398463	0.0429464	0.0453302	0.0499636	0.0782516	0.0818143	0.136785	0.196096	0.328967
a99	0.0402356	0.0409759	0.0530773	0.0568322	0.0713795	0.0792954	0.159775	0.23213	0.266299
a97	0.0409037	0.0451276	0.051559	0.0507169	0.0632016	0.0796448	0.14874	0.220726	0.29938
a99	0.0531684	0.0559303	0.0671484	0.0635434	0.0738841	0.0994804	0.169397	0.21012	0.207329
a97	0.0390088	0.0491306	0.0523165	0.0500073	0.0587007	0.107345	0.192873	0.212905	0.237714
a3	0.0443103	0.0532383	0.0566235	0.0557295	0.0707376	0.119643	0.191222	0.194184	0.214312
a97	0.0533399	0.0652284	0.067978	0.0620048	0.068105	0.116883	0.186186	0.17935	0.200924
</S>	0.0492671	0.0603	0.0682642	0.0656393	0.0843915	0.130176	0.176843	0.170094	0.195025
