 	cette	porte	est	bloquée	</S>
a66	0.609047	0.199745	0.0842366	0.0594189	0.047553
a87	0.473054	0.286273	0.145133	0.0522302	0.0433099
a23	0.624627	0.242317	0.0845056	0.0286755	0.0198751
a79	0.649613	0.227185	0.0718909	0.0247111	0.0265998
a15	0.534808	0.249683	0.111843	0.0504556	0.0532111
a79	0.275271	0.365527	0.216119	0.0941932	0.0488904
a56	0.232079	0.348904	0.258052	0.119071	0.0418935
a98	0.233935	0.365569	0.267221	0.0939544	0.039321
a85	0.263865	0.314712	0.24976	0.119589	0.0520742
a92	0.142048	0.223917	0.327238	0.190867	0.11593
a21	0.138482	0.185559	0.291439	0.222545	0.161975
a92	0.102214	0.125411	0.245015	0.280215	0.247146
a56	0.051665	0.0670189	0.186472	0.342739	0.352105
a96	0.0500231	0.0599632	0.188256	0.376898	0.32486
a66	0.0324704	0.0344411	0.0951697	0.389855	0.448064
a75	0.0267834	0.0273794	0.0491829	0.209782	0.686872
a47	0.00904574	0.012584	0.0421131	0.311382	0.624875
a37	0.00127773	0.00198959	0.0117444	0.234395	0.750594
a47	0.00470351	0.00589958	0.021251	0.195526	0.77262
a15	0.00448605	0.00638947	0.0251765	0.224014	0.739934
a7	0.0179959	0.0227871	0.0588608	0.229218	0.671138
a84	0.0161125	0.0238835	0.059473	0.225964	0.674567
a57	0.110337	0.0895739	0.113835	0.278825	0.407428
a87	0.375082	0.167639	0.127379	0.158562	0.171338
a23	0.462987	0.238557	0.118708	0.0932178	0.0865306
a87	0.365748	0.159632	0.112852	0.151538	0.21023
</S>	0.0315966	0.0271074	0.0749832	0.301985	0.564327
