 	toute	la	nuit	entière	notre	maison	chauffe	</S>
a66	0.37794	0.219868	0.103598	0.0890611	0.09501	0.0545571	0.0346076	0.0253576
a87	0.332178	0.233966	0.128113	0.133934	0.0723373	0.0423279	0.0381637	0.0189802
a23	0.415031	0.265448	0.13862	0.0722365	0.0337372	0.0258249	0.0296851	0.0194172
a53	0.263914	0.21742	0.191206	0.117515	0.0546071	0.0404626	0.0613104	0.0535653
a92	0.410734	0.287599	0.142025	0.0676407	0.0426814	0.0225808	0.014536	0.0122032
a75	0.250439	0.280195	0.220342	0.0974628	0.0575972	0.0417729	0.0295682	0.0226231
a61	0.245858	0.305343	0.218534	0.11329	0.0605015	0.0304028	0.0166315	0.00943855
a21	0.210983	0.324942	0.270718	0.127716	0.038397	0.0155943	0.00716161	0.00448763
a12	0.178188	0.27528	0.26859	0.166386	0.0625461	0.0266159	0.0133087	0.00908512
a43	0.143257	0.236253	0.316978	0.17264	0.0689134	0.0304717	0.0174639	0.0140231
a31	0.0819295	0.141944	0.288104	0.235016	0.12357	0.0547109	0.0373981	0.0373281
a62	0.0734672	0.106832	0.217761	0.232676	0.14135	0.084956	0.0654163	0.0775421
a75	0.0476367	0.0571669	0.138722	0.252123	0.198265	0.117825	0.0928843	0.0953779
a6	0.0263816	0.0340595	0.0850255	0.254957	0.203795	0.13928	0.111072	0.145429
a36	0.022767	0.0233447	0.0522276	0.17684	0.240141	0.188298	0.12533	0.171051
a2	0.0384504	0.0239139	0.0316532	0.078604	0.0917235	0.127687	0.169986	0.437982
a57	0.0442707	0.0375284	0.0377588	0.0402904	0.0430843	0.0771184	0.174097	0.545852
a87	0.104697	0.0900302	0.0688042	0.0708702	0.0698846	0.102609	0.143982	0.349123
a23	0.351721	0.224018	0.0961845	0.0755782	0.0674007	0.0520064	0.046321	0.0867706
a83	0.0871826	0.0598859	0.036545	0.0920908	0.16986	0.173273	0.183733	0.197429
a61	0.0165382	0.0152198	0.0187733	0.124453	0.242361	0.227415	0.161026	0.194212
a5	0.00836401	0.0111753	0.021298	0.154205	0.226393	0.226542	0.188205	0.163818
a12	0.00419216	0.00683012	0.0117894	0.0877953	0.140071	0.220675	0.246053	0.282594
a43	0.00319493	0.00433115	0.00786285	0.060189	0.096644	0.179604	0.259467	0.388707
a47	0.00468026	0.00514375	0.00852286	0.0437942	0.0824772	0.142619	0.196759	0.516004
a31	0.00539075	0.00609712	0.00836325	0.035833	0.0732652	0.116592	0.177358	0.5771
a61	0.00266743	0.00295865	0.00474206	0.030515	0.062484	0.121694	0.185735	0.589204
a21	0.00162283	0.00176867	0.00276731	0.0185573	0.0381945	0.0926476	0.168642	0.6758
a5	0.00111528	0.00131686	0.0019548	0.0132739	0.0307375	0.075635	0.154339	0.721628
a18	0.00154184	0.00156813	0.00228607	0.0128972	0.0244596	0.0578671	0.148769	0.750612
a61	0.0295892	0.0222442	0.019031	0.0401956	0.0531185	0.0779132	0.137249	0.62066
a5	0.00455115	0.00410003	0.00388105	0.0149711	0.0299805	0.0693691	0.146819	0.726328
a36	0.00107896	0.00091381	0.00108553	0.00620396	0.0144762	0.0429917	0.138207	0.795043
a27	0.00434835	0.00472975	0.00507314	0.0201682	0.0438635	0.0796654	0.145141	0.697011
a57	0.0940621	0.0712907	0.0589256	0.0772935	0.08849	0.11068	0.159276	0.339982
a87	0.256568	0.122751	0.0779394	0.0752022	0.073904	0.0812328	0.119484	0.192919
a23	0.392029	0.218246	0.112992	0.0661068	0.0443397	0.0394724	0.0498837	0.0769307
a87	0.175609	0.0743071	0.0455302	0.0509448	0.0446599	0.0688987	0.120567	0.419483
</S>	0.0413101	0.0211961	0.0173471	0.0445028	0.0546052	0.0992096	0.179466	0.542363
