 	son	récit	nous	brisa	le	coeur	</S>
a23	0.333889	0.271844	0.166801	0.10298	0.0599154	0.0373303	0.0272401
a87	0.385627	0.222547	0.160143	0.09329	0.0593597	0.0432539	0.03578
a23	0.28417	0.229989	0.152976	0.119117	0.0792136	0.0661917	0.0683431
a99	0.329402	0.224211	0.143333	0.102108	0.0810727	0.0611	0.0587733
a38	0.332106	0.255805	0.157135	0.0905364	0.0634875	0.0549182	0.0460111
a26	0.431619	0.271925	0.151359	0.0675506	0.0329015	0.0248908	0.0197544
a35	0.38712	0.247189	0.152491	0.0828296	0.0491651	0.0419761	0.039229
a41	0.250759	0.243884	0.224863	0.13626	0.0638885	0.0433895	0.0369564
a35	0.214059	0.26081	0.245287	0.150545	0.0620247	0.0363806	0.0308935
a14	0.232923	0.245118	0.230641	0.158895	0.0652296	0.0356773	0.0315162
a35	0.281559	0.288175	0.233038	0.118457	0.0387083	0.020422	0.0196404
a24	0.243537	0.250305	0.225566	0.149732	0.0588061	0.0350848	0.036969
a32	0.174923	0.192598	0.226609	0.186598	0.102983	0.0622469	0.0540414
a38	0.106192	0.177826	0.236339	0.206907	0.11974	0.0763524	0.0766439
a21	0.146825	0.203782	0.236768	0.187527	0.106473	0.064731	0.0538946
a61	0.052957	0.0873196	0.122263	0.146781	0.183185	0.208858	0.198636
a24	0.0427277	0.0527721	0.061368	0.0889566	0.147467	0.261606	0.345103
a32	0.035705	0.0488121	0.0550168	0.0734985	0.134191	0.26335	0.389427
a26	0.0299967	0.039206	0.0414738	0.0610598	0.121319	0.260616	0.446329
a43	0.0243842	0.0319899	0.0356805	0.0620304	0.13157	0.270307	0.444038
a75	0.0144755	0.0175026	0.0205897	0.0396676	0.101324	0.27345	0.53299
a25	0.0037587	0.00629061	0.00839216	0.0260291	0.0816442	0.266583	0.607303
a94	0.00502212	0.00824226	0.0100122	0.0276742	0.0861461	0.281614	0.581289
a58	0.00340958	0.00497039	0.00528076	0.0163167	0.0669825	0.260919	0.642122
a61	0.00338039	0.0036704	0.00365331	0.013583	0.0622391	0.260923	0.652551
a41	0.0036592	0.00354387	0.00341038	0.0132421	0.061506	0.267631	0.647007
a35	0.00462106	0.00427405	0.00415358	0.0174579	0.0813779	0.284391	0.603725
a30	0.00577045	0.00578477	0.00671063	0.02433	0.0939201	0.302349	0.561135
a2	0.0130646	0.0116692	0.0133643	0.0392046	0.130839	0.324347	0.467511
a57	0.00641154	0.00795627	0.00622016	0.0174567	0.0670009	0.27869	0.616265
a87	0.0421996	0.0407341	0.0256106	0.0508658	0.112551	0.263643	0.464395
</S>	0.0304816	0.0344553	0.0239595	0.0522261	0.115391	0.260925	0.482561
