 	saupoudre	ce	poisson	d'	un	peu	de	sel	</S>
a66	0.312974	0.130185	0.0928552	0.104569	0.128322	0.103097	0.0675543	0.0370022	0.0234415
a87	0.351286	0.148336	0.118785	0.0984773	0.0953453	0.0758148	0.0476775	0.0332026	0.0310753
a23	0.468423	0.197017	0.10334	0.0614058	0.0533237	0.0387942	0.0284622	0.0221164	0.027117
a87	0.433812	0.228173	0.125813	0.0781467	0.048727	0.0250555	0.0188114	0.0169481	0.0245132
a23	0.437784	0.223409	0.112342	0.0674802	0.0484679	0.0273833	0.022378	0.0250433	0.0357122
a99	0.401076	0.161907	0.10059	0.074597	0.0541557	0.0371919	0.0389878	0.0525104	0.0789843
a13	0.30643	0.127072	0.101489	0.0912895	0.0746232	0.0565179	0.0690097	0.0787038	0.0948654
a44	0.292544	0.185774	0.149212	0.125862	0.0813835	0.0464757	0.0410028	0.0375975	0.0401486
a54	0.221798	0.215409	0.18968	0.149673	0.085492	0.0436498	0.0333521	0.0296445	0.0313012
a47	0.103306	0.121179	0.150321	0.172338	0.143202	0.0957056	0.0752996	0.0687431	0.0699063
a0	0.0747125	0.101721	0.146092	0.202132	0.156	0.0868677	0.0695338	0.0753796	0.0875612
a75	0.0648167	0.107917	0.159428	0.212261	0.149858	0.0758233	0.061559	0.0714965	0.096841
a34	0.0468113	0.0958368	0.150467	0.204148	0.162337	0.10171	0.0790735	0.0762511	0.0833663
a44	0.0619574	0.0958073	0.147999	0.226308	0.197275	0.10094	0.059421	0.0526009	0.0576921
a4	0.0402936	0.0610594	0.102646	0.18182	0.202839	0.143321	0.0909798	0.0827841	0.094258
a13	0.0349967	0.0436558	0.0681954	0.123608	0.172344	0.167097	0.12474	0.12431	0.141053
a62	0.0174641	0.0190638	0.0332163	0.0682098	0.128217	0.197164	0.167896	0.159019	0.20975
a21	0.0153429	0.0164754	0.023667	0.0397928	0.0792821	0.172834	0.198969	0.220127	0.233509
a92	0.00350051	0.00331763	0.00471672	0.00869194	0.0205217	0.0926358	0.197654	0.311423	0.357539
a90	0.000894092	0.00119864	0.00206781	0.0043505	0.0103143	0.0569715	0.153739	0.317932	0.452532
a69	0.000557216	0.00073578	0.00155724	0.00336109	0.00802559	0.0399593	0.127862	0.345828	0.472114
a58	0.00049172	0.000658978	0.00118005	0.00215251	0.00438653	0.0199209	0.0832121	0.324307	0.56369
a53	0.000291717	0.0002113	0.000295277	0.000424201	0.000939198	0.00597467	0.0387812	0.275939	0.677144
a54	0.000744993	0.000674398	0.00096796	0.00144834	0.00307011	0.0152933	0.0726154	0.323243	0.581942
a7	0.000141606	0.000169883	0.000289858	0.000467674	0.00103565	0.00648493	0.0388478	0.258262	0.694301
a84	0.000180063	0.000168377	0.000333451	0.000597704	0.00165074	0.0107658	0.062086	0.290269	0.633949
a57	0.0620772	0.0312417	0.0343552	0.0376511	0.0437924	0.0614626	0.104181	0.242825	0.382414
a87	0.207234	0.0944245	0.0592497	0.039858	0.0421835	0.0546219	0.0833871	0.169767	0.249274
a23	0.169118	0.0946464	0.0740393	0.0606822	0.0686995	0.0741758	0.100356	0.168749	0.189534
a87	0.0919297	0.0486825	0.0329374	0.0215972	0.0274228	0.0489534	0.094981	0.245483	0.388013
</S>	0.01172	0.0103107	0.00865865	0.00717624	0.00999798	0.0298049	0.0735776	0.253902	0.594852
