 	comment	t'	appelles-tu	</S>
a23	0.395328	0.231717	0.207188	0.165767
a10	0.362479	0.297895	0.210884	0.128742
a87	0.343604	0.347844	0.198224	0.110327
a23	0.332007	0.339048	0.215139	0.113806
a99	0.440627	0.326367	0.146379	0.086627
a9	0.517584	0.318529	0.104636	0.0592507
a10	0.335675	0.383719	0.184222	0.0963839
a26	0.233555	0.262475	0.272395	0.231575
a83	0.261923	0.222339	0.274007	0.241731
a35	0.313262	0.267322	0.233121	0.186295
a14	0.343656	0.251037	0.219516	0.185791
a35	0.292432	0.246335	0.243466	0.217767
a30	0.148757	0.169773	0.302549	0.378921
a35	0.088866	0.116058	0.329503	0.465573
a14	0.0428342	0.0630289	0.28107	0.613067
a35	0.0322401	0.0521721	0.279939	0.635649
a75	0.0252575	0.036331	0.201674	0.736737
a14	0.0262455	0.0333625	0.188838	0.751554
a30	0.0184116	0.0295035	0.199261	0.752823
a2	0.0435572	0.0625294	0.181217	0.712696
a57	0.0645098	0.0831963	0.217772	0.634522
a87	0.0810315	0.0773436	0.223129	0.618496
</S>	0.0864783	0.09045	0.279271	0.543801
