 	l'	en	fant	est	ellé	chercher	l'	embauche	avec	la	bénédiction	de	son	père	</S>
a66	0.251875	0.213173	0.143288	0.0758259	0.0891141	0.049073	0.0620028	0.0358707	0.0317481	0.0148244	0.0118761	0.00721033	0.00454109	0.00467304	0.00490468
a87	0.478315	0.215242	0.081999	0.0508317	0.0470971	0.0155661	0.0226122	0.0228164	0.0192954	0.0115155	0.00898039	0.00456271	0.00586504	0.00667651	0.00862442
a23	0.27623	0.231672	0.17123	0.108479	0.0810089	0.0276218	0.022396	0.0188612	0.0171639	0.0103558	0.00857651	0.00464334	0.00613201	0.00709635	0.00853275
a44	0.157827	0.160377	0.165637	0.139526	0.12477	0.0663072	0.0428643	0.0227012	0.0232266	0.018209	0.0140535	0.0107961	0.013099	0.0177552	0.022852
a54	0.0986379	0.07227	0.114573	0.151919	0.165054	0.0986893	0.0940698	0.0520095	0.0445591	0.0232255	0.0168888	0.0134626	0.0145481	0.0174971	0.0225957
a92	0.151756	0.148084	0.143618	0.105378	0.0907884	0.0792941	0.0778868	0.0575211	0.0567125	0.0308208	0.0190526	0.00870005	0.00912163	0.0100272	0.0112389
a37	0.159139	0.190254	0.178453	0.0786129	0.0776215	0.0610982	0.0670382	0.0550448	0.0632051	0.0336021	0.0201421	0.00444355	0.00352185	0.00387667	0.00394603
a34	0.105623	0.128399	0.166415	0.128685	0.114076	0.0981137	0.0741043	0.0484343	0.0518765	0.0300495	0.0287598	0.00912154	0.00585494	0.00563843	0.00484938
a62	0.109733	0.111115	0.176126	0.142969	0.118932	0.103946	0.0690299	0.0445932	0.0444682	0.0247247	0.0272544	0.00960855	0.00589641	0.00615244	0.00545052
a47	0.056863	0.0558015	0.0998813	0.146676	0.144511	0.16392	0.10821	0.0649647	0.0601366	0.0347488	0.031328	0.0117978	0.00702446	0.00740609	0.00673066
a62	0.0418692	0.0405976	0.0699376	0.119856	0.125437	0.151695	0.109787	0.0781373	0.0851704	0.0557959	0.0523543	0.0257159	0.0148263	0.015495	0.0133244
a0	0.0239629	0.0247602	0.0501282	0.106334	0.11999	0.157677	0.106137	0.0841248	0.0949131	0.0680272	0.0720582	0.0377645	0.018555	0.018719	0.0168495
a75	0.0230408	0.0206775	0.0210347	0.0414961	0.0628053	0.123221	0.0948653	0.0931863	0.122617	0.114745	0.133789	0.0675648	0.0313108	0.0261988	0.0234481
a85	0.00251519	0.00293926	0.00793125	0.0258939	0.039879	0.0851814	0.0519524	0.0458051	0.0724636	0.0919828	0.141284	0.154259	0.107944	0.0893	0.0806691
a92	0.00139194	0.00161122	0.00477108	0.0111285	0.0162272	0.0320506	0.0245924	0.0260607	0.0426259	0.0692551	0.125284	0.208916	0.165808	0.138158	0.132119
a85	0.00133806	0.00138833	0.00278492	0.00755062	0.0134417	0.0378093	0.0300455	0.0342146	0.0543427	0.0788052	0.120837	0.18866	0.168636	0.132333	0.127813
a5	0.000949176	0.000919018	0.00254687	0.00659705	0.0118205	0.0404801	0.0336552	0.0419601	0.0651885	0.0807628	0.12182	0.154226	0.139158	0.145847	0.15407
a23	0.00108332	0.00111671	0.00153532	0.00230482	0.00410823	0.0154742	0.0151667	0.0216219	0.0413605	0.0646688	0.116425	0.153572	0.186716	0.194527	0.180319
a75	0.000251403	0.000207468	0.000260082	0.000589218	0.000912286	0.00426819	0.00464312	0.00620688	0.0116378	0.0224448	0.0428047	0.11473	0.214831	0.268771	0.307442
a5	0.000254387	0.000242972	0.000380374	0.000698912	0.00106555	0.00465075	0.00471855	0.00605958	0.0116084	0.018677	0.0367074	0.0763624	0.171461	0.305347	0.361766
a36	0.000172009	0.000151408	0.000180187	0.000255983	0.00033903	0.00114884	0.0013192	0.00243961	0.00504736	0.0117584	0.0291578	0.0913395	0.205232	0.297093	0.354366
a43	0.00120001	0.000574419	0.000201104	0.00022082	0.000206094	0.000525358	0.00100999	0.00153397	0.00225941	0.00373689	0.0088238	0.0356665	0.117892	0.301575	0.524575
a21	0.000467906	0.000233341	0.000104317	0.000129296	0.000139627	0.00047126	0.000934215	0.00144589	0.00206833	0.0034663	0.00753875	0.036181	0.110897	0.313976	0.521948
a75	0.000144885	8.91495e-05	6.33069e-05	7.12581e-05	8.38552e-05	0.000185936	0.000294214	0.000587188	0.000973384	0.00235221	0.00640998	0.0297759	0.115921	0.335948	0.5071
a6	4.02715e-05	2.48039e-05	1.97939e-05	3.07863e-05	4.09887e-05	0.00013084	0.000225132	0.000399168	0.000724686	0.00165113	0.00497729	0.0147556	0.0964267	0.385266	0.495286
a36	5.29246e-05	2.73257e-05	2.54102e-05	4.97293e-05	7.2731e-05	0.000214539	0.000357741	0.000771313	0.00130043	0.00300008	0.00860858	0.0257721	0.115122	0.359086	0.485539
a75	0.00888406	0.00376827	0.000926246	0.000759997	0.000724672	0.00178995	0.00419296	0.00684514	0.00643694	0.00915014	0.0176303	0.0614048	0.142159	0.320288	0.41504
a47	0.000111418	5.29115e-05	3.69162e-05	5.80477e-05	8.14567e-05	0.000239091	0.000487687	0.0012262	0.00183326	0.00454134	0.0111376	0.0323067	0.147649	0.365354	0.434884
a36	0.000346822	0.000144299	4.97806e-05	5.97193e-05	6.53963e-05	0.000255911	0.00061954	0.00183945	0.00299881	0.00931926	0.0262289	0.0559289	0.182359	0.335827	0.383958
a2	0.0566959	0.0302345	0.00880387	0.00550679	0.00455985	0.00989816	0.0261585	0.0496517	0.0411317	0.0493435	0.0640598	0.0935219	0.140266	0.204773	0.215395
a30	0.202711	0.114012	0.0342299	0.0256887	0.0162478	0.0181276	0.0318079	0.0471113	0.0348517	0.0350539	0.0366713	0.0683564	0.0803443	0.122286	0.1325
a87	0.389733	0.161654	0.0320031	0.024173	0.0172976	0.0163883	0.0227658	0.0310799	0.0267446	0.028494	0.0362632	0.0508948	0.0495796	0.0575706	0.0553584
a23	0.0898707	0.0360655	0.00624805	0.00442268	0.0026825	0.00320493	0.00434571	0.00822196	0.0109904	0.0213407	0.0444574	0.105024	0.181271	0.244088	0.237767
