 	mon	époux	est	un	danseur	de	kyebé-kyebé	</S>
a66	0.200414	0.223419	0.225001	0.202733	0.100045	0.0256813	0.0134587	0.00924873
a87	0.338586	0.116345	0.187356	0.133103	0.0827693	0.0482848	0.0476972	0.045859
a23	0.379157	0.190969	0.100144	0.104043	0.0824934	0.0533634	0.0501428	0.0396882
a97	0.393704	0.312377	0.0810132	0.0655321	0.0455139	0.0340555	0.0332515	0.0345529
a87	0.358205	0.238619	0.1131	0.102499	0.0688831	0.0469776	0.0377489	0.033968
a10	0.332419	0.179197	0.131429	0.123693	0.0851542	0.0608927	0.0477206	0.0394935
a82	0.371461	0.14305	0.11433	0.12724	0.0987572	0.0662993	0.0448447	0.034017
a97	0.278537	0.113931	0.122571	0.133041	0.12517	0.106411	0.0702109	0.0501279
a30	0.351373	0.127168	0.124672	0.12609	0.104116	0.0784827	0.0519217	0.0361774
a93	0.338081	0.140186	0.126781	0.134604	0.104827	0.0795771	0.0447971	0.0311464
a34	0.31283	0.221404	0.0910657	0.0765192	0.082402	0.0744749	0.0743337	0.0669707
a56	0.276754	0.303721	0.119163	0.0803449	0.0673976	0.0520093	0.0537973	0.046813
a25	0.196457	0.340539	0.131098	0.0837631	0.0669349	0.0568277	0.0646578	0.0597222
a92	0.140089	0.272495	0.146713	0.102059	0.087146	0.0738372	0.0824226	0.0952383
a37	0.154914	0.322463	0.210682	0.11742	0.0694916	0.0390419	0.0395246	0.046462
a75	0.1747	0.336357	0.201465	0.11348	0.0632985	0.0353406	0.0360847	0.0392733
a5	0.115014	0.306095	0.206832	0.135102	0.0888736	0.0476469	0.0451337	0.0553029
a21	0.130499	0.309922	0.202391	0.131557	0.0792775	0.0442528	0.0442654	0.0578345
a47	0.0848497	0.251782	0.188241	0.153586	0.110793	0.0652602	0.0663723	0.0791149
a61	0.0766192	0.215894	0.182425	0.162299	0.125204	0.0750884	0.0692969	0.0931739
a18	0.0360906	0.151112	0.142854	0.146839	0.136698	0.119818	0.124619	0.141969
a43	0.0178741	0.0714718	0.0872678	0.102201	0.100089	0.155073	0.21285	0.253172
a75	0.00917561	0.0322672	0.0635678	0.0888491	0.0903704	0.16616	0.256673	0.292936
a98	0.00711104	0.0196797	0.0336541	0.0544634	0.0782194	0.162101	0.205728	0.439043
a92	0.00337352	0.00917202	0.0179416	0.0281369	0.0430859	0.120615	0.218806	0.558869
a37	0.00242145	0.00701289	0.0144238	0.0243673	0.0412131	0.12341	0.235432	0.551719
a44	0.00155646	0.00276112	0.00477492	0.0103069	0.0220466	0.0907753	0.220698	0.64708
a62	0.000675649	0.00096848	0.00226464	0.00607722	0.0149972	0.0776544	0.210101	0.687262
a21	0.00126978	0.00236542	0.00519807	0.0117595	0.0276429	0.104476	0.250134	0.597154
a12	0.00124363	0.0018791	0.00548652	0.0128342	0.0285598	0.0966753	0.226426	0.626896
a18	0.00101833	0.00147532	0.00356827	0.00772778	0.0181735	0.0766287	0.224934	0.666475
a62	0.0034824	0.0027495	0.0111533	0.0226376	0.0403745	0.110411	0.228484	0.580707
a88	0.00160177	0.00200484	0.00510109	0.0107069	0.0249612	0.102093	0.253338	0.600193
a0	0.000993964	0.00108261	0.00342874	0.0077772	0.019073	0.0940207	0.249805	0.623819
a24	0.00293309	0.00251291	0.00875303	0.0179475	0.0335047	0.112501	0.223511	0.598337
a83	0.00701932	0.00428719	0.0113047	0.0200394	0.0345515	0.100319	0.215436	0.607042
a9	0.00608547	0.00336777	0.00785872	0.0135769	0.0255234	0.0825427	0.214932	0.646113
a3	0.03847	0.0124643	0.030143	0.0399239	0.0482644	0.0990594	0.199776	0.531899
a97	0.169119	0.0664015	0.0770051	0.0881932	0.0802243	0.106716	0.159946	0.252395
a27	0.132987	0.0761248	0.108141	0.13627	0.11587	0.115083	0.143716	0.171809
a9	0.0888405	0.0630756	0.0963366	0.109662	0.0978455	0.109039	0.176886	0.258315
</S>	0.0636994	0.0600985	0.0817197	0.0826429	0.0730242	0.0940003	0.184083	0.360732
