 	il	m'	a	donné	des	coups	de	tête	pour	rien	</S>
a66	0.223768	0.23128	0.142835	0.0958086	0.0744282	0.0814974	0.0604066	0.0343012	0.0223027	0.0177647	0.0156083
a87	0.168322	0.1231	0.0939681	0.0862707	0.0793359	0.0847473	0.0787376	0.0786843	0.0629309	0.0556088	0.0882945
a23	0.261682	0.179731	0.127186	0.10292	0.0760787	0.0700919	0.0537694	0.0480049	0.0299476	0.0220883	0.0285006
a97	0.15272	0.117645	0.0968817	0.0948395	0.0888565	0.109735	0.0967493	0.0985494	0.0528046	0.0415916	0.0496278
a30	0.0988896	0.100826	0.0899098	0.0924315	0.0758538	0.0985442	0.102401	0.101946	0.0736532	0.0780788	0.0874662
a53	0.131332	0.154935	0.137064	0.13662	0.100714	0.114931	0.080562	0.0532438	0.0298792	0.0277148	0.0330044
a90	0.133729	0.156104	0.150553	0.147696	0.105867	0.0937281	0.0682318	0.0509715	0.0344658	0.0295914	0.0290623
a44	0.124694	0.152314	0.154874	0.152931	0.115135	0.081681	0.0600059	0.0476595	0.0399379	0.0340394	0.0367269
a21	0.0859381	0.119787	0.144025	0.155195	0.121803	0.0870824	0.0586472	0.048787	0.0480177	0.0537622	0.0769558
a12	0.0914771	0.112757	0.13824	0.141576	0.119176	0.0843635	0.0589224	0.0501463	0.0515198	0.0613292	0.0904929
a75	0.0943768	0.100806	0.120244	0.138382	0.137352	0.10941	0.0696884	0.0534378	0.0518102	0.0507673	0.0737241
a98	0.0580251	0.0695766	0.0959824	0.112498	0.1158	0.0979915	0.079831	0.0762462	0.0801935	0.088289	0.125567
a47	0.0498428	0.0586831	0.0785631	0.0935885	0.104098	0.0952736	0.0871852	0.0886139	0.0974748	0.106429	0.140248
a79	0.0283039	0.0308178	0.0424079	0.0613565	0.0874708	0.101599	0.0915912	0.092621	0.107027	0.138265	0.218539
a90	0.0346243	0.032897	0.0400919	0.0602645	0.0972264	0.114045	0.0972987	0.0962375	0.104068	0.127405	0.195842
a93	0.0417151	0.0334519	0.0355493	0.0511999	0.0876174	0.12777	0.123504	0.118471	0.109265	0.117039	0.154419
a56	0.0234703	0.0183153	0.0180472	0.0242157	0.0447917	0.08608	0.09687	0.117051	0.144357	0.1834	0.243402
a96	0.0223885	0.0168416	0.0163898	0.0211697	0.0375144	0.0797042	0.0925719	0.122367	0.143142	0.183655	0.264256
a93	0.0191786	0.0151847	0.0138741	0.0157889	0.0244911	0.0493506	0.0598593	0.0926544	0.133803	0.202229	0.373586
a90	0.0173076	0.0140743	0.013019	0.0142359	0.021084	0.0429141	0.0605281	0.110083	0.178391	0.194153	0.334211
a20	0.00499545	0.00406488	0.00428641	0.00564444	0.0096381	0.0228082	0.0387011	0.091358	0.188113	0.246482	0.383908
a7	0.00139039	0.00110594	0.0013075	0.00198036	0.00392167	0.0107261	0.0158918	0.0338658	0.0826854	0.235534	0.611591
a84	0.00151395	0.00113801	0.00118128	0.00159991	0.00239265	0.00644775	0.012444	0.0343401	0.107322	0.31295	0.51867
a82	0.0169133	0.0137899	0.0135167	0.0138573	0.01304	0.0141549	0.0276968	0.0437352	0.0938061	0.245715	0.503775
a57	0.0846844	0.0652972	0.0593013	0.0505072	0.0497234	0.0566964	0.0774534	0.0800233	0.103422	0.16554	0.207351
a3	0.128522	0.0796482	0.0641521	0.0506196	0.0450703	0.0605547	0.0939062	0.123449	0.135178	0.123531	0.095369
a99	0.113221	0.0742017	0.0649296	0.0554343	0.0488616	0.0710982	0.117581	0.152236	0.137709	0.0983208	0.0664071
a97	0.0516678	0.0392047	0.0371752	0.0358244	0.0375438	0.0519625	0.112464	0.176614	0.191671	0.137846	0.128026
a87	0.0407216	0.0307735	0.0330994	0.0360745	0.0424649	0.0708579	0.11715	0.149682	0.149499	0.147162	0.182515
a23	0.0470886	0.0359754	0.0367665	0.0367663	0.0377211	0.0645123	0.103995	0.143376	0.153009	0.159081	0.18171
a99	0.0327637	0.0225334	0.0225295	0.0259238	0.0291212	0.0470246	0.100795	0.161749	0.178593	0.16774	0.211227
a87	0.0437961	0.0316685	0.0335416	0.0362897	0.0389544	0.0602685	0.10988	0.164205	0.161855	0.146605	0.172937
a97	0.0392852	0.0263174	0.0266594	0.0287493	0.0318556	0.0527825	0.0979861	0.154369	0.163313	0.168798	0.209885
</S>	0.0597348	0.0445442	0.0470711	0.0488035	0.0537909	0.0825921	0.106657	0.128924	0.1167	0.123586	0.187597
