 	il	a	mis	un	appât	sur	le	piège	pour	attraper	les	rats	</S>
a23	0.205969	0.132049	0.0837538	0.0762289	0.0620799	0.0582099	0.0533968	0.0499626	0.0489	0.0449149	0.0494846	0.06348	0.0715705
a79	0.229557	0.139322	0.112772	0.101615	0.0814415	0.058842	0.0484974	0.0391807	0.0377078	0.0353581	0.0338945	0.0329214	0.0488912
a20	0.239306	0.177506	0.119056	0.10458	0.0675282	0.0506608	0.0475054	0.0350555	0.0369529	0.0262027	0.0259255	0.0288386	0.0408817
a30	0.408372	0.254441	0.113801	0.0769779	0.0407627	0.027157	0.0202669	0.0123243	0.0120263	0.00773699	0.00780425	0.00838636	0.00994311
a35	0.34939	0.22672	0.130533	0.0928777	0.0559027	0.0343826	0.0261981	0.0158491	0.0163491	0.0125553	0.0138114	0.0126112	0.0128195
a24	0.266865	0.179452	0.133495	0.0945055	0.0601474	0.0439026	0.0412202	0.036319	0.0395024	0.0328234	0.0276182	0.0217033	0.022446
a25	0.169527	0.14135	0.127182	0.106025	0.0646054	0.0546037	0.060765	0.059163	0.0669137	0.0524951	0.0385917	0.0285486	0.0302302
a38	0.0628375	0.0637678	0.0790379	0.0974142	0.0877866	0.0857286	0.0980917	0.0824993	0.086484	0.0706677	0.056146	0.0550934	0.0744453
a14	0.0865374	0.0835032	0.0875537	0.0900218	0.0812936	0.0840982	0.0912196	0.080633	0.0881555	0.0685483	0.0523428	0.0485975	0.0574953
a35	0.0979718	0.106365	0.123015	0.123179	0.0938113	0.0767751	0.0764624	0.0642051	0.0730459	0.0594586	0.0408979	0.0305636	0.0342499
a41	0.0545994	0.062959	0.078096	0.0918969	0.0829641	0.0830605	0.0970773	0.093826	0.109244	0.0932461	0.0593834	0.0423458	0.0513014
a32	0.0443019	0.0534422	0.0704999	0.0901636	0.0936931	0.102143	0.109144	0.0913037	0.0982133	0.0848783	0.0636668	0.0479639	0.0505866
a71	0.0371789	0.0414658	0.0463288	0.0620652	0.0691901	0.092327	0.111866	0.107304	0.117732	0.103653	0.0718184	0.0604338	0.0786371
a38	0.0293213	0.0338546	0.0404547	0.0650126	0.0755368	0.105037	0.12362	0.113752	0.119165	0.098097	0.0659631	0.0540836	0.0761031
a41	0.0199786	0.0244223	0.0325285	0.0545236	0.0728489	0.109728	0.136509	0.126255	0.124765	0.106669	0.0705658	0.0534591	0.0677471
a43	0.0183508	0.0211903	0.0260799	0.0418525	0.0575938	0.0972949	0.126666	0.126925	0.122829	0.11262	0.0832128	0.0699077	0.0954778
a11	0.0121269	0.0135981	0.0162556	0.0296295	0.047738	0.100342	0.129097	0.121938	0.107655	0.0973133	0.0817082	0.0915004	0.151098
a75	0.0139185	0.0163437	0.0190281	0.0344079	0.0531489	0.10933	0.138929	0.126311	0.105431	0.0877252	0.0700469	0.0856964	0.139683
a14	0.0106629	0.0122019	0.012355	0.017903	0.0300601	0.0716712	0.102499	0.111215	0.117423	0.105208	0.0966055	0.126428	0.185767
a30	0.0175416	0.0189184	0.018898	0.0274118	0.0394276	0.0778613	0.0916207	0.0926521	0.0880345	0.0871876	0.0967845	0.140291	0.203371
a57	0.0374466	0.0371311	0.0336155	0.045186	0.0411052	0.0591196	0.0657001	0.0605317	0.0585145	0.0638437	0.0799337	0.151501	0.266371
a87	0.0185616	0.0204739	0.0197274	0.0311083	0.034334	0.0498339	0.0570362	0.0511249	0.0547205	0.0584725	0.0844518	0.182959	0.337196
a23	0.0105765	0.0130686	0.014836	0.0213106	0.0274292	0.0348989	0.0422423	0.0446174	0.0537637	0.0689887	0.122459	0.245469	0.30034
a38	0.00387931	0.00423517	0.0057158	0.00984796	0.0173697	0.0326763	0.0454347	0.0496805	0.0609903	0.0949469	0.192035	0.235129	0.24806
a76	0.0116285	0.0120682	0.0149128	0.0244235	0.0255343	0.0358526	0.0418122	0.0384135	0.0407964	0.0457433	0.0969916	0.216513	0.395311
a94	0.0273581	0.0259	0.0275507	0.0402923	0.0459468	0.058719	0.0717013	0.073363	0.07527	0.0721355	0.0839434	0.156154	0.241665
a58	0.00863161	0.00870829	0.00946284	0.0144922	0.0209641	0.038336	0.0549028	0.0654875	0.0679097	0.0747904	0.0924911	0.196675	0.347148
a57	0.00390843	0.00395665	0.00407394	0.00601253	0.00799801	0.0218186	0.0376928	0.0502131	0.0499542	0.0612595	0.0795329	0.211341	0.462238
a53	0.0033766	0.00360552	0.00402007	0.00597064	0.00929661	0.0176221	0.0272481	0.0362173	0.0424504	0.0612501	0.0980025	0.241298	0.449642
a76	0.0052182	0.00540541	0.00583252	0.009224	0.0143439	0.0344831	0.049962	0.0631054	0.0590194	0.0670199	0.0851992	0.208809	0.392378
a41	0.00637757	0.0069977	0.00744845	0.0113101	0.0151846	0.0313316	0.0457374	0.0628467	0.0663883	0.0746663	0.0868736	0.199222	0.385616
a30	0.00256015	0.00300808	0.0036107	0.00639568	0.0105463	0.0229178	0.0330862	0.0433277	0.0453124	0.0553412	0.0836689	0.235991	0.454234
a57	0.004976	0.004984	0.00516067	0.00813965	0.0100873	0.0201747	0.0263427	0.0293253	0.029829	0.0406732	0.0800086	0.268766	0.471533
a87	0.00729737	0.00764915	0.00742622	0.00993111	0.0102088	0.0176544	0.0279142	0.0362784	0.0427586	0.0678155	0.131221	0.238234	0.395612
a23	0.00375352	0.00413439	0.00442537	0.0063287	0.0100832	0.0164396	0.0266218	0.037724	0.0450018	0.0746075	0.158455	0.251265	0.36116
