 	l'	antilope	a	pris	la	fuite	dès	qu'	elle	a	entendu	le	bruit	de	pas	du	chasseur	</S>
a66	0.260593	0.172106	0.10942	0.0796663	0.0638507	0.0463149	0.0370416	0.0350728	0.0352194	0.0347849	0.0284571	0.0189659	0.0186244	0.0183679	0.0147842	0.0114848	0.00812308	0.00712281
a87	0.223309	0.187268	0.132828	0.0961935	0.0719465	0.0414206	0.0360542	0.0309819	0.0338977	0.0340803	0.02603	0.0183689	0.0160462	0.0119943	0.00901857	0.00913268	0.00986286	0.0115665
a23	0.246339	0.212592	0.135908	0.0920088	0.0673228	0.0442168	0.0425581	0.0395918	0.0316943	0.0208009	0.0123755	0.00981324	0.00748361	0.00572687	0.00526528	0.00643111	0.00855162	0.0113201
a99	0.21969	0.193804	0.135127	0.0912625	0.067552	0.0446127	0.051005	0.0432905	0.0366767	0.0259438	0.0165631	0.0163594	0.0115432	0.00907675	0.00752713	0.00811824	0.00900893	0.0128383
a82	0.21488	0.189382	0.11483	0.0757736	0.054786	0.0408135	0.0440519	0.0326643	0.0301203	0.0243481	0.0214594	0.0251781	0.0224252	0.0213291	0.0203506	0.0208905	0.021628	0.0250892
a44	0.163587	0.172648	0.114355	0.0796476	0.0616207	0.0460559	0.0526039	0.041114	0.0371525	0.0318695	0.0269642	0.0297685	0.0251713	0.0242504	0.0223121	0.0217588	0.0232303	0.0258904
a54	0.133894	0.142749	0.11136	0.104138	0.104935	0.0968445	0.0695259	0.0367708	0.0285279	0.0240218	0.0212843	0.0204918	0.0176194	0.017597	0.0165527	0.0171746	0.0157943	0.0207196
a79	0.0783053	0.126272	0.118632	0.115727	0.129697	0.13127	0.106441	0.0463167	0.0283377	0.024872	0.0185966	0.0160401	0.0125064	0.0118475	0.0102241	0.00880929	0.00707914	0.0090271
a44	0.0484686	0.0848432	0.106306	0.117222	0.138596	0.139468	0.136041	0.0623422	0.0374969	0.0334708	0.02218	0.014846	0.0115205	0.0112002	0.0101577	0.00904087	0.00745643	0.0093439
a13	0.0412533	0.0568131	0.0763975	0.0847174	0.112298	0.124248	0.133751	0.0784319	0.0497293	0.0522409	0.0390613	0.0283859	0.0238042	0.0223779	0.0195465	0.0193393	0.0171925	0.020412
a70	0.0280123	0.026173	0.0399458	0.0538467	0.0821624	0.1121	0.130302	0.102137	0.0757194	0.0759725	0.0574409	0.0430954	0.0342259	0.0288789	0.024964	0.0258355	0.0268339	0.0323551
a4	0.0106774	0.00747752	0.0134744	0.0235624	0.0456933	0.0849746	0.103982	0.123615	0.102532	0.102303	0.0725336	0.0634332	0.0496913	0.0380613	0.0327249	0.0360131	0.0408273	0.0484228
a58	0.00935056	0.00678634	0.0129287	0.024277	0.0483343	0.0870964	0.0993366	0.117641	0.101076	0.10554	0.0767524	0.068309	0.0543392	0.0400797	0.0325319	0.0341879	0.0367686	0.0446646
a11	0.00558925	0.00459712	0.0087254	0.0185354	0.0388279	0.0861998	0.0951196	0.12888	0.108444	0.110122	0.0806462	0.0718768	0.0570575	0.039182	0.0301654	0.0325177	0.0364205	0.0470923
a24	0.00275901	0.00209288	0.00329699	0.00680036	0.0156529	0.0447477	0.0521312	0.110014	0.112188	0.122826	0.104516	0.10384	0.0846188	0.0544421	0.0380095	0.0404755	0.0440871	0.0575033
a11	0.00389191	0.00298749	0.00372431	0.00618655	0.0124225	0.0317996	0.0367003	0.0934779	0.101331	0.118871	0.123008	0.117703	0.0982465	0.0649685	0.0412566	0.0418593	0.0427916	0.0587739
a54	0.00150311	0.00112178	0.00141886	0.00270883	0.00651264	0.0193473	0.0209387	0.0657095	0.0757732	0.0949049	0.11448	0.128311	0.123911	0.0983219	0.0641148	0.0590158	0.0536528	0.0682536
a79	0.00410685	0.00260772	0.00359617	0.00625962	0.0135705	0.0331724	0.0325306	0.0575567	0.071911	0.0896329	0.0870624	0.0865345	0.0900519	0.0887188	0.0763164	0.074673	0.0777963	0.103902
a7	0.00532222	0.00487806	0.00747811	0.0123548	0.0200339	0.0413543	0.0359849	0.0515396	0.0646046	0.0811713	0.0852702	0.0877192	0.0926416	0.0975427	0.0878227	0.0775938	0.0702308	0.076457
a93	0.00153763	0.00111716	0.00190373	0.00418727	0.00875623	0.0220266	0.0193506	0.0448374	0.0586491	0.0726169	0.0726722	0.0822099	0.104187	0.124516	0.116563	0.0992597	0.078836	0.0867726
a4	0.00128147	0.000829296	0.00108351	0.00207572	0.00409082	0.011076	0.0107624	0.0307921	0.0405416	0.051909	0.0607213	0.0781102	0.104035	0.130736	0.126696	0.125294	0.103652	0.116314
a94	0.000956783	0.000629055	0.000800208	0.00149799	0.00302179	0.00842272	0.00837948	0.0247758	0.0313254	0.0402938	0.0474242	0.0662758	0.0929946	0.125788	0.136312	0.150634	0.126334	0.134135
a88	0.000722458	0.000476101	0.000538114	0.000971515	0.00195976	0.00525479	0.00552082	0.0165528	0.0196376	0.0250691	0.0321938	0.0471862	0.0698648	0.103428	0.132777	0.183776	0.175297	0.178775
a71	0.000930186	0.000722221	0.000649147	0.000913668	0.00149111	0.00308985	0.00306916	0.00729501	0.00882864	0.0118844	0.0186895	0.0274226	0.0425273	0.0762531	0.122725	0.203401	0.222074	0.248034
a54	0.000784567	0.00070717	0.000775349	0.00127471	0.00216589	0.00316797	0.00284365	0.00593869	0.00744792	0.010338	0.0176455	0.0262861	0.0454463	0.0810054	0.124064	0.192462	0.228886	0.248761
a7	0.000380337	0.000287488	0.000312628	0.000540032	0.00119824	0.00380134	0.00380043	0.00864337	0.0111377	0.0120013	0.0128588	0.0161484	0.024978	0.0467699	0.0837307	0.164344	0.252935	0.356132
a32	0.000166193	0.000184949	0.000227977	0.000401957	0.000792845	0.00187791	0.00166494	0.00376157	0.00397458	0.00452033	0.00507464	0.0072317	0.0131669	0.0272959	0.0581574	0.148806	0.296078	0.426616
