 	cette	femme	est	en	train	de	verser	les	cendres	dans	la	poubelle	</S>
a23	0.157168	0.121578	0.121691	0.11915	0.102113	0.114238	0.095844	0.0600055	0.0527185	0.022193	0.0134299	0.0110978	0.00877298
a10	0.177412	0.104753	0.0802184	0.0675834	0.0530084	0.0918053	0.0890168	0.0942054	0.109324	0.0493105	0.0357919	0.026948	0.0206226
a30	0.154335	0.126797	0.108464	0.0935961	0.0738627	0.0855356	0.0732228	0.0553185	0.0570645	0.0322385	0.0321018	0.0498339	0.0576291
a93	0.213839	0.156814	0.110977	0.0945876	0.0732158	0.0856174	0.0696939	0.0502201	0.048826	0.0246789	0.0195534	0.0245795	0.027397
a62	0.19466	0.159234	0.112082	0.0953815	0.0631136	0.0638112	0.0613359	0.055406	0.0623912	0.0306891	0.0255909	0.0343743	0.0419309
a12	0.299166	0.22469	0.135102	0.0886156	0.0512233	0.0426726	0.0406009	0.0293008	0.0310883	0.0161485	0.011513	0.0134471	0.0164322
a56	0.271343	0.22817	0.136921	0.0899377	0.0482082	0.0456188	0.045041	0.0348413	0.0410517	0.0200233	0.0130936	0.0124785	0.013273
a93	0.212492	0.188574	0.125721	0.0934016	0.0603041	0.0579278	0.0608733	0.0487665	0.0623349	0.0294335	0.018678	0.0187394	0.0227529
a90	0.131222	0.14907	0.128413	0.109482	0.0919112	0.0887415	0.0813178	0.0539176	0.0597002	0.0276005	0.0203123	0.0247764	0.0335344
a4	0.106781	0.133987	0.127757	0.111931	0.101294	0.092066	0.0804644	0.0582782	0.0623828	0.0313424	0.023716	0.0293357	0.0406648
a13	0.0864054	0.115215	0.118272	0.108952	0.107521	0.103324	0.0904557	0.0675619	0.0720882	0.0328266	0.0241163	0.0299699	0.0432917
a90	0.0612283	0.0912397	0.107383	0.111445	0.120787	0.123051	0.107421	0.0679252	0.0644679	0.0318068	0.0271329	0.0347151	0.0513967
a98	0.0624363	0.0830771	0.0942583	0.0935748	0.10349	0.102702	0.100307	0.0845272	0.0884966	0.0531021	0.0381325	0.0405115	0.0553843
a85	0.0478697	0.0661132	0.0747346	0.0800604	0.0911608	0.088784	0.0922034	0.0918444	0.0992707	0.0727422	0.063064	0.0590801	0.0730724
a47	0.0527529	0.0576202	0.0592011	0.0637639	0.0749789	0.0778817	0.0906765	0.0925858	0.0998036	0.0780041	0.0815685	0.0835183	0.0876445
