 	il	finira	par	maigrir	à	cause	de	l'	alcool	</S>
a66	0.162556	0.146384	0.158551	0.110492	0.150091	0.0971118	0.0567826	0.0500426	0.0410676	0.0269216
a87	0.105407	0.133312	0.145719	0.112299	0.111803	0.10268	0.0842889	0.0798345	0.0717743	0.0528807
a10	0.195288	0.221107	0.128579	0.0963816	0.0906395	0.077107	0.0564782	0.052425	0.044652	0.0373424
a82	0.260828	0.295659	0.124498	0.0874757	0.0801388	0.0528304	0.0345534	0.0272577	0.0217008	0.0150578
a10	0.214905	0.281778	0.142517	0.101727	0.106637	0.0646747	0.0358695	0.025703	0.0159416	0.0102461
a30	0.200411	0.251699	0.137715	0.109799	0.117302	0.0744092	0.0426388	0.0314803	0.0209484	0.0135962
a93	0.18746	0.234395	0.132848	0.118058	0.121906	0.0779049	0.0456031	0.0343277	0.0276486	0.0198483
a75	0.246117	0.15495	0.0919694	0.0686476	0.0983699	0.071736	0.0468456	0.0486201	0.0805948	0.0921495
a96	0.20332	0.15155	0.102824	0.0592216	0.0767113	0.0557574	0.044368	0.0589747	0.106268	0.141005
a75	0.230149	0.151265	0.0677143	0.041989	0.0561241	0.0425922	0.0390103	0.0540891	0.127873	0.189194
a41	0.200277	0.179841	0.0965183	0.0476847	0.0514573	0.0396265	0.0353714	0.0506275	0.114238	0.184358
a75	0.194867	0.182912	0.0881023	0.0433158	0.0428443	0.0326096	0.028844	0.0405233	0.115274	0.230708
a85	0.210207	0.163457	0.0931018	0.0515445	0.0522001	0.043287	0.0362759	0.0486969	0.108827	0.192403
a27	0.255084	0.209096	0.105526	0.0595929	0.0511113	0.0392722	0.0287696	0.032895	0.0734861	0.145166
a82	0.118316	0.173067	0.124589	0.0808273	0.0734693	0.052056	0.0459501	0.048715	0.102178	0.180833
a38	0.111429	0.214167	0.164721	0.108968	0.0836632	0.0519929	0.0384468	0.034912	0.0693904	0.122309
a96	0.0801162	0.135161	0.148241	0.0997396	0.0922916	0.0634799	0.0493379	0.0564706	0.107169	0.167993
a98	0.0265717	0.0472807	0.0813526	0.0775472	0.0763882	0.0656087	0.0607228	0.0772017	0.167638	0.319688
a73	0.0241514	0.0329877	0.046059	0.061063	0.0549349	0.0516726	0.0520028	0.0702247	0.198634	0.40827
a35	0.0198013	0.0310436	0.0472882	0.0652303	0.0528033	0.050694	0.0529014	0.0708429	0.199334	0.410061
a98	0.0111382	0.0138656	0.0208807	0.0342178	0.0311626	0.0351697	0.0472044	0.0807234	0.254047	0.47159
a85	0.00877792	0.0101087	0.0151417	0.0279473	0.0239594	0.0288484	0.0458503	0.0894286	0.286281	0.463656
a37	0.0115554	0.0140732	0.0207613	0.0355199	0.0293639	0.0360204	0.0591205	0.109548	0.281715	0.402322
a56	0.00680538	0.00861532	0.0125875	0.0283034	0.0267298	0.0411775	0.0761447	0.109619	0.240802	0.449215
a44	0.00743273	0.00980549	0.0124644	0.0257292	0.0239996	0.0380667	0.0695545	0.0962077	0.220832	0.495908
a83	0.00258705	0.00417689	0.00622973	0.0178817	0.0168953	0.0293754	0.062002	0.0868646	0.229579	0.544408
a9	0.00189938	0.00311941	0.00545573	0.0171246	0.0158494	0.0270693	0.0632489	0.0909216	0.240353	0.534959
a10	0.0117238	0.0108061	0.0193201	0.041886	0.0401974	0.0501659	0.0752781	0.097955	0.214309	0.438358
a87	0.0492232	0.0404437	0.0550184	0.0915941	0.0885185	0.0986249	0.106346	0.111649	0.140759	0.217823
a97	0.049278	0.0546806	0.0816056	0.110126	0.0992147	0.0921167	0.0835128	0.0939027	0.139587	0.195976
a87	0.0394749	0.0444388	0.0721786	0.0927114	0.0939121	0.089783	0.0853931	0.109047	0.170597	0.202464
a23	0.0424436	0.0549734	0.0805846	0.0868565	0.0847104	0.0782343	0.0727428	0.100261	0.176258	0.222936
a87	0.0187493	0.0284765	0.0481583	0.0793157	0.0725435	0.0902874	0.0927101	0.111367	0.20422	0.254172
a23	0.0355244	0.0495951	0.0637999	0.0750243	0.0716613	0.0754493	0.0709493	0.0974849	0.190866	0.269645
a99	0.0153987	0.0259974	0.0441366	0.0649162	0.0514794	0.0713988	0.0852504	0.118267	0.21764	0.305515
a82	0.0245209	0.0350062	0.0441405	0.0484242	0.0425009	0.0564456	0.0730475	0.108389	0.210084	0.357442
a3	0.0330414	0.0418135	0.043161	0.0431562	0.0336615	0.0401135	0.0476433	0.084695	0.217962	0.414753
</S>	0.068476	0.0963649	0.0844424	0.0730323	0.0581418	0.0541611	0.0496167	0.0767745	0.165738	0.273252
