 	montre-moi	ta	blessure	</S>
a66	0.434793	0.249127	0.187339	0.128742
a87	0.351826	0.244715	0.214078	0.18938
a10	0.762978	0.0924109	0.0607147	0.0838966
a87	0.756521	0.102593	0.0683597	0.0725258
a23	0.724726	0.118365	0.0776038	0.079305
a87	0.570804	0.170805	0.128326	0.130066
a23	0.503705	0.173373	0.155335	0.167587
a26	0.439357	0.174723	0.183524	0.202396
a76	0.313507	0.175393	0.200812	0.310288
a69	0.559684	0.176075	0.121388	0.142853
a32	0.504049	0.193455	0.132621	0.169874
a25	0.421168	0.186112	0.162104	0.230616
a94	0.378653	0.178185	0.181654	0.261508
a90	0.33789	0.192919	0.191675	0.277515
a56	0.265833	0.210536	0.214012	0.309618
a43	0.24545	0.222382	0.240676	0.291492
a25	0.226204	0.213249	0.245762	0.314785
a94	0.199076	0.209936	0.266464	0.324524
a98	0.165192	0.192163	0.251811	0.390833
a73	0.138139	0.229986	0.327515	0.304361
a7	0.0845055	0.204139	0.353	0.358355
a84	0.0513998	0.160724	0.342288	0.445588
a53	0.0413088	0.102078	0.291697	0.564917
a90	0.0521308	0.160778	0.341438	0.445653
a25	0.028552	0.120397	0.318166	0.532885
a98	0.0176049	0.0912151	0.323174	0.568006
a85	0.0124194	0.0548884	0.280602	0.65209
a21	0.0145588	0.0600126	0.272639	0.652789
a5	0.026205	0.0829614	0.256075	0.634759
a37	0.0319339	0.0829063	0.247842	0.637318
a54	0.0172824	0.0478319	0.183558	0.751328
a7	0.0148994	0.0578781	0.222863	0.704359
a18	0.00560613	0.021205	0.133313	0.839876
a88	0.0087472	0.0374953	0.213203	0.740554
a26	0.0129421	0.0547203	0.241198	0.69114
a57	0.0622094	0.122706	0.315023	0.500062
a97	0.189186	0.176201	0.281466	0.353147
a87	0.256796	0.143945	0.252272	0.346987
a57	0.238395	0.15837	0.258543	0.344692
a87	0.2207	0.198259	0.266409	0.314632
a10	0.175186	0.173214	0.256306	0.395294
a87	0.178615	0.17751	0.255679	0.388196
</S>	0.207675	0.197624	0.247772	0.346929
