 	la	fièvre	m'	abat	</S>
a10	0.31741	0.195333	0.173516	0.168489	0.145252
a87	0.196686	0.165019	0.171361	0.236567	0.230367
a23	0.337793	0.192502	0.143935	0.185011	0.14076
a26	0.468757	0.276039	0.128813	0.0788071	0.0475845
a24	0.499231	0.268593	0.142747	0.057828	0.031601
a25	0.477614	0.308912	0.139966	0.048706	0.0248024
a76	0.314951	0.294983	0.201894	0.105668	0.0825035
a35	0.361329	0.313496	0.20983	0.0826935	0.0326511
a26	0.395168	0.288853	0.18721	0.0926906	0.0360785
a24	0.228258	0.217332	0.239099	0.19323	0.12208
a71	0.30023	0.216278	0.207668	0.163111	0.112713
a90	0.203696	0.168879	0.223147	0.228206	0.176072
a35	0.111491	0.131754	0.214463	0.282021	0.260271
a14	0.103362	0.140561	0.214277	0.28843	0.25337
a41	0.0895191	0.137092	0.208295	0.29804	0.267054
a35	0.0196399	0.0370224	0.10431	0.359268	0.479759
a75	0.0206864	0.0321232	0.0882922	0.327988	0.53091
a14	0.0163778	0.0303367	0.0896814	0.303781	0.559823
a30	0.0158163	0.0298396	0.0859984	0.302556	0.56579
a57	0.0118558	0.0256967	0.0794226	0.261478	0.621547
a87	0.036791	0.0576287	0.121236	0.217849	0.566496
a97	0.0399111	0.0501067	0.092386	0.234864	0.582733
</S>	0.0789887	0.088848	0.139578	0.243604	0.448981
