 	il	s'	agenouille	sur	la	natte	</S>
a98	0.0759188	0.0616898	0.0684096	0.0859531	0.173045	0.297362	0.237622
a14	0.321868	0.277407	0.20884	0.0778015	0.0552132	0.0319287	0.0269421
a35	0.424724	0.292586	0.194079	0.050003	0.0235041	0.00902681	0.00607712
a26	0.39137	0.278195	0.204611	0.0612236	0.0364824	0.0161503	0.0119684
a75	0.407067	0.271644	0.172561	0.063926	0.0455125	0.0233531	0.0159374
a14	0.289347	0.213483	0.210238	0.112797	0.0847057	0.0538999	0.03553
a35	0.194316	0.167238	0.171343	0.175236	0.139222	0.0972145	0.0554291
a14	0.155411	0.152186	0.154376	0.195702	0.165763	0.114731	0.061831
a35	0.132763	0.132853	0.127837	0.200804	0.184468	0.129911	0.091364
a76	0.098004	0.112464	0.117727	0.207495	0.210509	0.158352	0.0954484
a94	0.0928208	0.0985599	0.116546	0.215376	0.202994	0.160583	0.11312
a90	0.0366031	0.0515417	0.0693147	0.181083	0.240332	0.253253	0.167872
a76	0.0486578	0.06399	0.0816519	0.157345	0.225281	0.243806	0.179268
a20	0.038946	0.0532982	0.0741972	0.13357	0.207399	0.251056	0.241534
a84	0.0342067	0.0514753	0.0703968	0.111564	0.175696	0.27665	0.280011
a57	0.00864101	0.0168754	0.0239069	0.0562036	0.147797	0.339721	0.406855
a10	0.00875675	0.0143144	0.0187062	0.0570077	0.145298	0.332906	0.42301
a11	0.00629435	0.00791182	0.0128262	0.0604204	0.164566	0.336067	0.411914
a32	0.00851588	0.0117815	0.0196556	0.0786505	0.183111	0.317511	0.380774
a75	0.00720395	0.0110492	0.0206409	0.0760495	0.177186	0.310681	0.397189
a41	0.00713735	0.0104598	0.0192879	0.0499034	0.119102	0.289966	0.504144
a94	0.00541071	0.00729397	0.0131377	0.0425885	0.106752	0.294977	0.52984
a24	0.008166	0.0126324	0.0213447	0.0601872	0.106235	0.252872	0.538563
a98	0.010668	0.0135463	0.0187243	0.0475243	0.102394	0.265446	0.541698
a25	0.00513141	0.0072503	0.0144074	0.0414109	0.0922383	0.291794	0.547768
a38	0.00442732	0.00775859	0.0159949	0.0510805	0.108463	0.299916	0.51236
a25	0.004299	0.00766835	0.0125515	0.0365112	0.0903384	0.270663	0.577969
a69	0.0029054	0.00495039	0.00970467	0.0331531	0.0930323	0.30106	0.555194
a58	0.00267074	0.0045457	0.00853442	0.0368978	0.0976733	0.293781	0.555897
a82	0.00431242	0.00860786	0.0178245	0.0628413	0.126726	0.274322	0.505366
a87	0.00983876	0.0157413	0.0290592	0.0531159	0.108336	0.26412	0.519789
a23	0.0371703	0.0427265	0.0509852	0.0789918	0.143996	0.244823	0.401308
a87	0.0619513	0.0780728	0.0810362	0.105189	0.133006	0.206131	0.334614
a23	0.0337188	0.0466885	0.0629652	0.103675	0.178141	0.226677	0.348135
a87	0.0596331	0.0753827	0.080243	0.119726	0.139394	0.183334	0.342287
</S>	0.025904	0.0420143	0.0661809	0.112007	0.1809	0.207036	0.365957
