 	les	branches	sont	couvertes	de	bourgeons	</S>
a23	0.162163	0.146964	0.210022	0.187351	0.167415	0.0879942	0.0380903
a87	0.319426	0.239727	0.213618	0.115886	0.0550806	0.0300236	0.026239
a23	0.29004	0.223318	0.157707	0.115253	0.0733641	0.0518991	0.0884185
a10	0.350401	0.277298	0.167018	0.077578	0.0395579	0.0373903	0.0507577
a87	0.318214	0.214453	0.141128	0.0807225	0.0524109	0.066528	0.126543
a23	0.287113	0.193409	0.171706	0.0949271	0.0617541	0.0742013	0.11689
a83	0.323027	0.217536	0.15667	0.0735919	0.0504213	0.0616077	0.117146
a24	0.517705	0.260201	0.125228	0.0486112	0.0232825	0.0119936	0.0129783
a41	0.457597	0.302993	0.148645	0.0534465	0.0189169	0.008708	0.00969378
a26	0.359325	0.283342	0.159032	0.0835739	0.0488408	0.033868	0.032018
a61	0.240227	0.266272	0.179196	0.115378	0.0843207	0.0603021	0.0543029
a24	0.219435	0.265887	0.192727	0.136257	0.0939941	0.052428	0.0392722
a32	0.184194	0.241319	0.206334	0.159214	0.116069	0.0512786	0.0415922
a25	0.159833	0.234185	0.184885	0.162015	0.144257	0.0669447	0.0478814
a38	0.115989	0.158813	0.133249	0.127963	0.183849	0.147367	0.13277
a76	0.122072	0.169054	0.151592	0.143966	0.160109	0.124134	0.129073
a14	0.11692	0.168199	0.178912	0.160529	0.196269	0.102325	0.0768456
a35	0.107824	0.136423	0.158345	0.154235	0.198473	0.131524	0.113176
a24	0.0631742	0.0783393	0.0953241	0.109352	0.2049	0.215311	0.233599
a25	0.0526084	0.0609178	0.0696671	0.0812964	0.171172	0.237331	0.327008
a75	0.0455919	0.0487545	0.0531649	0.0643839	0.140265	0.260803	0.387037
a14	0.0429501	0.0430299	0.0473927	0.0577743	0.162714	0.300737	0.345401
a85	0.0352576	0.0304965	0.036003	0.0494448	0.166947	0.315904	0.365948
a92	0.0323196	0.0270206	0.0257501	0.0312434	0.117528	0.307402	0.458736
a37	0.0324433	0.0241477	0.0231694	0.0289046	0.117378	0.318082	0.455875
a54	0.0296713	0.0203447	0.0160995	0.0174155	0.0592172	0.258469	0.598783
a30	0.0317902	0.0238276	0.0200417	0.0229573	0.0586722	0.224242	0.618469
a73	0.0356376	0.023085	0.0208391	0.0287833	0.0636617	0.212572	0.615422
a26	0.047547	0.0293315	0.0282376	0.0352711	0.0654603	0.196251	0.597901
a76	0.0300829	0.0287668	0.0304457	0.0341242	0.0595235	0.164827	0.65223
a73	0.0175516	0.0148694	0.0148883	0.0195637	0.0314943	0.127528	0.774105
a2	0.0060774	0.00521245	0.00496123	0.00658974	0.0155917	0.102311	0.859256
a84	0.015187	0.015633	0.0147211	0.0171645	0.0467653	0.156954	0.733575
a57	0.0201247	0.0228604	0.0213102	0.0264948	0.0677043	0.194489	0.647017
a87	0.00740716	0.00843851	0.0103532	0.0177809	0.0750314	0.255604	0.625385
</S>	0.0148386	0.0128851	0.0180741	0.0292374	0.0908119	0.224625	0.609528
