 	il	construit	un	abri	en	forêt	</S>
a23	0.199852	0.101511	0.0916591	0.109707	0.123313	0.165357	0.2086
a53	0.238021	0.0934585	0.0915198	0.112448	0.1259	0.157491	0.181161
a20	0.414402	0.126362	0.118918	0.123472	0.0900447	0.0676764	0.059126
a14	0.574082	0.158592	0.109951	0.0761993	0.0382415	0.02708	0.0158552
a35	0.493039	0.215327	0.140947	0.0827076	0.0361633	0.0201801	0.0116368
a14	0.472388	0.217342	0.131446	0.0859614	0.0443609	0.0289013	0.0196006
a2	0.30513	0.23337	0.170598	0.128581	0.0770555	0.0497395	0.0355259
a57	0.180951	0.181474	0.14317	0.128735	0.123666	0.120442	0.121562
a38	0.164002	0.167205	0.150377	0.127746	0.116203	0.123791	0.150677
a76	0.174288	0.177561	0.162103	0.140416	0.125518	0.112083	0.108031
a35	0.141321	0.151202	0.15998	0.192723	0.165875	0.112079	0.0768204
a75	0.0837646	0.0926311	0.111754	0.163752	0.204585	0.188388	0.155125
a35	0.0860281	0.0926081	0.107841	0.136087	0.1899	0.203273	0.184262
a83	0.0558528	0.0628264	0.0769076	0.10048	0.178838	0.249981	0.275114
a66	0.0325175	0.0369035	0.0473245	0.0623961	0.135035	0.276439	0.409385
a75	0.0234415	0.0226378	0.0297496	0.0504277	0.121306	0.274606	0.477831
a41	0.0183279	0.0187564	0.024102	0.036569	0.0943048	0.258059	0.549881
a21	0.00784571	0.0103859	0.0151292	0.0244114	0.0750699	0.244963	0.622195
a43	0.0128954	0.0141461	0.0199554	0.0284607	0.0653088	0.20753	0.651703
a75	0.00693331	0.00774242	0.0132764	0.0245411	0.0614222	0.213587	0.672497
a41	0.0102115	0.0116228	0.0181256	0.0291775	0.0714602	0.218219	0.641183
a26	0.00683724	0.00768198	0.0130568	0.0253556	0.0674409	0.223766	0.655861
a57	0.00466708	0.00562794	0.0114258	0.0283601	0.0852848	0.247172	0.617463
a38	0.00532201	0.00519297	0.0130683	0.0382825	0.0996476	0.227388	0.611098
a76	0.00610433	0.0055684	0.0126576	0.0396885	0.0982202	0.233332	0.604429
a84	0.00508338	0.00455778	0.00977175	0.0296967	0.0743513	0.206147	0.670392
a87	0.008452	0.00856803	0.0202491	0.053968	0.108025	0.222621	0.578118
</S>	0.0157274	0.013733	0.025743	0.0557263	0.105062	0.245391	0.538618
