 	je	m'	en	vais	assister	à	la	danse	</S>
a85	0.247074	0.117115	0.103141	0.126252	0.14531	0.121326	0.0714589	0.0408175	0.0275059
a87	0.254502	0.120687	0.0979066	0.132159	0.142787	0.114801	0.0603019	0.0426763	0.0341788
a10	0.2453	0.159637	0.107612	0.113165	0.0981747	0.0897278	0.06871	0.0622653	0.0554082
a87	0.37068	0.19026	0.105588	0.110917	0.0721678	0.049588	0.0355205	0.0327672	0.0325115
a23	0.316164	0.170847	0.110478	0.119138	0.0902686	0.0679243	0.0463562	0.0410313	0.0377935
a50	0.320777	0.179126	0.12693	0.136512	0.0915415	0.0560286	0.0339115	0.0280013	0.0271725
a62	0.385499	0.273356	0.139985	0.110582	0.0430948	0.0174559	0.0112089	0.0101591	0.00865926
a75	0.360805	0.279286	0.144303	0.113043	0.0444747	0.0187892	0.0135306	0.013677	0.0120916
a96	0.266463	0.233945	0.158697	0.146101	0.0747224	0.0360575	0.0282532	0.0291822	0.0265789
a90	0.206554	0.215039	0.171294	0.154504	0.0811313	0.0466586	0.0401188	0.0424847	0.0422156
a25	0.167142	0.203757	0.192683	0.175155	0.0889319	0.0449683	0.0374283	0.0422124	0.0477222
a44	0.168401	0.191871	0.187001	0.172764	0.092473	0.0524383	0.0420727	0.0440286	0.0489513
a98	0.10126	0.12982	0.170631	0.176011	0.128349	0.0864809	0.0660384	0.0668356	0.0745744
a5	0.0634604	0.0684126	0.106439	0.1277	0.132856	0.115906	0.110919	0.12316	0.151147
a27	0.121001	0.106683	0.119245	0.134238	0.142289	0.116167	0.0869396	0.0829796	0.0904561
a75	0.0368079	0.0363307	0.0466678	0.054361	0.0779866	0.120101	0.16213	0.195748	0.269867
a85	0.0368194	0.0346216	0.0498449	0.0512605	0.0749251	0.114278	0.151378	0.194032	0.29284
a44	0.0331195	0.0332328	0.0472026	0.0478768	0.0684927	0.108125	0.155886	0.210068	0.295997
a98	0.0118143	0.0122108	0.0178452	0.0183458	0.0306077	0.0747421	0.160399	0.260688	0.413347
a47	0.00900561	0.00850292	0.0115374	0.0100453	0.0174973	0.0447546	0.131037	0.264636	0.502984
a37	0.0105109	0.00977713	0.0130977	0.0129372	0.0253456	0.0617891	0.149777	0.27962	0.437145
a70	0.00238743	0.00231146	0.00363866	0.00394173	0.0101945	0.0396406	0.128079	0.281596	0.528211
a54	0.00158764	0.00167809	0.00278004	0.00325132	0.00917435	0.038529	0.135792	0.280023	0.527185
a36	0.000988146	0.00107713	0.00213226	0.00276801	0.00870827	0.0352758	0.124778	0.274401	0.549872
a57	0.00240993	0.00190247	0.00271569	0.00369375	0.0116442	0.0421703	0.120175	0.242928	0.572361
a87	0.0618367	0.0479285	0.0442619	0.0436727	0.0563168	0.090765	0.131541	0.18927	0.334408
a23	0.102765	0.0740037	0.0640498	0.0583686	0.0688284	0.120118	0.161261	0.176523	0.174082
a87	0.0666351	0.0482981	0.0435915	0.0314021	0.0415948	0.0975901	0.1817	0.2438	0.245389
a23	0.0435562	0.0337572	0.0344322	0.0286293	0.0409019	0.0842007	0.150586	0.245977	0.33796
a87	0.0412378	0.0359944	0.039307	0.026813	0.0365239	0.075825	0.139907	0.243927	0.360465
a3	0.0316911	0.0278652	0.0315366	0.0238393	0.032992	0.063079	0.121891	0.241234	0.425872
</S>	0.11291	0.0878172	0.0817064	0.0628968	0.0632185	0.0791162	0.104123	0.163668	0.244545
