 	le	traître	c'	est	ngatsono	</S>
a66	0.43016	0.278092	0.108111	0.0851447	0.0602663	0.0382267
a87	0.548361	0.281549	0.108746	0.0421895	0.0117284	0.00742657
a23	0.501856	0.335852	0.0847318	0.0455379	0.018161	0.0138608
a87	0.573572	0.283852	0.0524827	0.0337705	0.0242111	0.0321116
a23	0.585736	0.291301	0.0532709	0.0294844	0.0198635	0.0203445
a87	0.494421	0.302328	0.0797804	0.0500483	0.0322056	0.041217
a23	0.508566	0.283555	0.0839261	0.0529537	0.0360529	0.0349465
a93	0.434789	0.322479	0.100195	0.0604391	0.0376909	0.0444065
a4	0.370693	0.456392	0.107467	0.0422607	0.0144848	0.00870208
a11	0.268086	0.547059	0.107051	0.0444295	0.0192445	0.0141299
a62	0.180162	0.563167	0.147492	0.0600281	0.0285152	0.0206353
a96	0.169717	0.522407	0.198988	0.0645447	0.0267132	0.0176302
a31	0.107217	0.525432	0.230088	0.0762103	0.0364751	0.024579
a43	0.0939287	0.419884	0.262108	0.113351	0.0669029	0.0438253
a75	0.0441571	0.215043	0.341997	0.178386	0.125703	0.0947138
a21	0.0223149	0.0820891	0.183579	0.229949	0.288233	0.193835
a12	0.0324887	0.0572299	0.089655	0.149738	0.330192	0.340696
a75	0.0160703	0.0270734	0.0763374	0.166307	0.330817	0.383394
a6	0.00993703	0.0179487	0.0605087	0.151131	0.335103	0.425372
a36	0.00496872	0.00928608	0.0437008	0.145949	0.329354	0.466741
a25	0.00208549	0.00267919	0.00983984	0.0346416	0.224516	0.726238
a92	0.000432085	0.000477562	0.00359687	0.0159038	0.151862	0.827728
a25	0.000184071	0.000252676	0.00284146	0.0152687	0.157447	0.824006
a79	6.94412e-05	9.33609e-05	0.00238114	0.0159858	0.16956	0.811911
a69	3.81952e-05	5.60015e-05	0.00113181	0.00855338	0.136345	0.853875
a58	0.000245543	0.000320653	0.0064297	0.0285064	0.157112	0.807385
a82	0.000378907	0.00067542	0.0141638	0.0510781	0.212799	0.720905
a87	0.0519837	0.0489145	0.0781368	0.106121	0.215629	0.499215
a23	0.437374	0.242208	0.100531	0.0732736	0.0652065	0.0814081
a97	0.0317309	0.0194119	0.0206398	0.0583506	0.298768	0.571099
a57	0.00512664	0.00797707	0.0149136	0.0422003	0.251145	0.678637
</S>	0.0107389	0.0176382	0.0283567	0.0581976	0.259112	0.625956
