 	attention	tu	vas	tomber	</S>
a23	0.474971	0.298883	0.122331	0.0503712	0.0534428
a79	0.281938	0.220929	0.193881	0.148492	0.15476
a90	0.415806	0.268006	0.160451	0.0778712	0.0778655
a82	0.513722	0.316225	0.114605	0.0342273	0.0212204
a38	0.404762	0.334275	0.191818	0.0474772	0.0216682
a41	0.348397	0.300225	0.217805	0.0885352	0.0450378
a14	0.372289	0.289446	0.200307	0.0894403	0.0485174
a26	0.377347	0.279357	0.164254	0.107754	0.0712886
a38	0.263353	0.259967	0.209217	0.145882	0.12158
a12	0.154949	0.185652	0.208177	0.22828	0.222941
a66	0.0786113	0.100097	0.149361	0.282149	0.389782
a94	0.0537335	0.0621556	0.096355	0.261809	0.525947
a13	0.038235	0.0424012	0.0717483	0.244441	0.603175
a38	0.0532692	0.0591753	0.0804998	0.208935	0.598121
a62	0.0334734	0.0390542	0.0631716	0.184096	0.680205
a98	0.0235538	0.0314546	0.0583755	0.182467	0.704149
a71	0.0183253	0.0265376	0.0591921	0.192123	0.703822
a9	0.0293294	0.0356073	0.0536467	0.176684	0.704733
a87	0.0420094	0.0479188	0.0610414	0.161043	0.687987
a23	0.0537071	0.0435071	0.0522246	0.154016	0.696545
a87	0.0902285	0.0802546	0.0928817	0.188705	0.54793
</S>	0.0309785	0.0285589	0.0481853	0.189631	0.702647
