 	la	femme	prépare	la	bouillie	</S>
a23	0.246012	0.122461	0.108469	0.143845	0.167696	0.211516
a87	0.396531	0.207121	0.0965788	0.0827607	0.072111	0.144898
a23	0.478804	0.25536	0.0991861	0.0629929	0.0376309	0.0660258
a79	0.445753	0.250397	0.0982684	0.0665134	0.0511087	0.0879598
a53	0.428364	0.221579	0.114657	0.0943734	0.0727143	0.068312
a90	0.500814	0.252991	0.098883	0.0705121	0.0472566	0.0295427
a26	0.346648	0.271662	0.154225	0.117042	0.0728888	0.037535
a35	0.354323	0.273174	0.141545	0.115496	0.0700371	0.045424
a94	0.307645	0.236604	0.15524	0.143391	0.0995241	0.0575962
a76	0.245063	0.208804	0.162568	0.169184	0.133719	0.0806619
a35	0.207112	0.179262	0.172019	0.175754	0.158428	0.107426
a30	0.245923	0.199832	0.160737	0.160737	0.137736	0.0950339
a35	0.208619	0.190885	0.165915	0.180476	0.146089	0.108016
a30	0.181249	0.169477	0.164598	0.183503	0.161591	0.139583
a35	0.166769	0.172469	0.185052	0.206414	0.15086	0.118436
a14	0.13932	0.143197	0.173354	0.208637	0.171785	0.163707
a2	0.112161	0.113419	0.140839	0.207912	0.207616	0.218053
a76	0.0242524	0.0324443	0.0657002	0.154319	0.252032	0.471253
a94	0.048305	0.0573235	0.0853789	0.177775	0.257005	0.374212
a58	0.0322516	0.0382628	0.0613828	0.129647	0.244986	0.49347
a76	0.0357405	0.0412347	0.051086	0.104457	0.195181	0.572301
a94	0.0435508	0.0514537	0.0744812	0.137863	0.223996	0.468655
a58	0.0233884	0.0255455	0.0340237	0.075788	0.170849	0.670406
a76	0.0207415	0.0213219	0.0243521	0.0533993	0.129318	0.750867
a94	0.0615936	0.0578761	0.0705281	0.115354	0.184421	0.510227
a26	0.0286338	0.0258968	0.0301293	0.0612762	0.135822	0.718242
a90	0.0299272	0.0223055	0.0207702	0.0385551	0.0921142	0.796328
a94	0.0352075	0.0315272	0.0371502	0.0663729	0.139151	0.690591
a58	0.0356548	0.0282137	0.0283724	0.0530822	0.119546	0.73513
a82	0.0443257	0.0323688	0.0303908	0.0530673	0.113722	0.726125
a87	0.034247	0.0245459	0.0302528	0.0553278	0.130061	0.725566
</S>	0.0558608	0.0367319	0.0461282	0.0598439	0.141554	0.659881
