 	son	aîné	lui	a	flanqué	une	taloche	sur	la	tête	</S>
a66	0.2354	0.182997	0.160933	0.170523	0.128155	0.0545154	0.0264117	0.0148071	0.0106687	0.00867799	0.00691083
a87	0.223459	0.151819	0.126805	0.154275	0.125324	0.083034	0.0506427	0.0323114	0.0206444	0.0159991	0.0156851
a23	0.261931	0.185194	0.179278	0.174032	0.104661	0.040493	0.0166623	0.00991501	0.00865757	0.00927013	0.0099064
a87	0.275729	0.187976	0.178237	0.137874	0.100739	0.0465761	0.0250243	0.0151897	0.0122795	0.0102985	0.0100774
a23	0.309469	0.17343	0.156502	0.134839	0.0785544	0.046124	0.0283246	0.0215138	0.0187484	0.0156782	0.0168169
a87	0.347977	0.186985	0.142047	0.103922	0.0681121	0.0461733	0.0329211	0.0221794	0.01848	0.0159419	0.0152598
a23	0.335359	0.17288	0.139777	0.104138	0.0658107	0.0477404	0.036472	0.0294906	0.0255259	0.0214427	0.0213638
a79	0.373408	0.190885	0.128492	0.0910685	0.0575081	0.0455445	0.0349682	0.0227978	0.0194235	0.0177937	0.0181102
a13	0.224816	0.196403	0.140689	0.132323	0.106167	0.0608142	0.0387879	0.0201978	0.0210989	0.0258035	0.0328995
a99	0.175473	0.134085	0.125085	0.0989593	0.0879935	0.0740423	0.060516	0.0435437	0.0486721	0.0709139	0.0807161
a53	0.104812	0.0814755	0.0816277	0.0804332	0.0836479	0.0797761	0.0763936	0.0702372	0.081501	0.122739	0.137358
a94	0.144258	0.119142	0.13523	0.0908462	0.0842366	0.0755203	0.0527918	0.044578	0.0549864	0.088127	0.110284
a98	0.0703048	0.0653163	0.0915303	0.0732948	0.0786047	0.0801118	0.0648561	0.0714754	0.0886013	0.140107	0.175798
a99	0.0764703	0.0761471	0.107385	0.0878045	0.093075	0.0912495	0.06979	0.0635512	0.0747323	0.112469	0.147326
a88	0.0627194	0.0587125	0.0816021	0.0701315	0.0747871	0.0721584	0.0636371	0.0738226	0.0906838	0.150486	0.201259
a13	0.0189934	0.0205363	0.0292711	0.0327317	0.0414913	0.0468585	0.0539079	0.0898315	0.123656	0.224852	0.31787
a57	0.017388	0.0188116	0.0278083	0.0355119	0.0474672	0.051101	0.0587089	0.0938426	0.121511	0.22679	0.301059
a30	0.0114629	0.0118032	0.0176761	0.0298384	0.0457024	0.0526592	0.0617973	0.096044	0.118539	0.242307	0.31217
a99	0.0124768	0.0118802	0.0156072	0.0270524	0.0379978	0.0536305	0.072288	0.100369	0.122239	0.235552	0.310907
a38	0.01463	0.010998	0.0126279	0.0216409	0.0276023	0.0390517	0.0639405	0.110895	0.133135	0.239094	0.326385
a9	0.0129077	0.0093728	0.0101626	0.017534	0.0230494	0.036956	0.074608	0.140882	0.147789	0.225224	0.301514
a83	0.0661116	0.0369718	0.0351326	0.0517343	0.0405763	0.0485868	0.0914297	0.157409	0.140847	0.147156	0.184046
a9	0.00829199	0.00509826	0.00512678	0.00990456	0.0127216	0.0256586	0.0813477	0.184455	0.189631	0.218457	0.259307
a13	0.0777235	0.0349148	0.0336525	0.0580408	0.0452901	0.0577251	0.104252	0.165262	0.148817	0.137395	0.136927
a99	0.0674384	0.0283858	0.026925	0.0468007	0.0369453	0.050386	0.0913323	0.144048	0.160267	0.16349	0.183981
a97	0.0450095	0.0192631	0.0182521	0.0319951	0.0268531	0.0395891	0.0809931	0.144598	0.176522	0.193272	0.223653
a87	0.131764	0.0556967	0.0506607	0.0772632	0.0526015	0.0555907	0.070776	0.099419	0.116706	0.128467	0.161056
a23	0.191391	0.0960657	0.0945365	0.151877	0.0961052	0.0712744	0.0573442	0.0547965	0.0583295	0.0620755	0.0662042
a87	0.206005	0.0870868	0.0860161	0.109747	0.060219	0.0478102	0.045491	0.0493946	0.0713341	0.0981252	0.138771
a23	0.208182	0.0916619	0.091976	0.113619	0.0514235	0.0357765	0.0327721	0.0351345	0.0627949	0.101918	0.174741
a87	0.183505	0.100108	0.103577	0.138666	0.0739911	0.0532026	0.0419726	0.0393989	0.0584467	0.0808344	0.126297
a23	0.230495	0.105581	0.104545	0.119574	0.0540894	0.0365729	0.0325203	0.0346224	0.0569774	0.088193	0.13683
a87	0.216123	0.117796	0.119149	0.155337	0.0764342	0.046126	0.0344673	0.0317542	0.0458183	0.0646202	0.092375
</S>	0.199234	0.0899326	0.0869689	0.101633	0.0479578	0.0370119	0.0403537	0.0467441	0.0787403	0.111633	0.159791
