 	les	branches	de	ce	safoutier	pousse	dans	tous	les	sens	</S>
a15	0.229832	0.188121	0.124896	0.102463	0.101405	0.0861748	0.0583096	0.037728	0.0261676	0.0230892	0.021813
a66	0.247814	0.169896	0.102291	0.0669133	0.0605771	0.0523266	0.0476132	0.0541334	0.061068	0.0675777	0.06979
a87	0.508589	0.207305	0.0783426	0.0368041	0.0254432	0.0185567	0.0152956	0.0165173	0.0186438	0.0281846	0.0463189
a79	0.427949	0.197225	0.0796783	0.0386009	0.0307618	0.0293702	0.0292034	0.0356234	0.0341419	0.0433488	0.0540974
a69	0.466051	0.203357	0.0804499	0.0341144	0.0215102	0.0156347	0.0167234	0.0229909	0.0345247	0.0457338	0.0589106
a7	0.439771	0.189147	0.101481	0.060523	0.040244	0.0281065	0.0243238	0.0250275	0.032419	0.0302795	0.0286769
a32	0.235113	0.193236	0.126341	0.0742351	0.0509725	0.0414531	0.0395301	0.043167	0.0535988	0.0643811	0.0779724
a75	0.177358	0.193872	0.143969	0.0981181	0.071461	0.0560283	0.0506935	0.0495343	0.0473601	0.0514633	0.0601433
a47	0.119258	0.171932	0.140632	0.112755	0.0831144	0.0620875	0.0519425	0.0527847	0.0543682	0.0677142	0.0834109
a15	0.127724	0.170183	0.1378	0.106468	0.0784579	0.0576973	0.0492996	0.0506256	0.0554073	0.0711728	0.0951642
a36	0.0987508	0.15233	0.140663	0.128723	0.103537	0.0727247	0.0539525	0.049743	0.0485922	0.0636634	0.0873201
a44	0.0967233	0.142221	0.121119	0.113606	0.099482	0.0807819	0.0618814	0.0571602	0.0557188	0.07121	0.100096
a4	0.0811217	0.144522	0.127114	0.1277	0.110677	0.0905289	0.062247	0.0542574	0.0498222	0.0628569	0.0891536
a57	0.0596538	0.119663	0.113303	0.129417	0.124107	0.110676	0.0804699	0.0662172	0.0521176	0.0613625	0.0830123
a9	0.0413946	0.0888981	0.100696	0.138464	0.137092	0.119683	0.0801036	0.0604196	0.0508375	0.0682095	0.114202
a40	0.028313	0.0523621	0.0797186	0.132352	0.155485	0.158471	0.11884	0.0787139	0.0519874	0.05944	0.0843176
a47	0.0182029	0.0318235	0.0356957	0.0622022	0.0822072	0.0981055	0.101304	0.120823	0.115704	0.141059	0.192874
a7	0.0191212	0.0398735	0.0505322	0.0895724	0.108258	0.111015	0.100824	0.110322	0.0967106	0.114378	0.159394
a75	0.0200164	0.0344164	0.0486349	0.0916867	0.123686	0.155284	0.133971	0.105921	0.06946	0.0820312	0.134893
a21	0.0208672	0.0290003	0.0336942	0.0626756	0.089352	0.108209	0.107282	0.127203	0.112346	0.131336	0.178035
a85	0.0174406	0.0293913	0.0334767	0.061818	0.0897136	0.113728	0.110205	0.131596	0.110276	0.126371	0.175984
a47	0.0159053	0.0236435	0.0299367	0.0611698	0.0888738	0.102253	0.103629	0.130724	0.112934	0.137016	0.193914
a36	0.00829023	0.0116772	0.015503	0.0392047	0.0630316	0.0917086	0.101943	0.134383	0.12429	0.147978	0.261991
a40	0.0117555	0.0118179	0.0126545	0.0233676	0.0373889	0.0679379	0.0727037	0.0921643	0.105525	0.173416	0.391269
a6	0.00587851	0.00696294	0.00807157	0.0176016	0.0316889	0.0592135	0.0751039	0.123603	0.138611	0.202338	0.330928
a36	0.00583276	0.00689341	0.00851917	0.0191012	0.034433	0.0654156	0.0820131	0.133134	0.145236	0.187449	0.311973
a61	0.00502543	0.00460444	0.00526741	0.00889552	0.0134938	0.0284547	0.0409202	0.0789078	0.130466	0.238188	0.445776
a47	0.00363211	0.00469231	0.00539164	0.00885511	0.0138295	0.0277283	0.0388098	0.0817625	0.143711	0.255286	0.416302
a61	0.00282159	0.0036893	0.00438595	0.00725696	0.0110726	0.022706	0.0320674	0.0702737	0.137196	0.271699	0.436831
a43	0.00147164	0.0021064	0.00254565	0.00458122	0.00783895	0.0169258	0.0243035	0.0541051	0.117292	0.26944	0.49939
a11	0.00108414	0.00122357	0.00161245	0.0025377	0.00335103	0.00653355	0.0111736	0.0322961	0.0977047	0.281805	0.560678
a66	0.0013754	0.00132493	0.0018501	0.00288515	0.00386635	0.00763142	0.0134938	0.0370074	0.110613	0.288294	0.531659
a9	0.00520615	0.00426674	0.00521329	0.00745735	0.00996536	0.0181754	0.0291719	0.0629356	0.144748	0.276837	0.436023
a10	0.0368687	0.0221576	0.0217071	0.0266351	0.0323314	0.0473419	0.0618264	0.0971669	0.148107	0.214413	0.291445
a87	0.0896284	0.0479852	0.0390378	0.0445561	0.0548565	0.0750532	0.0796912	0.101073	0.126994	0.157083	0.184042
a23	0.0907037	0.0555463	0.0437124	0.0474126	0.0659255	0.0972495	0.105695	0.123155	0.122002	0.119328	0.129269
a99	0.141861	0.0597948	0.0363015	0.033452	0.0350785	0.0439522	0.0511815	0.0864116	0.109723	0.157106	0.245137
a27	0.0974241	0.0438027	0.0328441	0.0411508	0.0474682	0.0558561	0.0621397	0.0927125	0.111578	0.161926	0.253098
</S>	0.0616985	0.0378056	0.0346044	0.0474363	0.0530466	0.0542236	0.0567522	0.0800799	0.102434	0.172498	0.29942
