 	ils	nous	ont	fait	traverser	la	route	</S>
a66	0.470734	0.211751	0.1072	0.0657401	0.0417674	0.0357241	0.0389853	0.0280973
a87	0.156712	0.109002	0.11409	0.142127	0.189805	0.125242	0.0945328	0.0684892
a97	0.238752	0.18148	0.135227	0.118571	0.115572	0.0782052	0.0691471	0.0630457
a99	0.230132	0.215374	0.159982	0.129858	0.109603	0.0582512	0.0499212	0.0468785
a98	0.215735	0.17953	0.136029	0.128815	0.131516	0.078023	0.0706838	0.0596682
a47	0.275909	0.205054	0.139154	0.113277	0.0808315	0.0534361	0.067936	0.0644023
a85	0.20265	0.186612	0.1561	0.133636	0.0811456	0.0668801	0.0882028	0.0847731
a36	0.184618	0.206727	0.163879	0.147333	0.102485	0.0731352	0.0664505	0.055371
a47	0.175629	0.158326	0.14297	0.138094	0.100885	0.0933674	0.0985353	0.0921948
a62	0.142377	0.154615	0.144011	0.127593	0.109232	0.0984708	0.108332	0.115369
a24	0.18592	0.160217	0.124118	0.105475	0.101173	0.0922141	0.106519	0.124362
a11	0.0744642	0.0837263	0.0853654	0.0877161	0.10099	0.13786	0.207768	0.22211
a0	0.0291566	0.028966	0.0343989	0.0458681	0.0772364	0.138761	0.272658	0.372955
a93	0.0198615	0.0181832	0.0197765	0.0249235	0.040376	0.103098	0.270175	0.503606
a13	0.0253502	0.0176704	0.0194015	0.0245702	0.0451759	0.120213	0.293608	0.45401
a93	0.00349436	0.00315165	0.00480959	0.00811091	0.0162734	0.0616668	0.256525	0.645968
a94	0.00350661	0.00376261	0.00631437	0.0106526	0.024209	0.0793935	0.277776	0.594385
a26	0.00137775	0.00134283	0.00328968	0.00651336	0.0152165	0.0694059	0.269168	0.633686
a9	0.043603	0.0194535	0.0240238	0.0293928	0.0539094	0.112558	0.251843	0.465216
a3	0.150022	0.0700613	0.0595112	0.063257	0.106789	0.143824	0.183235	0.2233
a38	0.180996	0.107599	0.101104	0.0944383	0.120043	0.13355	0.136404	0.125866
a9	0.103444	0.0692506	0.0801752	0.0841581	0.121037	0.146965	0.186162	0.208808
a97	0.0704868	0.0476626	0.0490582	0.051392	0.0820368	0.144406	0.249285	0.305673
</S>	0.0486739	0.0367361	0.038649	0.0450243	0.073888	0.136577	0.257824	0.362628
