 	si	tu	restes	trop	près	de	quelqu'	un	qui	souffre	de	la	rougeole	tu	en	seras	contaminé	</S>
a66	0.129755	0.132488	0.0985851	0.0595892	0.0420726	0.041489	0.0376015	0.0600569	0.0769962	0.0897999	0.0751865	0.0656145	0.0556306	0.015332	0.00692734	0.0038654	0.00458103	0.00443028
a87	0.41053	0.277057	0.0757964	0.022929	0.013312	0.0110767	0.00614826	0.00875252	0.0124113	0.0163078	0.0116629	0.0111298	0.0100615	0.0117252	0.030421	0.0216303	0.0298636	0.0191848
a23	0.342419	0.240617	0.106825	0.0540186	0.0498269	0.0354231	0.0241403	0.027422	0.0235523	0.0221877	0.0167907	0.0119826	0.0086883	0.00482562	0.00621075	0.00589764	0.00939808	0.00977426
a30	0.293699	0.207526	0.137111	0.0614487	0.0709768	0.0402669	0.0310355	0.0287278	0.0209823	0.0188165	0.0142215	0.010615	0.00737309	0.00490409	0.00583378	0.00900784	0.0175935	0.0198615
a4	0.156288	0.151572	0.17845	0.0881804	0.118573	0.0711632	0.0417512	0.0386774	0.024743	0.01973	0.0151757	0.0107052	0.00686208	0.00701246	0.0104409	0.0124055	0.0237865	0.0244838
a57	0.175935	0.158662	0.2156	0.114586	0.094036	0.0596436	0.0232017	0.0187432	0.0118062	0.00989947	0.00777958	0.00581581	0.00587432	0.00854209	0.0183913	0.0164035	0.0296047	0.0254755
a44	0.100985	0.106549	0.187501	0.190678	0.128064	0.0863365	0.0345984	0.0232063	0.0148944	0.0118809	0.00901087	0.0070276	0.00715348	0.00891118	0.0154506	0.0161186	0.0258327	0.0258007
a34	0.0710984	0.0786018	0.137717	0.174149	0.139873	0.107396	0.0490851	0.0347833	0.0206314	0.0172453	0.0124744	0.00867919	0.00705543	0.00991926	0.0169208	0.0240858	0.0378043	0.0524809
a70	0.0720315	0.0629553	0.0988605	0.168949	0.14935	0.128668	0.0755661	0.054197	0.0314126	0.0258827	0.018576	0.0127757	0.00993598	0.00767875	0.00981147	0.0113322	0.0239	0.0381174
a93	0.0438525	0.0381293	0.0614892	0.137802	0.149465	0.14468	0.103308	0.0758402	0.0458111	0.0385051	0.0288216	0.0205035	0.0149417	0.0107827	0.0121795	0.0118424	0.0217073	0.0403386
a70	0.0337222	0.0290468	0.0448424	0.125442	0.141627	0.150487	0.109551	0.0834574	0.0553829	0.0453856	0.0375753	0.0257611	0.0181997	0.012534	0.0134559	0.0130581	0.0212882	0.0391832
a62	0.0256782	0.021103	0.0282622	0.0886776	0.108602	0.135033	0.125476	0.102119	0.0817591	0.0689373	0.0613834	0.0467979	0.0303801	0.0147966	0.0116211	0.00931226	0.0135609	0.0265
a34	0.0145284	0.0116665	0.0158044	0.0655512	0.0811734	0.116879	0.126722	0.119306	0.105245	0.0950479	0.0885051	0.0648736	0.0430881	0.0134051	0.00753463	0.00668567	0.00865755	0.0153261
a92	0.00910655	0.00664307	0.00811141	0.0344794	0.0509433	0.0889422	0.111218	0.114229	0.109776	0.109646	0.115142	0.0969384	0.0732998	0.0223415	0.0102796	0.00981537	0.0113108	0.0177771
a44	0.00898086	0.00682695	0.00758468	0.0225193	0.0332427	0.064935	0.0902171	0.101394	0.0979759	0.114834	0.120893	0.116105	0.105212	0.0362191	0.0141762	0.0163826	0.0172341	0.0252674
a21	0.00828804	0.00783459	0.00902922	0.0244269	0.0356834	0.0703678	0.123276	0.119471	0.1254	0.104052	0.112418	0.0991196	0.0692337	0.0224404	0.0121547	0.0147711	0.0186052	0.023429
a92	0.00361254	0.00321657	0.00320545	0.00886553	0.0129184	0.0280382	0.0564189	0.0748426	0.0849264	0.112179	0.143909	0.15499	0.15375	0.0577395	0.0250607	0.0253452	0.0235283	0.0274536
a37	0.00383995	0.00289928	0.00250578	0.00791597	0.0134779	0.028228	0.0555704	0.0757871	0.090537	0.111792	0.140796	0.148924	0.139796	0.0552644	0.0262352	0.0277466	0.028991	0.0396938
a21	0.00650421	0.00785728	0.00968144	0.0223972	0.0278804	0.0531856	0.112617	0.106252	0.117756	0.0945698	0.117153	0.105558	0.0772162	0.0295734	0.016082	0.0256196	0.0313003	0.0387973
a92	0.0040673	0.00324437	0.00258611	0.00638298	0.0086393	0.0183166	0.0341098	0.0486618	0.0608678	0.083799	0.123382	0.154316	0.160746	0.0792028	0.0375992	0.0477524	0.0501087	0.0762186
a37	0.00339032	0.002475	0.00180986	0.00538064	0.00808078	0.0200641	0.0373531	0.050562	0.0633348	0.0718426	0.0994306	0.113397	0.0994977	0.0654149	0.03907	0.0719596	0.0916794	0.155257
a56	0.00615337	0.00672392	0.00752802	0.0174269	0.0206832	0.046793	0.0933018	0.0882814	0.0984307	0.0694523	0.0874105	0.0827808	0.0611902	0.0371965	0.0251901	0.057194	0.075958	0.118305
a34	0.00270454	0.0024295	0.00218079	0.00610455	0.00864013	0.0236975	0.0508211	0.0569266	0.0678999	0.0629637	0.0902759	0.0952362	0.0803216	0.0568142	0.0382642	0.086179	0.111029	0.157511
a21	0.00337359	0.00344612	0.00369588	0.0091781	0.0117011	0.0287905	0.0648965	0.0659058	0.0767915	0.0595285	0.0817661	0.0720031	0.0589044	0.0455736	0.0340017	0.0916421	0.123825	0.164976
a12	0.00314125	0.00285447	0.0023958	0.00485851	0.00505376	0.0103696	0.0229157	0.031559	0.0418922	0.0498003	0.0802647	0.0900629	0.0918157	0.0688877	0.0412293	0.10473	0.153927	0.194242
a18	0.00231257	0.00232644	0.00212662	0.00446729	0.00439913	0.00959896	0.0197309	0.0232037	0.0271779	0.0306825	0.0453007	0.0418725	0.0453497	0.0426885	0.0305559	0.126312	0.227993	0.313902
a90	0.00584903	0.00731253	0.00970076	0.0228746	0.022083	0.0414183	0.0693424	0.0786135	0.103144	0.0645077	0.0742118	0.0482139	0.0323543	0.0291192	0.0224631	0.0616655	0.123086	0.184041
a56	0.00118407	0.000949132	0.000857462	0.00163923	0.00177142	0.00494211	0.0105817	0.0120623	0.0148628	0.0139905	0.0210007	0.0258167	0.0262005	0.0416534	0.042574	0.160903	0.260568	0.358443
a44	0.000884396	0.000881473	0.000762509	0.00153234	0.00152778	0.00366915	0.00801796	0.00930029	0.0123591	0.0117665	0.0178053	0.0192617	0.0174895	0.026297	0.0273211	0.143208	0.28721	0.410706
a70	0.000766136	0.000968919	0.00122436	0.00239042	0.00267468	0.00700336	0.0144801	0.0150972	0.0201716	0.0122564	0.0158187	0.0123491	0.00901257	0.0156691	0.0236441	0.118099	0.270498	0.457876
a62	0.000934256	0.00122609	0.00146009	0.00332217	0.00352444	0.00900394	0.0167728	0.0198925	0.0271605	0.0173608	0.0211056	0.0141125	0.00822883	0.0145315	0.0205248	0.0990685	0.252252	0.469519
a83	0.00129684	0.00160033	0.00171371	0.00347601	0.00392491	0.00971096	0.0182361	0.0235917	0.0322087	0.0232507	0.028624	0.018749	0.00928708	0.0136977	0.0196638	0.0932274	0.242864	0.454877
a62	0.00147736	0.00193551	0.00235315	0.00472893	0.00462632	0.0113871	0.0212652	0.0258461	0.0333636	0.0204567	0.0246632	0.0166103	0.00931182	0.014509	0.0208235	0.0956941	0.249822	0.441126
a83	0.000892605	0.00100904	0.000968343	0.00187055	0.00229929	0.00485637	0.00859542	0.00997029	0.0140292	0.0110913	0.0154847	0.0125478	0.00752838	0.00981267	0.0176669	0.0891393	0.259437	0.5328
a9	0.00334286	0.00432641	0.0054883	0.00944187	0.00801928	0.0158574	0.0270932	0.0317578	0.0388115	0.0219267	0.0257357	0.0172522	0.00931771	0.0131867	0.0247725	0.0964671	0.230601	0.416601
a87	0.0260846	0.0230803	0.0182234	0.0330031	0.0249927	0.0385634	0.0453227	0.050942	0.0576063	0.0442659	0.0492376	0.0502343	0.0459609	0.046887	0.0544176	0.091195	0.125674	0.174309
a23	0.037306	0.0298907	0.015858	0.0216898	0.0166217	0.0308659	0.0354172	0.0417412	0.0483149	0.0443985	0.0467678	0.0564385	0.0524401	0.0971167	0.0878366	0.0857888	0.11343	0.138077
a83	0.0104659	0.00505699	0.00241789	0.00579388	0.00468324	0.00771936	0.00594516	0.00660328	0.00912398	0.008476	0.00933201	0.0143103	0.0139384	0.0466926	0.10235	0.165836	0.238595	0.342659
a93	0.00157991	0.000911443	0.000754361	0.00241414	0.00235693	0.00688184	0.00873384	0.00817307	0.00977189	0.00745257	0.0079584	0.00958701	0.0076557	0.0337668	0.0554085	0.142244	0.24901	0.445339
a13	0.000483871	0.000460696	0.000381803	0.00102257	0.000965838	0.00279506	0.00614552	0.00644187	0.00770784	0.00832933	0.0102124	0.0113484	0.0104757	0.0254564	0.0438128	0.128262	0.272637	0.463061
a30	0.000986016	0.000917526	0.000879058	0.00221385	0.00238072	0.00511591	0.00972598	0.00945894	0.012479	0.00840349	0.0104667	0.0111992	0.0074801	0.0166066	0.035534	0.119166	0.25025	0.496737
a83	0.00807719	0.00587701	0.00341412	0.00592654	0.00440267	0.00781849	0.011421	0.0143608	0.0190219	0.0175106	0.0208472	0.0246499	0.0185515	0.0322704	0.049517	0.0932549	0.206304	0.456775
a79	0.00119463	0.000889383	0.000671697	0.00154802	0.00151826	0.0026872	0.00445779	0.0047825	0.00648811	0.00491926	0.00647937	0.00714263	0.00430449	0.0112318	0.0319738	0.10528	0.252778	0.551653
a69	6.29539e-05	4.60414e-05	4.02831e-05	0.000133243	0.000181852	0.000597082	0.00135427	0.00120015	0.00152378	0.00129905	0.00177698	0.00189954	0.00140067	0.00542728	0.0194011	0.0909912	0.260574	0.61209
a58	3.10617e-05	2.1992e-05	1.78107e-05	5.98002e-05	8.13677e-05	0.000286575	0.000662151	0.000577264	0.000696538	0.000623986	0.000883408	0.00106668	0.000865164	0.00260973	0.0108116	0.0675575	0.25296	0.660187
a82	0.00109821	0.000762719	0.000430073	0.00102149	0.000807427	0.00157012	0.00239533	0.00252325	0.00305037	0.00244214	0.00317272	0.00327117	0.00272445	0.00784514	0.0259335	0.105569	0.261526	0.573857
a87	0.0431221	0.025531	0.0104385	0.0162398	0.00849756	0.0120437	0.011515	0.0138414	0.0162689	0.0146843	0.016398	0.0186218	0.022496	0.0407727	0.0547293	0.122045	0.212842	0.339913
a23	0.14399	0.0802734	0.0215492	0.0194914	0.0116502	0.0160304	0.0118722	0.0152534	0.0183662	0.0186898	0.0193141	0.0286319	0.0452548	0.0528447	0.0535777	0.0859165	0.145255	0.212039
a87	0.0224664	0.0101183	0.00260864	0.00389059	0.0027684	0.00380566	0.00246401	0.00290647	0.00448179	0.00458525	0.0051331	0.0098234	0.0110696	0.0291315	0.0773115	0.15021	0.250083	0.407143
</S>	0.00966087	0.00467458	0.0013415	0.00197838	0.00130757	0.00242596	0.00198131	0.00257739	0.0042759	0.00404054	0.00391031	0.006285	0.00737271	0.0151592	0.0403104	0.103933	0.252323	0.536442
