 	son	épouse	l'	a	quitté	du	fait	qu'	il	n'	aime	pas	rester	à	la	maison	</S>
a66	0.21482	0.182794	0.101741	0.0886542	0.0826184	0.0598756	0.0510949	0.0396653	0.0303518	0.0295043	0.0215152	0.0171193	0.0182067	0.0166651	0.0162656	0.015621	0.0134871
a87	0.193853	0.163164	0.111526	0.0805613	0.065268	0.0473427	0.0388211	0.0389958	0.0310018	0.0354078	0.0300845	0.0244477	0.0311407	0.0294489	0.0297215	0.0267438	0.022471
a23	0.303769	0.137405	0.0892624	0.0600924	0.0480456	0.037846	0.0341417	0.0306325	0.0293294	0.0366163	0.0361375	0.0295068	0.0289596	0.0222881	0.0274335	0.0243918	0.0241419
a53	0.224178	0.119181	0.0978779	0.0671368	0.0623776	0.0471668	0.0419154	0.034864	0.030032	0.0329813	0.0294794	0.0261189	0.0300354	0.0337443	0.0427339	0.0412667	0.038911
a15	0.174711	0.162905	0.116446	0.0793577	0.0592663	0.0436629	0.0374532	0.0323044	0.0321023	0.0318047	0.0270722	0.0256736	0.0365384	0.0429749	0.0407503	0.0321858	0.0247917
a56	0.086952	0.119637	0.121865	0.104427	0.0916924	0.0663299	0.0518467	0.0373937	0.0281695	0.0243543	0.019696	0.0211975	0.033448	0.0462125	0.0492519	0.0541254	0.0434
a75	0.0603551	0.0889967	0.127077	0.118593	0.122015	0.0974809	0.0835867	0.0547677	0.0349415	0.0266251	0.018433	0.0163968	0.0191024	0.0247553	0.0300562	0.0388743	0.0379436
a6	0.0310631	0.0490111	0.0781585	0.0900069	0.0967483	0.0912698	0.0863933	0.0670329	0.0500748	0.0398825	0.0304822	0.0293931	0.0344985	0.0474066	0.0523173	0.0630521	0.063209
a37	0.0284711	0.0449733	0.0759885	0.0923426	0.102751	0.0987567	0.0950974	0.0736315	0.0534793	0.041751	0.0319539	0.0298563	0.0324333	0.0405617	0.0436123	0.0529442	0.0613959
a43	0.046023	0.0586422	0.095281	0.120487	0.13461	0.112478	0.100882	0.0687028	0.0480581	0.0411249	0.0308132	0.0271637	0.0248979	0.0232599	0.0204696	0.0218839	0.0252224
a90	0.0301836	0.0336764	0.0619816	0.101874	0.122227	0.117031	0.118546	0.0847297	0.0656122	0.0585158	0.0405744	0.0330886	0.029817	0.0269765	0.0223573	0.0232774	0.0295329
a94	0.0211987	0.024046	0.0417281	0.0826568	0.111844	0.115558	0.118212	0.0926381	0.0723881	0.0640364	0.0483131	0.0387254	0.0348133	0.0324503	0.0277662	0.0307208	0.0429051
a38	0.014419	0.0138676	0.0210068	0.052708	0.0849537	0.112002	0.135346	0.117649	0.0946683	0.0809952	0.0538982	0.0404662	0.0371533	0.0342478	0.0293335	0.0316269	0.0456594
a56	0.0114818	0.0100775	0.0128853	0.0330781	0.0624007	0.0968227	0.125379	0.122277	0.103521	0.0884887	0.0616908	0.0453707	0.0438202	0.0397742	0.0365218	0.0421304	0.0642797
a90	0.0133044	0.0119759	0.0139158	0.0245548	0.0409686	0.0645731	0.09302	0.104238	0.104997	0.096873	0.0812214	0.0636402	0.0561183	0.0542001	0.0483495	0.0526975	0.0753523
a25	0.00516373	0.00457546	0.00568143	0.0131838	0.0254741	0.0522956	0.0852037	0.122484	0.136783	0.125198	0.102656	0.0707808	0.0544565	0.0491709	0.0405785	0.0417728	0.064541
a90	0.00358304	0.00300466	0.00381981	0.00920327	0.0188207	0.0418916	0.0708975	0.117361	0.150827	0.137078	0.118458	0.0763109	0.054143	0.0490513	0.0377086	0.0372654	0.0705763
a15	0.00450367	0.00376286	0.00446935	0.00977424	0.019074	0.0401933	0.06528	0.11039	0.143894	0.135795	0.122782	0.0822541	0.0613043	0.0518626	0.0402255	0.0382972	0.066138
a20	0.00660026	0.00501534	0.00613667	0.0123619	0.0224581	0.04282	0.0647606	0.112244	0.140625	0.132058	0.129038	0.0877079	0.0586009	0.0483037	0.0378611	0.0356058	0.0578032
a7	0.00644995	0.00494956	0.00587304	0.0118501	0.0202708	0.0364384	0.0500562	0.0822925	0.104876	0.100051	0.109369	0.0855916	0.0631894	0.0668711	0.0570372	0.0651646	0.129669
a58	0.00500385	0.00375098	0.00399136	0.00806513	0.0143419	0.0278663	0.038996	0.0710614	0.108827	0.111696	0.138864	0.101794	0.0720445	0.0627872	0.0526631	0.0579019	0.120346
a82	0.00729416	0.00557752	0.00524313	0.00858727	0.0135407	0.0243531	0.0324256	0.0557433	0.0867135	0.0935087	0.126473	0.0943349	0.0674331	0.0610067	0.0603219	0.076719	0.180725
a87	0.0187963	0.0168237	0.0167038	0.0220245	0.0272353	0.0335405	0.0399962	0.06317	0.0777638	0.085352	0.0920395	0.069928	0.0619096	0.0638191	0.0702967	0.0851431	0.155458
a23	0.0431106	0.0313891	0.0255023	0.0307874	0.0393683	0.0438559	0.0420309	0.0558631	0.0517951	0.057401	0.0667428	0.0720832	0.0948428	0.0888098	0.0920591	0.0791422	0.0852164
a11	0.00671637	0.00443546	0.0043545	0.00761946	0.0126172	0.020451	0.0252136	0.0427945	0.0499616	0.0597944	0.0805951	0.0987502	0.122461	0.137854	0.13126	0.0959933	0.0991287
a75	0.000477319	0.000719455	0.00125694	0.00438612	0.0104853	0.0183829	0.0211032	0.0318056	0.0394182	0.0409691	0.0669003	0.0911755	0.130417	0.139864	0.136637	0.121123	0.144878
a92	0.0016825	0.00254048	0.00377644	0.00805226	0.0130684	0.0199444	0.0241529	0.0338959	0.0401128	0.037901	0.0500199	0.0605176	0.0757101	0.0863876	0.111063	0.174676	0.256499
a12	0.00197507	0.00299125	0.00427765	0.008795	0.0140842	0.0208442	0.0242363	0.0324304	0.0382826	0.0365766	0.0519269	0.0638319	0.0787342	0.0911513	0.11356	0.168023	0.24828
a62	0.00102794	0.00111982	0.00127987	0.00297332	0.00618936	0.0108466	0.014612	0.0232981	0.0300978	0.0306603	0.0448949	0.0575511	0.0718358	0.0951922	0.121513	0.189254	0.297654
a47	0.00133756	0.00121653	0.00120075	0.00235237	0.00475836	0.0100101	0.0162132	0.0299882	0.0384749	0.038028	0.0490295	0.0573415	0.0700135	0.10065	0.131351	0.184269	0.263766
a62	0.00179146	0.00171728	0.00167955	0.00314834	0.00573325	0.0122918	0.0201125	0.0366918	0.0446263	0.0440215	0.051969	0.0578881	0.0700762	0.101808	0.132585	0.178025	0.235835
a12	0.00146211	0.00124437	0.00111657	0.00191574	0.00336079	0.00714738	0.0124226	0.026717	0.0362621	0.0386171	0.0508545	0.05933	0.0681791	0.101524	0.132551	0.187652	0.269643
a96	0.00149744	0.00131938	0.00119943	0.00204873	0.00342253	0.00667432	0.0107035	0.0231706	0.0315455	0.0349553	0.0504182	0.0611334	0.0670024	0.100644	0.132851	0.194357	0.277057
a54	0.0008831	0.000747437	0.000686963	0.00136054	0.00238613	0.00510646	0.00861587	0.0201409	0.0280476	0.0304288	0.0439778	0.0531769	0.0595915	0.0980498	0.134592	0.198608	0.3136
a7	0.00021756	0.000184353	0.000245352	0.000622674	0.00128658	0.0032032	0.0056224	0.0149441	0.0287903	0.0313213	0.0535866	0.061844	0.0566024	0.0966491	0.118847	0.169784	0.356249
a2	0.000673634	0.000619294	0.000752087	0.00168227	0.00277253	0.00512434	0.00645215	0.0153317	0.023168	0.0261354	0.0514178	0.0538364	0.0484674	0.0802692	0.105614	0.167013	0.410671
a57	0.011167	0.0116298	0.0108199	0.0165306	0.0196861	0.0212788	0.0175647	0.024897	0.0336524	0.0360237	0.0709346	0.0755494	0.072318	0.0908795	0.0988502	0.125626	0.262593
a99	0.0683187	0.0433381	0.0276206	0.0253467	0.0246545	0.0242895	0.0215958	0.0273458	0.0359715	0.0407871	0.0710003	0.0814116	0.0810672	0.0830201	0.0844274	0.0927568	0.167048
a97	0.0732909	0.0379946	0.021484	0.0171831	0.0161313	0.0169135	0.016813	0.0226779	0.0335163	0.0405112	0.0690997	0.0775959	0.080917	0.0833389	0.0932154	0.10632	0.192997
