 	ce	fleuve	a	un	débit	important	</S>
a66	0.254575	0.16992	0.135934	0.147251	0.18145	0.0788142	0.0320554
a10	0.151924	0.137761	0.139901	0.178796	0.169764	0.133434	0.0884199
a87	0.352938	0.184962	0.102272	0.101619	0.11158	0.0863204	0.0603077
a83	0.406777	0.243339	0.112384	0.0717252	0.0767296	0.0554109	0.0336349
a34	0.379601	0.197551	0.091066	0.0538125	0.0883454	0.101973	0.087651
a98	0.431389	0.276827	0.133615	0.0735397	0.0410268	0.0285914	0.0150102
a47	0.33697	0.27114	0.169111	0.0874311	0.0556271	0.0440973	0.0356231
a37	0.272999	0.256608	0.206852	0.112647	0.0661406	0.0469105	0.037843
a85	0.240646	0.235929	0.225237	0.140057	0.0691819	0.0488798	0.0400704
a37	0.178962	0.21359	0.245611	0.205553	0.0871989	0.037943	0.0311414
a98	0.174157	0.198747	0.230202	0.209262	0.0872162	0.0450444	0.0553717
a85	0.112112	0.14179	0.181285	0.194148	0.149824	0.0955433	0.125297
a5	0.110129	0.139534	0.180429	0.204548	0.15789	0.0988641	0.108605
a21	0.116854	0.144977	0.167152	0.204045	0.169274	0.0998207	0.0978771
a96	0.138918	0.143318	0.144621	0.177583	0.176763	0.117715	0.101083
a98	0.0783902	0.0853822	0.0995751	0.144902	0.208017	0.175079	0.208655
a47	0.0558987	0.0523454	0.0530829	0.0736525	0.17357	0.217366	0.374084
a41	0.0453495	0.0427286	0.0426067	0.0568648	0.124939	0.188602	0.49891
a27	0.0384776	0.0375105	0.0368462	0.0419644	0.0809658	0.199026	0.56521
a38	0.021301	0.0192172	0.0226075	0.0330855	0.0651942	0.185777	0.652817
a21	0.0204618	0.0178495	0.0203837	0.0300248	0.0557786	0.201105	0.654397
a5	0.0254139	0.0222563	0.02437	0.0300861	0.0606927	0.206585	0.630596
a85	0.00824032	0.00714757	0.0097646	0.0180833	0.049156	0.192386	0.715222
a44	0.00901002	0.00885162	0.011996	0.0182681	0.0455351	0.179878	0.726462
a26	0.0035459	0.00282986	0.0034664	0.00785306	0.0279685	0.174129	0.780207
a98	0.057224	0.0497487	0.0464795	0.057891	0.101516	0.223006	0.464135
a85	0.00634929	0.00542283	0.00799682	0.0201787	0.0474431	0.182732	0.729877
a37	0.00386637	0.00313321	0.00499	0.0145471	0.0375093	0.169664	0.76629
a66	0.00485066	0.00420399	0.00593923	0.013713	0.0310228	0.175455	0.764815
a9	0.0899653	0.0640459	0.0517677	0.0493983	0.0726961	0.182929	0.489197
a87	0.196514	0.105594	0.0553875	0.0376133	0.056118	0.147981	0.400793
a23	0.152186	0.0804607	0.0383999	0.030784	0.0659874	0.164119	0.468063
a99	0.0938899	0.0461458	0.0218619	0.018077	0.0334888	0.15125	0.635287
a87	0.0713201	0.041842	0.0288675	0.0323064	0.0454301	0.179766	0.600468
</S>	0.0628243	0.0354429	0.0245491	0.0301456	0.0414875	0.165377	0.640173
