 	cesse	d'	enforcer	tes	doigts	dans	la	nourriture	</S>
a66	0.374698	0.261191	0.189539	0.0840598	0.0417172	0.0196832	0.0146521	0.00912176	0.00533739
a87	0.373395	0.214218	0.0941639	0.0922256	0.0725022	0.0520096	0.0400681	0.0347664	0.0266513
a23	0.463256	0.273209	0.0950201	0.0603764	0.0388615	0.0206239	0.0147759	0.0180307	0.0158466
a99	0.539963	0.190198	0.0695199	0.0588315	0.03725	0.0221193	0.0174583	0.0263742	0.0382862
a83	0.325893	0.104258	0.0982246	0.145694	0.0973863	0.0663794	0.0506204	0.0543562	0.0571883
a50	0.297347	0.173397	0.105507	0.12069	0.0925098	0.0660117	0.0565421	0.048278	0.0397166
a62	0.144326	0.130052	0.105089	0.134515	0.152671	0.111346	0.0909871	0.0851378	0.0458754
a5	0.101002	0.098411	0.0959517	0.127445	0.165161	0.133136	0.109401	0.108569	0.0609242
a36	0.0960758	0.106197	0.126288	0.122702	0.175112	0.151488	0.0994876	0.0804178	0.0422313
a61	0.123882	0.143558	0.199695	0.13084	0.111289	0.0940899	0.0666103	0.0636264	0.0664097
a34	0.10176	0.142692	0.188658	0.113142	0.103684	0.115713	0.0928728	0.0723122	0.0691663
a93	0.0629597	0.108205	0.180527	0.104946	0.0880812	0.119206	0.135103	0.102099	0.0988746
a4	0.0362995	0.0664704	0.114665	0.0894852	0.0805162	0.122248	0.170984	0.153628	0.165704
a57	0.0134367	0.022149	0.068479	0.0623766	0.0504486	0.0891019	0.195635	0.217834	0.280539
a38	0.0123355	0.0259381	0.0589219	0.0464492	0.0307511	0.0455482	0.107631	0.193909	0.478516
a12	0.0112436	0.0172068	0.0294872	0.023966	0.0227434	0.0416166	0.111112	0.201588	0.541037
a47	0.00179401	0.00248236	0.00389433	0.00544452	0.00492525	0.00988824	0.0500585	0.189783	0.73173
a18	0.00112553	0.00211677	0.00299486	0.00406717	0.00624051	0.0176354	0.0781511	0.221232	0.666436
a12	0.00644676	0.0100754	0.0121371	0.0151832	0.0187139	0.036505	0.0944421	0.178197	0.628299
a18	0.00070577	0.00119841	0.00161328	0.00301054	0.00357084	0.00720354	0.0356099	0.153706	0.793382
a25	0.00165534	0.00307666	0.00386922	0.00528769	0.00870422	0.0241507	0.0936186	0.212012	0.647626
a87	0.00652079	0.00814536	0.00674709	0.0119865	0.0235194	0.0504585	0.117001	0.246642	0.528979
a23	0.344465	0.205941	0.0550103	0.0415859	0.0462938	0.0593918	0.0702014	0.0862091	0.0909016
a87	0.191868	0.123248	0.0266871	0.0282921	0.0443595	0.0626501	0.102439	0.176567	0.24389
</S>	0.0363676	0.0269976	0.00938549	0.0124973	0.0214384	0.0376729	0.0909955	0.249536	0.515109
