 	les	hommes	partent	chasser	le	bouc	</S>
a23	0.215281	0.197097	0.27614	0.197018	0.0578458	0.0307004	0.0259182
a10	0.27002	0.217216	0.141511	0.159586	0.0663629	0.0719811	0.0733234
a40	0.319679	0.268069	0.154923	0.0936499	0.0403358	0.0501098	0.0732341
a44	0.420753	0.30557	0.0947006	0.061892	0.0399027	0.0343409	0.0428403
a98	0.528223	0.296237	0.0775693	0.0452782	0.0193828	0.0169334	0.0163759
a47	0.369121	0.312845	0.154521	0.0778533	0.0320978	0.027214	0.0263473
a7	0.3068	0.310397	0.168614	0.0767261	0.040484	0.04516	0.0518189
a98	0.27221	0.33315	0.209349	0.0936503	0.0306315	0.0280445	0.0329658
a47	0.204864	0.249237	0.22158	0.110721	0.0666958	0.0644863	0.0824164
a37	0.208827	0.249464	0.236165	0.130078	0.0553345	0.0509441	0.0691869
a26	0.235889	0.24894	0.251809	0.140459	0.045294	0.0357702	0.0418385
a75	0.0985853	0.124812	0.23092	0.213568	0.0998426	0.0977029	0.134569
a56	0.0867291	0.103339	0.178092	0.151428	0.13801	0.154586	0.187816
a70	0.10119	0.10859	0.201987	0.197452	0.145081	0.118244	0.127456
a75	0.0597615	0.0599184	0.155719	0.24097	0.230046	0.131889	0.121697
a47	0.0453303	0.0522065	0.0941044	0.133443	0.165584	0.20777	0.301562
a34	0.0350822	0.0346489	0.06261	0.110581	0.199511	0.227226	0.330341
a75	0.0315474	0.0328153	0.063903	0.104865	0.218289	0.249726	0.298853
a79	0.0302957	0.03041	0.0467725	0.0736749	0.161549	0.242382	0.414917
a37	0.0213585	0.0200829	0.0327859	0.0517573	0.146604	0.288747	0.438665
a44	0.0079303	0.00732572	0.0140641	0.0312632	0.111101	0.300089	0.528227
a93	0.00527928	0.00596312	0.0136217	0.0296292	0.108248	0.307888	0.529371
a43	0.00465039	0.0053272	0.011543	0.0306306	0.114568	0.309485	0.523796
a0	0.00112998	0.00122659	0.00253518	0.00759823	0.0438919	0.222107	0.721511
a24	0.000773119	0.00104818	0.00186399	0.00489351	0.0308376	0.198973	0.761611
a9	0.00142758	0.00214711	0.00306858	0.00670952	0.035853	0.209377	0.741417
a10	0.00770593	0.0101929	0.00937643	0.0238692	0.106242	0.280105	0.562509
a87	0.0589914	0.0519949	0.0432968	0.0827773	0.171776	0.246765	0.344399
a10	0.114775	0.0821977	0.0841605	0.156573	0.19722	0.18537	0.179703
a87	0.0867533	0.0608925	0.0660888	0.12646	0.168185	0.196694	0.294926
a23	0.0369675	0.0303992	0.0340469	0.0820069	0.155525	0.235981	0.425073
a87	0.0372639	0.0315834	0.0279699	0.0634491	0.160411	0.256104	0.423218
</S>	0.0381297	0.0372226	0.0376042	0.0593522	0.138173	0.228834	0.460684
