 	le	vin	du	palmier	à	huile	que	j'	ai	bu	hier	m'	a	énivré	</S>
a15	0.154231	0.114375	0.0662838	0.0382627	0.0301809	0.0451518	0.072929	0.0879387	0.09538	0.0913726	0.0886143	0.0592318	0.0283911	0.0166006	0.0110566
a66	0.150316	0.0755521	0.0450874	0.0374292	0.0304766	0.0584475	0.100115	0.109848	0.128419	0.0844497	0.0667223	0.0394829	0.0231322	0.022647	0.0278744
a87	0.369653	0.149871	0.078796	0.0563202	0.0476224	0.0448119	0.0453445	0.0373755	0.0399233	0.0308018	0.0237616	0.0147881	0.0110915	0.0174733	0.0323661
a23	0.28188	0.150698	0.116041	0.100957	0.0746177	0.0492954	0.0359838	0.0357027	0.0400789	0.0330442	0.0224356	0.0169249	0.012602	0.0120318	0.0177076
a87	0.206374	0.113125	0.108767	0.134874	0.106047	0.0739927	0.0521781	0.0508953	0.045958	0.0366092	0.0205879	0.0150317	0.00906849	0.00808267	0.0184097
a23	0.177473	0.10204	0.095685	0.106727	0.09849	0.0821964	0.0651354	0.0648416	0.0605642	0.0501795	0.0286763	0.0201758	0.0127913	0.0112089	0.0238156
a87	0.205559	0.1025	0.0908457	0.109207	0.0895926	0.0719684	0.0537517	0.0510849	0.047715	0.0453654	0.032046	0.028979	0.0196907	0.0167794	0.0349162
a23	0.150406	0.0880026	0.0888834	0.109073	0.103349	0.0889926	0.0688524	0.0658684	0.0580145	0.0520662	0.034252	0.0273718	0.0185826	0.01556	0.0307259
a97	0.197263	0.0989302	0.084232	0.0955946	0.073743	0.0583706	0.0442029	0.0425688	0.0423675	0.0496398	0.0454671	0.0473966	0.0346181	0.0280686	0.0575374
a30	0.156642	0.101281	0.0856318	0.0770719	0.0604685	0.05749	0.049899	0.0524934	0.0587865	0.0739596	0.061368	0.0582223	0.037008	0.0295575	0.0401199
a70	0.186849	0.116081	0.0983072	0.0818244	0.0585131	0.0547297	0.0434899	0.0439366	0.0451576	0.0581023	0.0497124	0.0537383	0.0360582	0.0300469	0.0434533
a83	0.122031	0.109664	0.141122	0.149138	0.123091	0.0952739	0.0613022	0.0541808	0.0387851	0.0323736	0.0204952	0.0177407	0.0127532	0.0102951	0.011755
a62	0.0947815	0.100601	0.146512	0.173777	0.144042	0.0884204	0.0558605	0.0505376	0.0368351	0.0290875	0.0183739	0.0172727	0.0156265	0.0136723	0.0146011
a31	0.0550131	0.0792305	0.132136	0.169339	0.147658	0.105622	0.0760514	0.0677614	0.0506823	0.0411882	0.0250648	0.0173539	0.012726	0.0103439	0.00982938
a47	0.0477139	0.0606413	0.0968685	0.140013	0.132703	0.117062	0.0950364	0.0880242	0.0681968	0.0550354	0.0315663	0.0218174	0.0172343	0.0147086	0.0133786
