 	il	brûlait	de	partir	</S>
a10	0.395022	0.189193	0.157521	0.146956	0.111309
a99	0.285912	0.15785	0.159558	0.176314	0.220365
a30	0.257578	0.111725	0.142554	0.198327	0.289816
a53	0.230446	0.10647	0.147682	0.220071	0.295332
a54	0.358685	0.193193	0.161711	0.140383	0.146028
a47	0.470177	0.175313	0.140904	0.117763	0.0958437
a44	0.577663	0.171851	0.100896	0.079708	0.0698826
a90	0.730512	0.159537	0.0546817	0.0318166	0.0234528
a76	0.55934	0.222883	0.0989859	0.0646529	0.0541379
a90	0.285351	0.183614	0.165896	0.177857	0.187282
a58	0.29908	0.245057	0.174761	0.144726	0.136377
a53	0.286102	0.290837	0.181824	0.12845	0.112787
a54	0.191551	0.28415	0.210957	0.162706	0.150635
a56	0.0602439	0.17921	0.209591	0.247857	0.303098
a43	0.0568729	0.175149	0.223871	0.253939	0.290167
a75	0.0199329	0.0810156	0.160326	0.286234	0.452491
a98	0.0166062	0.0586488	0.123991	0.292027	0.508727
a44	0.0112061	0.0446862	0.108683	0.292842	0.542583
a11	0.0125133	0.0454023	0.105129	0.2555	0.581455
a54	0.00496949	0.0208228	0.0760222	0.243401	0.654785
a73	0.0073183	0.0239645	0.0674718	0.229845	0.671401
a2	0.00324238	0.01221	0.047723	0.203102	0.733723
a57	0.00745821	0.0201684	0.0727565	0.240311	0.659306
a10	0.06628	0.093097	0.159864	0.261173	0.419586
a87	0.0796255	0.103174	0.164868	0.265341	0.386992
a23	0.0881383	0.10912	0.179501	0.267368	0.355872
a87	0.0297481	0.048225	0.139503	0.322769	0.459755
</S>	0.0134909	0.0440035	0.126236	0.286597	0.529673
