 	finis	le	reste	de	la	nourriture	qui	est	dans	la	marmite	</S>
a66	0.253452	0.182072	0.120642	0.109743	0.100453	0.0610761	0.044072	0.0358235	0.0270957	0.0226522	0.0215434	0.0213757
a87	0.47142	0.266833	0.103815	0.0405303	0.0246388	0.0173686	0.0131798	0.010635	0.0099985	0.0109162	0.0156645	0.0150014
a23	0.566417	0.248285	0.0706195	0.0260449	0.0156204	0.0102057	0.00803063	0.00781224	0.00843008	0.00942651	0.0142861	0.0148226
a87	0.665328	0.188793	0.0397456	0.0130183	0.00791931	0.00702866	0.00744125	0.00794792	0.00967342	0.0118109	0.0176417	0.0236527
a23	0.640657	0.189664	0.051142	0.0214977	0.0146864	0.0131426	0.00996711	0.00892369	0.00951062	0.0108324	0.0140163	0.01596
a87	0.664246	0.12787	0.0379613	0.0200115	0.0168643	0.015758	0.0134749	0.0132411	0.0161381	0.019883	0.0249761	0.0295758
a23	0.534274	0.156558	0.0553566	0.0313289	0.0251471	0.0268836	0.0222744	0.0211085	0.0233436	0.028051	0.0354974	0.0401773
a10	0.545267	0.124434	0.0460782	0.0301461	0.027629	0.0280654	0.0230626	0.0221832	0.0271634	0.0340423	0.0425399	0.0493882
a62	0.409929	0.149894	0.0779569	0.0627127	0.0534704	0.0409865	0.0307968	0.0278072	0.0328328	0.0367826	0.0388672	0.0379646
a96	0.315295	0.245793	0.174953	0.0904642	0.060562	0.037677	0.0199131	0.0135179	0.0125432	0.0108255	0.0098694	0.00858675
a0	0.204384	0.212549	0.184844	0.112895	0.0844902	0.0630108	0.0343946	0.0257062	0.022835	0.0194459	0.0183606	0.0170851
a75	0.133203	0.160033	0.176018	0.118811	0.0994654	0.0946893	0.0521471	0.0387506	0.0335598	0.0304459	0.0312229	0.0316549
a12	0.0639114	0.126749	0.199281	0.155897	0.138629	0.103476	0.0617357	0.0390991	0.0334169	0.0283482	0.0256321	0.0238246
a96	0.0823629	0.152689	0.192132	0.163698	0.14394	0.107234	0.0465165	0.029075	0.0226294	0.0197454	0.0195954	0.0203832
a62	0.0658402	0.122671	0.15738	0.146581	0.13222	0.123714	0.0601464	0.0425312	0.0354344	0.0338368	0.0372791	0.0423656
a21	0.0431471	0.0973658	0.131818	0.15593	0.162716	0.154035	0.0767774	0.0530668	0.0371505	0.0301151	0.0284914	0.029387
a5	0.0400761	0.0635067	0.0760419	0.107517	0.132948	0.174314	0.104214	0.0847069	0.0630138	0.0530448	0.0489752	0.051641
a96	0.0190811	0.0358378	0.0435769	0.0925117	0.134081	0.182752	0.124116	0.0990564	0.07188	0.0626044	0.0633076	0.0711954
a31	0.0163225	0.0302304	0.0323868	0.0758111	0.118682	0.165622	0.139534	0.120082	0.0840684	0.0685553	0.0692686	0.0794381
a88	0.0127285	0.0229238	0.02414	0.0577884	0.0901865	0.132433	0.133924	0.133279	0.102643	0.0881133	0.0917481	0.110092
a11	0.00520816	0.00919127	0.00990356	0.0240687	0.0389143	0.0727488	0.104609	0.135325	0.133985	0.137733	0.152184	0.176129
a0	0.00366547	0.00772522	0.00924707	0.0232259	0.0341621	0.0542483	0.0824004	0.108751	0.126139	0.156149	0.191805	0.202482
a75	0.0028478	0.00572448	0.00636366	0.0158912	0.0235794	0.0299067	0.0547835	0.0871037	0.121727	0.174846	0.229446	0.247781
a56	0.000987916	0.00128807	0.00146888	0.00309192	0.00427185	0.00887153	0.019481	0.0502766	0.107249	0.180155	0.259249	0.363609
a94	0.000638092	0.00105352	0.00132469	0.00323987	0.00531856	0.0106922	0.0245384	0.0565746	0.106711	0.179882	0.26822	0.341807
a11	0.000228565	0.000408376	0.000499763	0.00121525	0.00178606	0.00306162	0.00860706	0.0239778	0.062456	0.147233	0.293043	0.457483
a70	0.000300315	0.000665863	0.000725242	0.00155606	0.00215705	0.00284719	0.00910804	0.0275979	0.0692326	0.156226	0.282572	0.447011
a13	0.000408391	0.000778203	0.000733081	0.00139882	0.00187413	0.0023299	0.00610596	0.0188258	0.053211	0.144319	0.282118	0.487898
a38	0.00068872	0.0009458	0.000900586	0.00162428	0.00212566	0.0031162	0.00744993	0.0212591	0.05666	0.15332	0.290876	0.461033
a24	0.000609262	0.00080152	0.00088124	0.00164321	0.0022667	0.00361006	0.00885908	0.0230036	0.0550684	0.140059	0.277744	0.485454
a9	0.00022302	0.000348108	0.000417194	0.000730292	0.00098677	0.00167096	0.00462899	0.0118415	0.031466	0.0958109	0.246878	0.604998
a87	0.012659	0.00923381	0.00823841	0.0104112	0.0119703	0.0131091	0.0171174	0.0268913	0.0472584	0.106194	0.219465	0.517453
a23	0.269634	0.127729	0.0481773	0.0403387	0.0379679	0.0346275	0.035039	0.0423862	0.0543817	0.0734232	0.100039	0.136256
a87	0.050271	0.0432799	0.0267383	0.0192669	0.0154902	0.0201559	0.0314572	0.0532057	0.0906361	0.140579	0.228948	0.279972
</S>	0.0210508	0.0165308	0.0108304	0.00993385	0.0104521	0.0144899	0.0290625	0.0549346	0.0946439	0.145215	0.25509	0.337766
