 	elle	brandit	un	couteau	</S>
a23	0.324156	0.314027	0.151611	0.110459	0.0997468
a85	0.27006	0.246377	0.222746	0.146306	0.114511
a87	0.234048	0.215204	0.184645	0.178462	0.187642
a23	0.328168	0.23514	0.178029	0.126234	0.13243
a87	0.210457	0.184977	0.219812	0.180134	0.20462
a23	0.250882	0.225228	0.231386	0.161453	0.131052
a20	0.223686	0.219801	0.232268	0.151076	0.173169
a30	0.408547	0.202821	0.152805	0.101776	0.134052
a11	0.424486	0.276745	0.153326	0.0770866	0.0683556
a90	0.321922	0.240925	0.164277	0.126272	0.146604
a35	0.376931	0.267122	0.159942	0.101744	0.0942602
a32	0.352455	0.276643	0.169001	0.107969	0.0939324
a24	0.214263	0.228291	0.186209	0.185345	0.185892
a9	0.155763	0.17633	0.161937	0.216413	0.289557
a54	0.169476	0.181097	0.169318	0.200802	0.279307
a30	0.166617	0.188162	0.166643	0.211006	0.267571
a14	0.174922	0.205714	0.173394	0.205733	0.240237
a30	0.131711	0.173761	0.179681	0.236942	0.277905
a2	0.106494	0.147661	0.144623	0.229744	0.371478
a57	0.0826775	0.0852015	0.10219	0.20438	0.525551
a87	0.0539278	0.0772752	0.102397	0.217422	0.548978
a23	0.0436966	0.0867468	0.139848	0.276312	0.453396
a87	0.0555656	0.0753676	0.134	0.298131	0.436935
</S>	0.0438767	0.0761291	0.156625	0.2904	0.43297
