 	il	a	avantage	à	se	taire	</S>
a23	0.193524	0.176316	0.139393	0.108772	0.120037	0.160541	0.101418
a87	0.431783	0.185547	0.0981624	0.0791016	0.059023	0.0896787	0.0567047
a10	0.31958	0.23798	0.123686	0.0884324	0.0695982	0.0920976	0.0686261
a87	0.245835	0.181821	0.104337	0.093179	0.0977492	0.162179	0.114899
a23	0.246725	0.19267	0.109164	0.106039	0.0957008	0.154962	0.0947387
a24	0.251952	0.220881	0.109872	0.101071	0.0749428	0.147032	0.0942489
a41	0.444885	0.380534	0.142412	0.0165636	0.00453689	0.00589325	0.00517557
a24	0.322918	0.390237	0.210512	0.0393868	0.0126895	0.0142808	0.00997517
a71	0.329987	0.382039	0.207055	0.0394672	0.0138669	0.0154409	0.0121432
a25	0.25759	0.31013	0.260211	0.0775514	0.0283523	0.0343547	0.0318097
a38	0.207764	0.260254	0.257249	0.116619	0.0477618	0.0584494	0.0519016
a76	0.205966	0.265031	0.288325	0.122144	0.0483311	0.0385603	0.0316426
a94	0.235831	0.248293	0.244619	0.12879	0.0624533	0.0459069	0.0341056
a57	0.153185	0.172829	0.182261	0.17252	0.118392	0.11493	0.0858837
a9	0.0825948	0.104199	0.127345	0.207129	0.186317	0.159166	0.13325
a38	0.0912005	0.104339	0.121353	0.156698	0.163232	0.1502	0.212977
a41	0.0958681	0.118459	0.148274	0.174015	0.150645	0.153405	0.159333
a35	0.0573223	0.0781732	0.12018	0.13464	0.187747	0.220054	0.201884
a98	0.0328139	0.0380937	0.055014	0.111755	0.210486	0.263756	0.288082
a73	0.0180102	0.0213432	0.0325139	0.0933008	0.259273	0.280745	0.294814
a90	0.0149567	0.0174791	0.0252716	0.0769879	0.233896	0.275733	0.355675
a76	0.0241864	0.0238966	0.0288747	0.0500847	0.169064	0.280287	0.423606
a25	0.0143431	0.0138776	0.0223783	0.0482146	0.168599	0.301469	0.431118
a94	0.00591987	0.00495378	0.00645293	0.0178443	0.10118	0.297862	0.565787
a24	0.0115652	0.00838947	0.00943189	0.0211226	0.099429	0.262665	0.587396
a62	0.00604556	0.00404161	0.00391194	0.0119704	0.0664832	0.222224	0.685323
a88	0.0048726	0.00340288	0.00399305	0.0122008	0.0724358	0.201301	0.701793
a71	0.00607799	0.00510213	0.00576231	0.0147952	0.0671506	0.169128	0.731984
a38	0.00843506	0.00630906	0.00679289	0.0232302	0.102227	0.202452	0.650554
a75	0.0113664	0.00747252	0.00646874	0.0227867	0.102045	0.210586	0.639274
a41	0.00590766	0.00432384	0.00374787	0.0131237	0.0594951	0.179587	0.733815
a98	0.00494704	0.00337447	0.00339526	0.0114157	0.0595616	0.194751	0.722555
a44	0.00286163	0.0022086	0.00253077	0.00895973	0.050589	0.185702	0.747148
a26	0.00341989	0.00246163	0.00264771	0.00859756	0.0422404	0.155595	0.785038
a82	0.0050069	0.00378366	0.00485364	0.020378	0.0907601	0.211288	0.66393
a38	0.00366204	0.00252412	0.0043188	0.0173819	0.0833874	0.180999	0.707727
a24	0.00331369	0.00306081	0.00523217	0.0252472	0.101026	0.193704	0.668416
a9	0.00636895	0.00512816	0.00602684	0.0269803	0.112171	0.229223	0.614101
a87	0.00860303	0.00726159	0.0116707	0.0333752	0.12257	0.22877	0.58775
a23	0.00746983	0.00724003	0.00892187	0.0260311	0.0979974	0.241927	0.610413
a87	0.0210828	0.0209277	0.0249558	0.0593577	0.150885	0.249024	0.473767
</S>	0.0122446	0.0113892	0.0146209	0.0495648	0.158057	0.32176	0.432364
