 	il	est	très	bavard	</S>
a23	0.393763	0.204506	0.115786	0.121847	0.164099
a87	0.527246	0.208617	0.0889778	0.0790492	0.0961102
a23	0.474715	0.240859	0.113307	0.0776381	0.0934803
a20	0.326531	0.152466	0.114541	0.157005	0.249458
a73	0.378034	0.178792	0.120938	0.158049	0.164187
a84	0.508918	0.302663	0.113883	0.0468178	0.0277188
a54	0.37284	0.296627	0.175083	0.0960321	0.0594187
a5	0.381603	0.274573	0.161272	0.107775	0.0747775
a18	0.296054	0.25117	0.189075	0.148619	0.115082
a24	0.248555	0.234842	0.198466	0.175877	0.142261
a32	0.136003	0.141729	0.17745	0.267177	0.277641
a25	0.162177	0.156886	0.159721	0.24251	0.278705
a53	0.101337	0.110505	0.124806	0.261207	0.402146
a76	0.0733422	0.0945409	0.161103	0.312899	0.358115
a94	0.0459905	0.067187	0.138744	0.293887	0.454191
a32	0.0354195	0.041573	0.0782841	0.246157	0.598566
a76	0.0159446	0.0188532	0.0509506	0.244431	0.669821
a94	0.0194935	0.0279271	0.0746693	0.269935	0.607975
a58	0.0144337	0.0178238	0.0450737	0.231067	0.691602
a32	0.0104203	0.0115226	0.0346753	0.228387	0.714995
a21	0.0259866	0.02828	0.0701605	0.260577	0.614995
a41	0.0147576	0.019589	0.0537612	0.258004	0.653889
a73	0.0430696	0.0468468	0.111402	0.294334	0.504348
a84	0.021108	0.025689	0.0757052	0.290802	0.586696
a87	0.0155117	0.0201973	0.0587256	0.224512	0.681053
a23	0.0169717	0.0181882	0.0481523	0.188172	0.728516
a87	0.0411025	0.0353042	0.0594591	0.189784	0.674351
</S>	0.0211216	0.0204525	0.0458638	0.191602	0.720961
