 	il	a	réussi	ses	études	parce	qu'	il	a	été	persévérant	</S>
a66	0.307959	0.238232	0.111793	0.0550835	0.0448085	0.0459761	0.0546605	0.0307353	0.0289493	0.0308204	0.0320037	0.0189785
a87	0.463852	0.195638	0.0447818	0.0301993	0.0392358	0.0354646	0.0292328	0.020104	0.0248008	0.0443722	0.0437378	0.0285814
a23	0.498967	0.248811	0.0934788	0.037743	0.026456	0.0171917	0.0133784	0.00993545	0.010482	0.0152023	0.0129745	0.0153801
a79	0.410289	0.230531	0.101033	0.0501309	0.0307468	0.0216956	0.0181719	0.0184878	0.0212225	0.0334217	0.0270219	0.0372479
a15	0.216903	0.139274	0.119536	0.0752906	0.0557779	0.0368722	0.031577	0.0324642	0.0400129	0.0608066	0.0823487	0.109137
a7	0.137696	0.127787	0.107236	0.0858118	0.0498132	0.030352	0.0287328	0.0320198	0.0438191	0.0814433	0.129419	0.14587
a37	0.0528593	0.0670203	0.0717575	0.0808268	0.0670295	0.0503139	0.0499053	0.0569688	0.0824214	0.119022	0.146384	0.15549
a21	0.0462737	0.0730051	0.0911473	0.130128	0.150161	0.113347	0.0861828	0.0597579	0.0567518	0.0603171	0.059031	0.0738979
a5	0.0412601	0.0651565	0.0893069	0.161475	0.244988	0.148411	0.0750097	0.0365049	0.0307729	0.0318658	0.0328615	0.0423875
a23	0.0252854	0.0493338	0.0905233	0.168116	0.238178	0.156914	0.0783058	0.0423092	0.0359522	0.0366777	0.0341218	0.0442827
a90	0.0155963	0.0323234	0.0726203	0.154388	0.248658	0.178265	0.0857736	0.0474349	0.0393519	0.040125	0.0330156	0.0524481
a25	0.0184756	0.0347812	0.0814101	0.162217	0.227117	0.180148	0.0912153	0.0456899	0.0369526	0.0367471	0.0331726	0.0520735
a79	0.0161776	0.0333829	0.0971719	0.169317	0.169339	0.172547	0.106993	0.0601045	0.0429405	0.0402409	0.0310229	0.0607626
a56	0.0177735	0.0312822	0.0860852	0.157683	0.179433	0.176325	0.114391	0.061124	0.0438903	0.0418787	0.0359945	0.0541396
a96	0.0167026	0.029776	0.0854931	0.143275	0.174615	0.180127	0.131032	0.0740013	0.0453724	0.0385239	0.0330768	0.048005
a18	0.0104844	0.0163925	0.0434046	0.0917639	0.132185	0.182382	0.153344	0.0993901	0.0642141	0.056267	0.056543	0.0936294
a71	0.0258324	0.0327514	0.0548265	0.074634	0.08671	0.163547	0.137765	0.099182	0.0779707	0.0725658	0.0701518	0.104064
a25	0.0395776	0.0469795	0.0739864	0.0781292	0.0754855	0.135382	0.11605	0.0938679	0.0807881	0.0773602	0.076247	0.106147
a87	0.0418705	0.0488358	0.0731645	0.0817662	0.0933398	0.141404	0.123098	0.0928809	0.0731308	0.0668226	0.0706296	0.0930571
a23	0.0459432	0.0339264	0.0355639	0.0646664	0.0939016	0.150319	0.137627	0.0825126	0.066036	0.0782118	0.0908881	0.120404
a10	0.0179893	0.0148807	0.0182129	0.037485	0.0508435	0.0922265	0.113671	0.117273	0.102883	0.138864	0.110357	0.185315
a83	0.00382414	0.0043049	0.00942358	0.0317718	0.0382262	0.061119	0.0788613	0.112315	0.123925	0.172424	0.136096	0.227709
a54	0.000782419	0.000815352	0.00293349	0.0177221	0.0252746	0.0362868	0.04203	0.06379	0.0928618	0.172605	0.191763	0.353136
a36	0.000453099	0.000622067	0.00276833	0.0102543	0.0148881	0.0288399	0.0367055	0.0539226	0.0830654	0.150999	0.204467	0.413015
a79	0.000480658	0.000767561	0.00332071	0.0101533	0.0150556	0.0297397	0.0383173	0.0656044	0.107912	0.165719	0.191762	0.371167
a15	0.00141577	0.00241134	0.00980147	0.020052	0.0223122	0.0386161	0.0525319	0.0832638	0.118848	0.177037	0.197488	0.276223
a7	0.0010776	0.00202118	0.00901402	0.019535	0.0204842	0.0338569	0.0461388	0.081811	0.122629	0.181388	0.201722	0.280323
a56	0.00166761	0.00161587	0.00289114	0.00658998	0.0107608	0.0212424	0.0286592	0.058049	0.1011	0.156091	0.196395	0.414939
a44	0.00188253	0.00211598	0.00483743	0.00832039	0.0090192	0.0150038	0.0223729	0.0576053	0.109763	0.174565	0.228145	0.366369
a11	0.00107563	0.00136492	0.00301409	0.00604447	0.00729099	0.0141282	0.0207848	0.0513594	0.0977441	0.158617	0.225349	0.413227
a38	0.00121906	0.00124487	0.00196963	0.00416265	0.00617345	0.0142529	0.0197736	0.052262	0.103089	0.153203	0.201643	0.441006
a53	0.00122179	0.00111936	0.00162546	0.00314829	0.00619096	0.0118392	0.0141263	0.0355851	0.0833359	0.138702	0.217518	0.485588
a69	0.000709405	0.000699393	0.00106207	0.00238917	0.00488879	0.00959595	0.0113242	0.0280705	0.0695988	0.122556	0.216189	0.532917
a58	0.000581731	0.000561546	0.000865296	0.00196496	0.00388553	0.00800105	0.00993259	0.0248883	0.0584919	0.112232	0.213552	0.565043
a82	0.00696243	0.00490611	0.00568898	0.00878895	0.0114365	0.0153365	0.0147749	0.0314625	0.0624303	0.112647	0.207207	0.518359
a87	0.108573	0.0445808	0.0328304	0.032069	0.0236444	0.0248969	0.0283506	0.0541311	0.0752736	0.110028	0.159948	0.305674
a23	0.28019	0.101807	0.0598929	0.0435892	0.0294391	0.02942	0.0339172	0.0516359	0.0626638	0.0848738	0.100052	0.12252
a87	0.119148	0.0531619	0.0327743	0.030835	0.0196279	0.0214243	0.0334378	0.0790375	0.100909	0.170995	0.153816	0.184833
</S>	0.039685	0.0209006	0.0176702	0.0221408	0.0156742	0.0211919	0.0376462	0.0830535	0.10141	0.196311	0.162825	0.281492
