 	pourquoi	tu	ne	fais	que	m'	accuser	</S>
a87	0.327456	0.126801	0.108786	0.120916	0.138363	0.0971533	0.0452488	0.0352749
a23	0.54224	0.165385	0.0595178	0.0391045	0.056652	0.0617504	0.0381864	0.0371631
a87	0.307398	0.178469	0.120901	0.0845748	0.0667875	0.0547799	0.0686683	0.118422
a23	0.433907	0.197707	0.136175	0.0859215	0.0453454	0.0289715	0.030587	0.0413857
a83	0.459929	0.176033	0.093784	0.0533646	0.0362207	0.0343159	0.0560827	0.0902701
a34	0.441405	0.234526	0.123136	0.0731812	0.0398032	0.0287811	0.031061	0.0281067
a56	0.428777	0.316002	0.14685	0.0617655	0.0208996	0.0102531	0.00822792	0.00722474
a44	0.292231	0.318182	0.192557	0.090256	0.0403388	0.0225004	0.0218403	0.0220947
a0	0.19435	0.242213	0.227052	0.160002	0.0663412	0.0334274	0.0354402	0.0411741
a21	0.136921	0.191285	0.219323	0.192924	0.0941562	0.0508204	0.0534989	0.0610716
a5	0.238794	0.272502	0.244162	0.14401	0.0478477	0.0195088	0.0158999	0.017276
a36	0.112633	0.153753	0.222012	0.209161	0.11579	0.0678429	0.0591435	0.0596652
a75	0.0628092	0.0921692	0.16469	0.254587	0.19033	0.085146	0.0737006	0.0765676
a85	0.0747696	0.0771046	0.10403	0.146188	0.152172	0.143501	0.154413	0.147822
a37	0.0845835	0.0737428	0.0885086	0.128027	0.157004	0.152204	0.167467	0.148463
a61	0.0760182	0.0748988	0.0786476	0.109986	0.199725	0.176327	0.143497	0.1409
a62	0.0665435	0.0550402	0.0592722	0.0932267	0.219304	0.237393	0.14875	0.120471
a88	0.0332518	0.0284428	0.0328365	0.0601485	0.19	0.278373	0.217617	0.15933
a34	0.0117025	0.0118566	0.015964	0.0330383	0.116727	0.234446	0.301397	0.274869
a75	0.00611202	0.0062077	0.00864564	0.0199008	0.0828436	0.211645	0.344434	0.320212
a61	0.0034887	0.00401629	0.00591033	0.0120989	0.0477571	0.155898	0.371239	0.399592
a21	0.00161331	0.00171666	0.0028497	0.00699236	0.0351042	0.139026	0.368532	0.444166
a75	0.00257214	0.00275928	0.00412309	0.00814968	0.029705	0.108768	0.349108	0.494816
a5	0.00184857	0.00245378	0.00408367	0.00833905	0.0240076	0.0798707	0.330163	0.549233
a21	0.00136954	0.0012804	0.0017268	0.00368916	0.0154591	0.0645173	0.30241	0.609548
a5	0.00195637	0.00174396	0.00220169	0.00436825	0.0162017	0.0665096	0.307197	0.599822
a43	0.00127968	0.00123775	0.00161183	0.003434	0.0149068	0.0591492	0.290514	0.627866
a62	0.000503751	0.000585257	0.000859842	0.00215903	0.0116741	0.064057	0.292493	0.627668
a61	0.00131259	0.00127583	0.00146127	0.00262115	0.0100753	0.0534091	0.282156	0.647689
a18	0.00104423	0.000930126	0.000915327	0.00165998	0.00780945	0.0541224	0.306329	0.62719
a38	0.00786432	0.00575425	0.00463517	0.00744006	0.0257679	0.104042	0.322915	0.521581
a9	0.0151108	0.00710856	0.00497082	0.00708781	0.021837	0.0856337	0.3016	0.556652
a87	0.100929	0.0578491	0.0363383	0.0423442	0.0774866	0.140079	0.215213	0.32976
a23	0.239693	0.177607	0.0637538	0.0385203	0.0545502	0.105976	0.152938	0.166961
a87	0.0613439	0.0356575	0.0191056	0.0242845	0.0769307	0.185428	0.301486	0.295764
</S>	0.00752043	0.00620771	0.00668164	0.0132034	0.044396	0.117592	0.328532	0.475867
