 	les	pauvres	se	lancent	dans	le	monde	des	fétiches	à	cause	de	leur	cupidité	</S>
a82	0.113531	0.0896315	0.0875107	0.150962	0.117169	0.109808	0.0918839	0.0598396	0.0582509	0.0358489	0.025751	0.0152803	0.0112981	0.0158982	0.017336
a3	0.133512	0.156267	0.152957	0.144066	0.0956765	0.0739275	0.0513955	0.0271709	0.0224691	0.0155331	0.0131478	0.0102539	0.0147194	0.0286378	0.0602672
a82	0.235826	0.242265	0.14136	0.15198	0.0744634	0.0534673	0.0315762	0.0156306	0.0130445	0.00769016	0.00631677	0.00440798	0.0044511	0.00611604	0.0114059
a9	0.226414	0.216808	0.129565	0.170387	0.0814844	0.0616304	0.0413768	0.0216455	0.0163862	0.00896318	0.00681312	0.00436299	0.00371619	0.00425942	0.0061883
a82	0.267609	0.215967	0.120894	0.141908	0.0823853	0.0618302	0.0420112	0.0216426	0.0157098	0.00821243	0.00606436	0.00389303	0.00334616	0.00384043	0.00468692
a83	0.2927	0.220213	0.121569	0.118761	0.0793427	0.0580547	0.0407003	0.0210244	0.0155674	0.00787131	0.00571595	0.00387284	0.00379697	0.00491354	0.00589737
a62	0.14406	0.127687	0.131213	0.133154	0.114183	0.089061	0.0838259	0.0514579	0.0412914	0.0210635	0.014678	0.009902	0.0099772	0.0124818	0.0159651
a26	0.178644	0.175239	0.140999	0.129829	0.0706007	0.0618933	0.0519354	0.0446354	0.0392492	0.0240645	0.0193556	0.0136305	0.0133449	0.0153899	0.0211903
a75	0.122946	0.1456	0.127077	0.113199	0.0659745	0.0641138	0.0577604	0.0568226	0.0547661	0.0403775	0.0359359	0.0261607	0.0242069	0.0267525	0.0383073
a56	0.130297	0.175419	0.148903	0.126321	0.0584318	0.055424	0.043598	0.0390418	0.0430582	0.0302462	0.0280628	0.0236471	0.0270509	0.0333163	0.0371834
a93	0.0652904	0.13738	0.152316	0.110808	0.055225	0.0559411	0.0450449	0.0423473	0.0495099	0.0404387	0.0401881	0.037183	0.043995	0.0555425	0.0687892
a75	0.0552529	0.117815	0.143724	0.100952	0.0481793	0.0512759	0.0418013	0.0440362	0.0535936	0.0516312	0.0523675	0.0473466	0.0501031	0.0643756	0.0775452
a56	0.0556284	0.0905603	0.118316	0.0811023	0.0548908	0.0559614	0.0463494	0.0482715	0.0605959	0.0561295	0.0579716	0.0529809	0.060824	0.0753173	0.0851002
a75	0.0434197	0.0675642	0.112581	0.0910988	0.0569243	0.0617441	0.0541869	0.0574778	0.0758822	0.0757762	0.071593	0.058037	0.0495925	0.0583752	0.0657475
a85	0.0321801	0.0469052	0.0861124	0.0638449	0.0509437	0.054526	0.0502882	0.0571679	0.0724417	0.0801169	0.0872756	0.0793189	0.0728373	0.0764613	0.08958
a47	0.0256174	0.0396584	0.0729379	0.0479871	0.0390616	0.0432175	0.0429034	0.0486402	0.0632754	0.0703097	0.0768603	0.0799834	0.0943969	0.112743	0.142408
a37	0.0159762	0.0190588	0.0547985	0.0323176	0.0351972	0.0459932	0.0619342	0.0670435	0.0910163	0.0889071	0.0795623	0.0720055	0.0776429	0.102159	0.156388
a41	0.00893033	0.0100028	0.0212824	0.0164096	0.0266583	0.0358264	0.0616404	0.0681704	0.0924889	0.10227	0.0820491	0.0699602	0.0845837	0.129079	0.190648
a44	0.00899314	0.00825028	0.0205671	0.0117195	0.0181101	0.0242317	0.0427935	0.0520978	0.0620243	0.0840029	0.0881449	0.097223	0.116608	0.145577	0.219657
a56	0.00672332	0.00680122	0.0135366	0.00850077	0.0172952	0.023934	0.0467301	0.0636739	0.0830614	0.116851	0.106439	0.094847	0.0978504	0.12446	0.189296
a75	0.00600458	0.00589395	0.0116989	0.00699634	0.0127027	0.0173496	0.0357624	0.053785	0.0627052	0.106694	0.113172	0.124048	0.128479	0.132341	0.182367
a85	0.0048864	0.00410078	0.00818099	0.00468203	0.00727844	0.0101032	0.0233921	0.0344479	0.0374399	0.0705713	0.0889482	0.130818	0.176896	0.166411	0.231843
a37	0.00704379	0.00638437	0.0135524	0.00615443	0.0102178	0.0145807	0.031176	0.0376518	0.0404224	0.0574845	0.0667192	0.10544	0.177094	0.175097	0.250981
a21	0.0077571	0.00700019	0.00959955	0.00384653	0.00764175	0.00878738	0.0223954	0.034436	0.0388432	0.0689219	0.0664563	0.0794199	0.121516	0.183246	0.340133
a41	0.00542887	0.00514693	0.00837367	0.00414476	0.00646907	0.00781817	0.0176766	0.0313871	0.0323902	0.0650292	0.076807	0.110714	0.18013	0.197614	0.250871
a36	0.00665847	0.00553322	0.00766171	0.00246627	0.00391645	0.00454624	0.0109017	0.0155944	0.0159768	0.0319199	0.0412071	0.074431	0.161055	0.221309	0.396823
a27	0.0129508	0.01294	0.0161204	0.00589394	0.0102004	0.00953683	0.0155756	0.0179154	0.019154	0.0289901	0.0318145	0.0459735	0.108141	0.238816	0.425977
a26	0.0697871	0.0502621	0.045863	0.0157041	0.0307484	0.0275991	0.0345683	0.0335295	0.0303833	0.0329119	0.0340696	0.0447595	0.0981384	0.191478	0.260197
a82	0.169868	0.101089	0.0745916	0.0269158	0.0513364	0.039117	0.0442838	0.0404273	0.0317582	0.0365387	0.037838	0.0468087	0.0727675	0.101432	0.125227
a3	0.162283	0.0903395	0.0699705	0.0299548	0.0561784	0.0463839	0.0647319	0.0633656	0.0501986	0.0519424	0.0460018	0.0480126	0.0622401	0.0667276	0.0916694
a82	0.217728	0.113657	0.0888754	0.0432997	0.0805919	0.0643785	0.0686316	0.0506022	0.0424358	0.0346458	0.0270638	0.028092	0.0379502	0.0433526	0.0586958
a9	0.203755	0.117158	0.103478	0.0524027	0.0888043	0.0688085	0.0661923	0.0457657	0.0397662	0.0308933	0.0237399	0.0249885	0.0346595	0.041747	0.0578411
a82	0.165882	0.114933	0.131995	0.0745019	0.103694	0.0780079	0.0682657	0.0451618	0.040097	0.0288615	0.0213692	0.0217362	0.028186	0.0328828	0.0444264
a9	0.18599	0.123723	0.138007	0.0890869	0.0976247	0.0683858	0.0564271	0.0374083	0.0332381	0.0250487	0.0192285	0.0198934	0.026617	0.0324494	0.0468722
</S>	0.143892	0.125536	0.155124	0.0774408	0.0884316	0.0688274	0.0613286	0.0412154	0.0337106	0.0277801	0.0219603	0.0237809	0.0322543	0.0396958	0.0590224
