 	j'	ai	besoin	d'	un	fil	pour	raccommoder	cette	tenue	</S>
a66	0.100302	0.0930761	0.0909296	0.142846	0.2079	0.181817	0.105524	0.0348653	0.0218109	0.0119668	0.00896215
a87	0.344786	0.270395	0.154951	0.0757666	0.0492265	0.0385107	0.0249416	0.0123553	0.0113839	0.00837593	0.0093078
a23	0.445564	0.225369	0.115532	0.0774808	0.0525032	0.0329447	0.0226243	0.0126134	0.00531164	0.00361754	0.00643935
a99	0.462868	0.22629	0.094865	0.0434488	0.0275685	0.0221547	0.026933	0.0277029	0.0176091	0.0163922	0.0341675
a83	0.319928	0.204783	0.135479	0.0758358	0.0625538	0.0545112	0.0433765	0.0250937	0.0163019	0.0265158	0.035621
a50	0.234212	0.196332	0.154759	0.118648	0.0967951	0.0657788	0.0449302	0.0170434	0.0128474	0.0228834	0.0357707
a88	0.212312	0.221726	0.198242	0.136155	0.0972458	0.068237	0.0362224	0.0151782	0.0055347	0.00376233	0.00538449
a62	0.138621	0.161956	0.188325	0.156142	0.136351	0.0994727	0.0616216	0.0317913	0.0111677	0.00582433	0.00872635
a88	0.0883298	0.121415	0.166116	0.150917	0.157429	0.135263	0.0894132	0.0599215	0.0178057	0.00601639	0.00737391
a75	0.064033	0.0816265	0.11632	0.118336	0.152836	0.162888	0.127296	0.114779	0.0358084	0.0124532	0.0136239
a6	0.0388987	0.0588396	0.110994	0.121997	0.143779	0.159955	0.150327	0.107325	0.0526467	0.0260503	0.0291886
a7	0.0569677	0.07598	0.118166	0.126542	0.137485	0.144418	0.13257	0.0919825	0.0486741	0.0315954	0.0356186
a37	0.0391564	0.0509524	0.0852174	0.116215	0.14564	0.156305	0.154802	0.103835	0.0598834	0.042664	0.0453291
a5	0.0346844	0.038252	0.0704022	0.108651	0.154134	0.177027	0.179528	0.104789	0.0594111	0.0356868	0.0374345
a43	0.0225665	0.0257933	0.0537044	0.100307	0.167865	0.203749	0.188901	0.0916196	0.066176	0.0410773	0.038241
a18	0.0118349	0.0126578	0.0252258	0.0556377	0.12868	0.209654	0.247446	0.137693	0.0829677	0.0455649	0.0426385
a5	0.0149138	0.0155011	0.0236599	0.0603744	0.127383	0.162174	0.203914	0.178577	0.110991	0.0541195	0.0483925
a96	0.00598645	0.00628522	0.0117562	0.0260579	0.0633219	0.147945	0.238459	0.182202	0.125173	0.0983359	0.0944778
a62	0.00595382	0.00634077	0.0116606	0.0252979	0.0531009	0.107981	0.178633	0.201378	0.156863	0.134364	0.118426
a88	0.00710079	0.00761465	0.0140258	0.0294772	0.0635728	0.124583	0.192707	0.194771	0.143888	0.118876	0.103384
a98	0.00490021	0.00509951	0.0086428	0.0207281	0.0418666	0.0686267	0.11645	0.195598	0.186511	0.19092	0.160657
a79	0.00117731	0.00112782	0.00186982	0.00484905	0.0140071	0.0297424	0.0689958	0.113093	0.156143	0.280575	0.32842
