 	tu	m'	agaces	</S>
a23	0.404121	0.269388	0.219854	0.106637
a83	0.25288	0.237566	0.296043	0.213511
a76	0.360635	0.274659	0.245917	0.118789
a35	0.366091	0.321615	0.228637	0.0836565
a76	0.406496	0.349005	0.185944	0.0585543
a94	0.42883	0.346597	0.149462	0.0751116
a84	0.42333	0.308974	0.16715	0.100546
a38	0.242887	0.220979	0.2732	0.262934
a41	0.26085	0.225522	0.268392	0.245235
a35	0.224498	0.22262	0.269944	0.282938
a14	0.0994749	0.148271	0.317711	0.434543
a35	0.0819325	0.116111	0.292771	0.509186
a27	0.0516814	0.0867788	0.275192	0.586348
a10	0.0224665	0.0498289	0.247714	0.67999
a11	0.0177112	0.0384348	0.249607	0.694247
a75	0.0146772	0.0381204	0.250669	0.696534
a41	0.0119041	0.028555	0.219727	0.739813
a24	0.0157753	0.0362047	0.236116	0.711904
a18	0.0164536	0.0315539	0.196292	0.7557
a25	0.0269243	0.0496879	0.222683	0.700705
a87	0.0311009	0.0443295	0.233096	0.691474
</S>	0.050047	0.0574312	0.268442	0.62408
