 	pendant	la	grande	saison	des	pluies	les	forêts	marécageuses	deviennent	inondées	</S>
a15	0.164307	0.149272	0.132343	0.125813	0.131335	0.130687	0.0917512	0.0321749	0.0183921	0.00965465	0.00770355	0.00656561
a66	0.237422	0.193437	0.161965	0.165843	0.095906	0.0348511	0.0243069	0.0139232	0.0131024	0.0175695	0.020429	0.0212445
a87	0.308431	0.232701	0.191673	0.131765	0.0542462	0.019326	0.0123206	0.00618579	0.00530793	0.00790073	0.0131855	0.0169586
a97	0.294707	0.254825	0.221598	0.1233	0.042542	0.0148847	0.0105317	0.00630027	0.00591154	0.00773012	0.00863819	0.00903038
a87	0.271615	0.243278	0.218801	0.137203	0.0482144	0.0160476	0.0116486	0.00682588	0.00953589	0.0122204	0.0120018	0.0126088
a97	0.275508	0.245364	0.222115	0.139534	0.042671	0.0118382	0.00811702	0.00498901	0.00644639	0.0116834	0.0142277	0.0175055
a87	0.305429	0.25231	0.204478	0.115198	0.0351224	0.010623	0.00853781	0.00688553	0.00903645	0.0151083	0.0179201	0.0193519
a23	0.30941	0.247322	0.196307	0.107419	0.0363317	0.01262	0.0109909	0.0086773	0.00984927	0.0172723	0.0220819	0.0217182
a83	0.345048	0.206459	0.122531	0.0647141	0.032912	0.0240573	0.0232084	0.0267771	0.0273213	0.035836	0.0425775	0.0485585
a94	0.253505	0.181593	0.127954	0.0699494	0.0595482	0.046866	0.0454495	0.0351453	0.0214838	0.041454	0.0534678	0.063584
a56	0.190002	0.14762	0.122168	0.0916088	0.0744365	0.0519839	0.0535637	0.04717	0.0327845	0.0620335	0.0617049	0.0649245
a70	0.0949547	0.0922919	0.102745	0.116045	0.0980813	0.0691493	0.0659442	0.0674691	0.0671667	0.0945904	0.0700464	0.061516
a98	0.0637107	0.0671092	0.0782388	0.103313	0.0801943	0.0537379	0.0516234	0.0701951	0.0956531	0.129116	0.10757	0.0995384
a13	0.0558938	0.0672521	0.0866656	0.118217	0.102923	0.0731215	0.0655222	0.0726347	0.0860372	0.107187	0.0817648	0.0827812
a38	0.0606956	0.0538984	0.0574219	0.0781535	0.0709407	0.0556345	0.0666586	0.0904468	0.11433	0.128908	0.10378	0.119132
a76	0.0460349	0.0390651	0.041243	0.0606308	0.0750003	0.0687536	0.0877581	0.103553	0.130671	0.125771	0.0984152	0.123103
a73	0.0167513	0.0174714	0.0223243	0.0385079	0.0695762	0.0790276	0.0780275	0.100503	0.121081	0.136527	0.133296	0.186906
a7	0.0149275	0.014591	0.0163927	0.022135	0.0482392	0.0826888	0.0747205	0.106685	0.106363	0.13201	0.154819	0.226429
a2	0.0201314	0.0135476	0.0119269	0.0145332	0.0332955	0.0661789	0.0929894	0.119542	0.106634	0.136559	0.154122	0.23054
a40	0.0354804	0.0247598	0.0224933	0.0253119	0.0331073	0.0465969	0.0697892	0.0984978	0.0963157	0.128131	0.16574	0.253776
a7	0.0206582	0.0162652	0.01542	0.0162903	0.0217737	0.0357418	0.0501704	0.0970097	0.137817	0.153597	0.18415	0.251107
a2	0.0062177	0.0048241	0.00427698	0.00447307	0.0101703	0.0239451	0.0326007	0.088739	0.136161	0.183077	0.209339	0.296175
a53	0.0144679	0.0106584	0.0100976	0.0110644	0.0130623	0.0155125	0.0169822	0.0344699	0.0587502	0.120389	0.252145	0.442401
a69	0.0118831	0.00918031	0.00809062	0.00766591	0.0118164	0.0202745	0.0282839	0.0729833	0.136086	0.171036	0.229938	0.292762
a44	0.0103129	0.00724312	0.00584475	0.00551042	0.0110238	0.0242991	0.0297049	0.0872439	0.157227	0.196484	0.212617	0.252488
a79	0.00879618	0.00643505	0.00508924	0.0040753	0.00875306	0.0194296	0.0227344	0.0657379	0.131687	0.19803	0.253188	0.276044
a56	0.00644728	0.0045472	0.00367055	0.00301596	0.00603117	0.014265	0.0167995	0.0598868	0.135944	0.200773	0.250292	0.298327
a70	0.00806459	0.00602563	0.00490432	0.00400706	0.00791985	0.016589	0.0187784	0.052619	0.10837	0.19908	0.271098	0.302544
a83	0.00352426	0.00272716	0.0023295	0.00220185	0.00391268	0.00792157	0.0094596	0.033664	0.0891891	0.188746	0.322011	0.334314
a66	0.00450803	0.00369636	0.0031312	0.0028185	0.00422581	0.0073092	0.00748112	0.0233639	0.0646355	0.170431	0.323204	0.385195
a9	0.00314146	0.00265521	0.00233153	0.00213469	0.0033338	0.00525782	0.00469696	0.014091	0.0377571	0.12748	0.316012	0.481108
a97	0.00573419	0.00419024	0.00368454	0.00323775	0.00377167	0.00537885	0.00545471	0.0150023	0.0318453	0.0964355	0.259597	0.565668
a87	0.0679607	0.0463818	0.0373824	0.0328131	0.0293908	0.0417638	0.0360145	0.0639329	0.062713	0.113034	0.1808	0.287813
a97	0.0926291	0.0795743	0.0712506	0.0645957	0.0547802	0.0644721	0.0517194	0.0858231	0.0771943	0.0977075	0.123979	0.136275
a87	0.0752371	0.0633916	0.0524052	0.0512411	0.0630489	0.0875454	0.0720612	0.101571	0.100502	0.123409	0.110873	0.0987136
a23	0.0612847	0.055182	0.0488651	0.0616391	0.0872388	0.104426	0.0792959	0.118004	0.0904981	0.113101	0.0993662	0.0810995
a87	0.0609533	0.0631816	0.0595843	0.0595521	0.0645322	0.075084	0.0480519	0.111901	0.100329	0.127937	0.114125	0.114768
</S>	0.0250848	0.0231882	0.0230551	0.0270515	0.0482794	0.0782602	0.0451026	0.123352	0.0821548	0.148801	0.177669	0.198001
