 	judas	et	les	juifs	s'	étaient	accordés	pour	tuer	jésus	</S>
a66	0.0822015	0.148241	0.194286	0.188445	0.124273	0.173971	0.0364146	0.0266893	0.0135263	0.00772431	0.00422778
a87	0.386316	0.234162	0.175803	0.0899407	0.0394594	0.038903	0.0106159	0.00690425	0.00405918	0.00531026	0.00852615
a23	0.531744	0.137706	0.0932448	0.0572234	0.0430866	0.040952	0.0266384	0.024039	0.0179842	0.012769	0.0146125
a99	0.526394	0.119206	0.105802	0.0462304	0.0429299	0.040942	0.0209501	0.0287575	0.0249577	0.0197588	0.024072
a83	0.452532	0.130974	0.122091	0.0625748	0.0551238	0.0540734	0.0284045	0.0269801	0.0276349	0.0205442	0.0190667
a5	0.339642	0.112886	0.10428	0.1092	0.0838764	0.0935818	0.0661335	0.0296685	0.0241465	0.0180266	0.0185582
a79	0.277629	0.102474	0.10913	0.117039	0.10186	0.105254	0.0821714	0.0410933	0.0339397	0.014909	0.0144999
a98	0.195801	0.0831953	0.0912635	0.09277	0.104721	0.123975	0.123847	0.0740516	0.0654841	0.0232282	0.0216629
a47	0.0886464	0.0649832	0.074955	0.089972	0.115071	0.139847	0.177621	0.11546	0.0809803	0.0285603	0.0239031
a85	0.0647399	0.047256	0.0559779	0.0737391	0.110097	0.13891	0.200495	0.140328	0.0871547	0.032242	0.0490614
a6	0.0809596	0.0693234	0.0766988	0.0817781	0.0976001	0.107797	0.164571	0.121396	0.0857748	0.0496419	0.0644594
a5	0.0948158	0.0834208	0.0884885	0.0968653	0.104955	0.120661	0.1622	0.11078	0.0681479	0.0353788	0.034287
a36	0.0779117	0.0942149	0.110129	0.109443	0.128122	0.138977	0.128569	0.0998959	0.0609218	0.026457	0.0253579
a43	0.0322311	0.069148	0.0786625	0.0782378	0.105741	0.131376	0.148436	0.141655	0.0946408	0.0460917	0.07378
a75	0.023477	0.0691837	0.0777314	0.0772042	0.104823	0.136622	0.165011	0.159867	0.0870847	0.0427597	0.0562366
a5	0.0131605	0.0383867	0.0550942	0.066905	0.0837641	0.112622	0.13587	0.158179	0.12392	0.0968304	0.115268
a23	0.0160458	0.0596762	0.0781592	0.0903029	0.114326	0.154747	0.156086	0.147043	0.0795547	0.0520249	0.052034
a27	0.0065678	0.0246747	0.0323563	0.0411104	0.0665971	0.103511	0.174779	0.202512	0.112139	0.0848757	0.150877
a40	0.00991302	0.019946	0.0256204	0.0309999	0.0499159	0.101842	0.137293	0.229275	0.219093	0.0855876	0.0905143
a47	0.0080651	0.0132687	0.0167793	0.0172918	0.0237594	0.0428005	0.0767039	0.130155	0.143979	0.160944	0.366254
a36	0.00837027	0.0189348	0.0242939	0.0272301	0.0371333	0.0604716	0.100896	0.186861	0.165138	0.126789	0.243881
a0	0.011267	0.0195381	0.022729	0.0224691	0.035268	0.0675595	0.117129	0.198881	0.187754	0.112746	0.204659
a75	0.0196748	0.0247563	0.0285798	0.0284746	0.0395669	0.0723141	0.098571	0.147741	0.183731	0.135294	0.221298
a92	0.00635557	0.00852789	0.0103261	0.0110385	0.0146437	0.0263686	0.0447922	0.0901681	0.158953	0.147291	0.481536
a12	0.00417242	0.00652483	0.00805885	0.00928485	0.0116479	0.0204214	0.0313991	0.0843813	0.153942	0.153571	0.516596
a96	0.00402966	0.00755731	0.0106178	0.0145535	0.0185136	0.0319422	0.0437731	0.095583	0.143761	0.170766	0.458903
a93	0.00277877	0.00433146	0.00658362	0.0090606	0.0128919	0.0236506	0.0314169	0.0619434	0.12323	0.164099	0.560013
a34	0.00195628	0.0036427	0.00567671	0.00764305	0.0106144	0.019339	0.0254771	0.0531956	0.0982898	0.145069	0.629097
a92	0.0014457	0.00255796	0.00415417	0.00594217	0.00788704	0.0135688	0.0205464	0.0406722	0.0851371	0.140114	0.677974
a5	0.000435887	0.000751075	0.00100379	0.00135694	0.00164669	0.00278374	0.00551769	0.0176548	0.0572621	0.11998	0.791608
a12	0.000589797	0.00109183	0.00156191	0.00223729	0.00263976	0.00390018	0.00674823	0.0141126	0.0392173	0.0985931	0.829308
a21	0.000974142	0.00157539	0.00236227	0.00358409	0.00510437	0.00674543	0.0108324	0.0157964	0.0389843	0.104973	0.809068
a12	0.000750364	0.00129724	0.00213556	0.00315247	0.00408427	0.00636701	0.0102543	0.0199985	0.0527203	0.122927	0.776313
a0	0.000489909	0.000869267	0.00129868	0.00206437	0.00297499	0.00439216	0.00814927	0.0127771	0.035077	0.0964198	0.835487
a38	0.000961683	0.00126	0.00141065	0.00234049	0.00341786	0.00444274	0.0101522	0.0110137	0.0319477	0.102023	0.83103
a9	0.0032546	0.0033278	0.00337501	0.00503071	0.00686146	0.00837364	0.0205741	0.0193392	0.0505434	0.12785	0.751471
a10	0.0280006	0.0226871	0.0216107	0.0310611	0.0321405	0.0402685	0.0792036	0.0498156	0.0987201	0.177087	0.419405
a87	0.0922853	0.0566278	0.0383487	0.0494297	0.0402101	0.0502007	0.0685115	0.0566247	0.0978136	0.169879	0.280069
a23	0.142113	0.0937854	0.0562532	0.0580072	0.0516253	0.0673484	0.0857235	0.0839534	0.0830513	0.109552	0.168587
a99	0.0310411	0.018331	0.00697677	0.00621118	0.00427305	0.00534021	0.0132743	0.0179173	0.0347603	0.167164	0.694711
a27	0.0263445	0.0180591	0.00890395	0.00892702	0.00739717	0.0102643	0.0304052	0.0388039	0.0606859	0.194341	0.595868
</S>	0.00893659	0.0101214	0.00556711	0.00622571	0.0055114	0.00766673	0.0201974	0.028348	0.0404278	0.182566	0.684432
