 	ils	ont	tenu	le	conseil	de	famille	toute	la	journée	</S>
a66	0.148452	0.119616	0.170583	0.202515	0.137169	0.0936641	0.0558216	0.0341936	0.0192349	0.0103995	0.00835206
a87	0.230637	0.128855	0.17338	0.161805	0.0595846	0.0498163	0.0378228	0.0333083	0.0373513	0.0444071	0.0430321
a23	0.190681	0.150626	0.258424	0.189637	0.0532283	0.0332634	0.0191429	0.0174177	0.0214074	0.0306983	0.0354745
a10	0.171204	0.157366	0.26754	0.159547	0.0339034	0.0266639	0.0201417	0.0211809	0.0321686	0.0469338	0.0633507
a87	0.166428	0.147439	0.201204	0.171467	0.0454695	0.0401809	0.0340765	0.038903	0.0479608	0.0523007	0.0545704
a23	0.154829	0.126464	0.211053	0.166614	0.0487782	0.041033	0.0346292	0.0403065	0.0516577	0.0635076	0.0611279
a97	0.173934	0.118365	0.143219	0.119427	0.0382194	0.0395959	0.0396186	0.0499847	0.0742426	0.0919091	0.111486
a40	0.14085	0.11271	0.147758	0.145124	0.0519319	0.0491934	0.0466327	0.0554756	0.075086	0.0852132	0.0900259
a54	0.425045	0.167436	0.098143	0.107819	0.0317784	0.028887	0.0234311	0.0273685	0.0337824	0.0281505	0.0281595
a36	0.255788	0.146296	0.109295	0.0974615	0.0508666	0.0546183	0.0519528	0.0566505	0.0721485	0.0583627	0.0465597
a7	0.174901	0.140835	0.116795	0.100324	0.0498569	0.0535678	0.0513183	0.0590645	0.0885388	0.0827867	0.0820128
a40	0.141007	0.143181	0.126779	0.10548	0.0615741	0.0621344	0.0558388	0.0635502	0.083405	0.0781187	0.0789325
a47	0.140229	0.144006	0.1136	0.0958073	0.0742553	0.0807934	0.0656437	0.0689761	0.0763654	0.0668395	0.0734848
a15	0.11233	0.138348	0.117439	0.0873663	0.0697095	0.062591	0.0481001	0.0544722	0.075198	0.0881877	0.146258
a7	0.126876	0.162409	0.132065	0.0982748	0.0813	0.0759604	0.0481225	0.0493439	0.0592494	0.0640978	0.102302
a15	0.0721389	0.127547	0.169302	0.147304	0.115384	0.0754674	0.0488887	0.0480024	0.0540417	0.0553893	0.0865357
a79	0.040259	0.0846733	0.129407	0.10461	0.11646	0.100775	0.0614691	0.0587451	0.0684994	0.0821644	0.152938
a54	0.0542324	0.0971097	0.111861	0.078523	0.113987	0.114452	0.066322	0.0569104	0.0655008	0.0816394	0.159461
a56	0.023162	0.0526517	0.0810037	0.0619904	0.129146	0.12987	0.0951703	0.0793043	0.0865777	0.0943988	0.166725
a43	0.016206	0.0503289	0.122661	0.0867056	0.196774	0.143055	0.0831736	0.0659412	0.0652723	0.0639358	0.105947
a24	0.020027	0.0483546	0.124575	0.0851202	0.223574	0.171713	0.094998	0.0620618	0.0500976	0.0474514	0.0720273
a83	0.0161767	0.0286668	0.0682026	0.0502818	0.202563	0.172203	0.130607	0.0905527	0.0706739	0.0680062	0.102066
a9	0.0165728	0.0293043	0.0626616	0.0526404	0.184017	0.174825	0.131691	0.0914105	0.0678663	0.0727582	0.116253
a10	0.0221285	0.0339112	0.0726572	0.0631373	0.174781	0.164367	0.127808	0.0937007	0.0675029	0.0726424	0.107363
a79	0.0293822	0.0364029	0.0744804	0.0655437	0.154436	0.149605	0.126754	0.0937166	0.0685215	0.0792098	0.121948
a90	0.0140568	0.0178738	0.0315454	0.0271973	0.0668669	0.0887983	0.0996662	0.102631	0.109125	0.1386	0.303639
a56	0.00580021	0.0107759	0.0255301	0.02127	0.0974184	0.131535	0.163714	0.157906	0.12239	0.10547	0.158191
a43	0.00542389	0.0116736	0.028732	0.0248851	0.100349	0.122935	0.159849	0.165067	0.132827	0.110243	0.138015
a75	0.00618357	0.00970897	0.0203988	0.0177546	0.0601556	0.0846188	0.124746	0.146168	0.146252	0.153271	0.230743
a85	0.00225186	0.00515728	0.00924259	0.00705184	0.0392984	0.0615554	0.096137	0.101194	0.134861	0.173268	0.369983
a92	0.00285018	0.00531243	0.00837708	0.00589431	0.0407041	0.0601308	0.083181	0.0934322	0.134241	0.170881	0.394996
a37	0.0022191	0.00437237	0.00817541	0.0065642	0.0440262	0.0678994	0.101218	0.123561	0.169697	0.178175	0.294093
a44	0.00299011	0.00627689	0.0119921	0.00778898	0.0386228	0.0574829	0.0892603	0.125502	0.185129	0.199826	0.275128
a70	0.00354052	0.00577703	0.00847371	0.0057593	0.0223878	0.03505	0.0591363	0.0891572	0.164376	0.232416	0.373926
a31	0.00376963	0.00585355	0.00784843	0.00586832	0.0158636	0.0249836	0.045251	0.0694507	0.142446	0.244172	0.434493
a47	0.00198607	0.00352918	0.00542491	0.00379054	0.0131211	0.0194236	0.0397042	0.0618363	0.138371	0.261496	0.451317
a93	0.00326973	0.00532639	0.00690953	0.00479598	0.0126465	0.019443	0.0390243	0.0617291	0.144748	0.268663	0.433445
a70	0.00197962	0.00337309	0.00435228	0.00307529	0.00911179	0.0142846	0.0302369	0.0498682	0.12559	0.264737	0.493392
a0	0.00190936	0.00314967	0.00377394	0.00255381	0.00649329	0.0110894	0.0229674	0.0349507	0.0944121	0.245316	0.573384
