 	il	est	à	bout	de	forces	</S>
a23	0.245762	0.155566	0.110339	0.0908649	0.0867287	0.132703	0.178036
a10	0.263187	0.186369	0.17597	0.129638	0.0869457	0.0718856	0.0860045
a87	0.264167	0.206679	0.179179	0.123972	0.0770258	0.0651972	0.0837799
a23	0.302257	0.217222	0.187841	0.109101	0.0776911	0.0549578	0.0509295
a20	0.281172	0.205105	0.177026	0.0941486	0.0734953	0.06577	0.103282
a30	0.293527	0.252309	0.213011	0.114233	0.0604096	0.040187	0.0263235
a35	0.322681	0.284835	0.222596	0.101528	0.0382031	0.0193978	0.0107587
a24	0.280863	0.26403	0.219752	0.125929	0.0577688	0.0325378	0.0191189
a43	0.242204	0.220176	0.187735	0.143752	0.0987715	0.0672289	0.0401324
a11	0.13088	0.15268	0.176138	0.184638	0.153818	0.121158	0.0806874
a75	0.125308	0.152415	0.180425	0.183801	0.150654	0.118199	0.0891976
a76	0.140829	0.148408	0.16641	0.169031	0.149352	0.129154	0.0968165
a90	0.0716416	0.0765888	0.106741	0.15977	0.206465	0.209878	0.168916
a32	0.0695308	0.0750805	0.0983344	0.149128	0.211801	0.219236	0.17689
a90	0.0288778	0.0341089	0.0515619	0.0892333	0.178666	0.274131	0.343421
a76	0.0287086	0.0377072	0.0609393	0.0993424	0.182027	0.272302	0.318974
a73	0.0221308	0.0281686	0.0471989	0.0771831	0.172101	0.294345	0.358872
a84	0.0185915	0.0235989	0.0401645	0.0583875	0.140915	0.274017	0.444326
a57	0.00464002	0.00731448	0.0165341	0.026328	0.0712724	0.211778	0.662133
a87	0.0115365	0.0149485	0.0290623	0.0410753	0.092912	0.225023	0.585442
</S>	0.0204329	0.0232869	0.0394632	0.0651315	0.157089	0.261077	0.43352
