 	ils	ont	coupé	l'	arbre	olondo	qui	était	dans	mon	champ	</S>
a87	0.25843	0.193178	0.129394	0.173299	0.13942	0.0406197	0.0280756	0.0165031	0.00883094	0.00478867	0.00381442	0.00364692
a23	0.241872	0.136515	0.145129	0.127159	0.120532	0.0468344	0.0514731	0.0493056	0.0274646	0.0177208	0.017232	0.018762
a54	0.0799053	0.0564032	0.078867	0.122322	0.151952	0.0989937	0.11835	0.105474	0.0568097	0.0423882	0.0430077	0.0455269
a47	0.321403	0.167898	0.100644	0.0785593	0.06202	0.0343821	0.0373924	0.051668	0.0432419	0.0355755	0.0336938	0.033522
a6	0.239062	0.146673	0.120481	0.0917127	0.0565347	0.0349675	0.0550133	0.0760533	0.0606531	0.0457304	0.038332	0.0347863
a5	0.132112	0.105201	0.124463	0.120784	0.0848355	0.0591506	0.0739227	0.0741501	0.0636191	0.0552745	0.05458	0.051908
a61	0.154204	0.0905137	0.110169	0.14069	0.0961818	0.0627514	0.0788537	0.0735881	0.0535421	0.0429801	0.046762	0.0497634
a12	0.106227	0.0875025	0.123037	0.169351	0.114927	0.0785212	0.0993055	0.0799116	0.0473101	0.0317716	0.0307758	0.0313604
a96	0.0639995	0.0729406	0.112626	0.157404	0.107832	0.0812626	0.11527	0.0953142	0.0597909	0.043888	0.0440296	0.0456417
a83	0.0475804	0.0623694	0.100421	0.156645	0.110698	0.081253	0.116921	0.0939396	0.0612259	0.0523341	0.055076	0.061537
a93	0.0356425	0.0543439	0.0878864	0.142883	0.107048	0.0864322	0.123165	0.102477	0.0679368	0.0575676	0.0619994	0.0726177
a70	0.0274588	0.0458358	0.071968	0.115425	0.0900628	0.0790419	0.12731	0.122604	0.0868452	0.0706507	0.0749646	0.0878336
a93	0.0159646	0.0306258	0.0504976	0.105593	0.100247	0.0994312	0.148248	0.132051	0.0890029	0.0691055	0.0717357	0.0874964
a70	0.016061	0.030406	0.0483359	0.094313	0.0942373	0.096977	0.147832	0.136476	0.0914255	0.0702608	0.0760644	0.0976113
a44	0.00885757	0.0179634	0.0297902	0.0603323	0.0745706	0.116448	0.159912	0.140359	0.0997419	0.081737	0.0895066	0.120781
a93	0.00546666	0.0106548	0.0196879	0.0378093	0.0482796	0.086548	0.127363	0.116416	0.0990841	0.109214	0.136784	0.202692
a56	0.00393516	0.00810716	0.0141691	0.0251059	0.0362236	0.0782394	0.127639	0.1263	0.118218	0.127319	0.146022	0.188722
a93	0.00260968	0.00550447	0.0097821	0.0184087	0.0308957	0.0830922	0.123414	0.119678	0.124949	0.143979	0.155225	0.182462
a34	0.00139423	0.0031722	0.00630819	0.0121838	0.0211784	0.0665376	0.114474	0.120963	0.125721	0.149243	0.163801	0.215023
a61	0.00158215	0.0037647	0.0072855	0.0144122	0.0238183	0.0743531	0.118198	0.114351	0.119546	0.159446	0.165745	0.197498
a0	0.00153259	0.00326259	0.00643418	0.0141903	0.021913	0.0638239	0.0976499	0.0937951	0.0945109	0.148022	0.187403	0.267464
a75	0.00275942	0.00376337	0.00428256	0.0106417	0.016698	0.0502276	0.0870703	0.0948059	0.0875301	0.131979	0.191646	0.318596
a92	0.00166092	0.00345058	0.00681976	0.0180416	0.0294727	0.0557961	0.0771315	0.0706577	0.0743176	0.112688	0.200823	0.349141
a56	0.00234703	0.0053752	0.00998271	0.0203741	0.0284977	0.048375	0.0658516	0.0601697	0.0724028	0.125096	0.215118	0.34641
a93	0.000638066	0.00139097	0.00274544	0.00700725	0.0133287	0.0452322	0.0662941	0.0579952	0.0623386	0.145434	0.250161	0.347434
a44	0.000670591	0.00152359	0.00328075	0.00901249	0.0188922	0.0635492	0.0756136	0.0652061	0.0720788	0.163623	0.23199	0.294559
a75	0.000722109	0.00154267	0.00283079	0.00680692	0.0128479	0.0403922	0.0563665	0.0570373	0.0648591	0.142538	0.248129	0.365928
a6	0.00100378	0.00187687	0.00303891	0.00641127	0.0112435	0.0291716	0.0388916	0.0349718	0.0435812	0.115874	0.261404	0.452532
a37	0.00124749	0.00205406	0.00304871	0.00670426	0.011805	0.0252688	0.0326511	0.0292053	0.037973	0.104316	0.259638	0.486089
a6	0.00118346	0.0017197	0.00244167	0.00377046	0.00525584	0.0132611	0.0246797	0.0352913	0.0541281	0.136153	0.279447	0.442668
a36	0.000965004	0.00159963	0.00223132	0.00408411	0.00564862	0.0120373	0.0229978	0.0307658	0.0508901	0.133343	0.277441	0.457997
a2	0.00403561	0.00482152	0.0042504	0.00691462	0.00706167	0.0169144	0.0278975	0.0357628	0.0497197	0.115492	0.268091	0.459039
a57	0.024583	0.0264328	0.0243535	0.0303295	0.0242625	0.0555894	0.0670391	0.0610515	0.064855	0.0972122	0.20416	0.320131
a87	0.112482	0.104578	0.103038	0.0896165	0.0610594	0.0569409	0.0550809	0.0477965	0.0559569	0.0687526	0.106364	0.138334
a23	0.17766	0.179581	0.170517	0.143571	0.097221	0.0511466	0.0352471	0.0222152	0.023689	0.0258952	0.0352829	0.0379737
a87	0.096497	0.0813407	0.0897091	0.108515	0.132795	0.108321	0.0758207	0.042547	0.0519407	0.067393	0.0713095	0.0738119
a23	0.017906	0.0284489	0.0472807	0.0787295	0.123828	0.126116	0.107714	0.0641482	0.0756371	0.0931858	0.115742	0.121263
a87	0.0224065	0.031936	0.0602892	0.107471	0.153491	0.124948	0.105374	0.0619947	0.0703199	0.0803789	0.0881167	0.0932743
</S>	0.0172676	0.0340322	0.0698979	0.119884	0.144869	0.0945311	0.0812319	0.0598346	0.0675477	0.084528	0.105783	0.120592
